race_id,segment_index,lap_time_sec
202305040501,1,12.6
202305040501,2,10.9
202305040501,3,11.6
202305040501,4,12.4
202305040501,5,12.7
202305040501,6,12.3
202305040501,7,12.6
202305040502,1,13.1
202305040502,2,11.7
202305040502,3,12.4
202305040502,4,12.5
202305040502,5,12.5
202305040502,6,12.7
202305040502,7,11.5
202305040502,8,11.4
202305040502,9,11.9
202305040503,1,12.6
202305040503,2,11.0
202305040503,3,11.9
202305040503,4,12.6
202305040503,5,11.7
202305040503,6,11.5
202305040503,7,11.8
202305040504,1,12.7
202305040504,2,11.3
202305040504,3,11.7
202305040504,4,12.1
202305040504,5,12.3
202305040504,6,12.7
202305040504,7,12.5
202305040504,8,13.1
202305040505,1,13.0
202305040505,2,11.4
202305040505,3,11.8
202305040505,4,13.0
202305040505,5,13.2
202305040505,6,12.5
202305040505,7,11.4
202305040505,8,11.7
202305040506,1,7.0
202305040506,2,10.9
202305040506,3,11.4
202305040506,4,12.2
202305040506,5,12.5
202305040506,6,11.6
202305040506,7,12.3
202305040507,1,13.2
202305040507,2,11.5
202305040507,3,11.9
202305040507,4,12.3
202305040507,5,12.1
202305040507,6,12.3
202305040507,7,12.3
202305040507,8,12.1
202305040507,9,12.1
202305040507,10,11.8
202305040507,11,12.3
202305040507,12,12.0
202305040508,1,12.4
202305040508,2,10.8
202305040508,3,11.5
202305040508,4,12.0
202305040508,5,12.1
202305040508,6,12.1
202305040508,7,11.9
202305040508,8,12.2
202305040510,1,12.2
202305040510,2,10.6
202305040510,3,11.6
202305040510,4,12.0
202305040510,5,11.9
202305040510,6,11.5
202305040510,7,12.1
202305040511,1,12.9
202305040511,2,11.5
202305040511,3,11.5
202305040511,4,11.9
202305040511,5,12.4
202305040511,6,11.7
202305040511,7,11.5
202305040511,8,11.3
202305040511,9,11.5
202305040511,10,11.8
202305040512,1,12.3
202305040512,2,11.0
202305040512,3,11.3
202305040512,4,11.6
202305040512,5,12.0
202305040512,6,11.6
202305040512,7,11.6
202305040512,8,11.8
202308020501,1,12.0
202308020501,2,11.3
202308020501,3,11.9
202308020501,4,12.2
202308020501,5,12.3
202308020501,6,12.7
202308020501,7,14.0
202308020502,1,11.9
202308020502,2,11.2
202308020502,3,13.2
202308020502,4,13.3
202308020502,5,13.9
202308020502,6,13.5
202308020502,7,13.0
202308020502,8,12.7
202308020502,9,12.7
202308020503,1,12.8
202308020503,2,11.5
202308020503,3,13.5
202308020503,4,13.1
202308020503,5,11.7
202308020503,6,12.5
202308020503,7,12.5
202308020503,8,12.0
202308020503,9,11.4
202308020503,10,11.7
202308020504,1,12.6
202308020504,2,11.6
202308020504,3,12.0
202308020504,4,11.5
202308020504,5,11.0
202308020504,6,11.3
202308020505,1,12.8
202308020505,2,11.5
202308020505,3,12.3
202308020505,4,12.9
202308020505,5,13.4
202308020505,6,12.6
202308020505,7,12.0
202308020505,8,11.0
202308020505,9,11.4
202308020506,1,12.2
202308020506,2,11.2
202308020506,3,12.5
202308020506,4,12.8
202308020506,5,13.4
202308020506,6,12.9
202308020506,7,12.8
202308020506,8,12.2
202308020506,9,12.4
202308020507,1,12.0
202308020507,2,10.7
202308020507,3,11.4
202308020507,4,11.9
202308020507,5,12.5
202308020507,6,12.2
202308020507,7,13.3
202308020508,1,12.8
202308020508,2,11.9
202308020508,3,12.9
202308020508,4,11.8
202308020508,5,11.7
202308020508,6,10.6
202308020508,7,11.5
202308020509,1,12.0
202308020509,2,10.6
202308020509,3,12.1
202308020509,4,12.3
202308020509,5,13.1
202308020509,6,13.0
202308020509,7,13.2
202308020509,8,12.4
202308020509,9,12.7
202308020510,1,12.4
202308020510,2,10.6
202308020510,3,11.4
202308020510,4,11.9
202308020510,5,12.7
202308020510,6,12.4
202308020510,7,11.9
202308020510,8,11.3
202308020510,9,12.4
202308020511,1,12.2
202308020511,2,11.1
202308020511,3,13.1
202308020511,4,13.0
202308020511,5,12.5
202308020511,6,12.9
202308020511,7,12.3
202308020511,8,11.6
202308020511,9,11.0
202308020511,10,11.4
202308020512,1,12.2
202308020512,2,11.3
202308020512,3,12.6
202308020512,4,12.3
202308020512,5,12.8
202308020512,6,12.3
202308020512,7,12.3
202308020512,8,12.0
202308020512,9,13.1
202304040201,1,12.0
202304040201,2,10.5
202304040201,3,11.3
202304040201,4,12.0
202304040201,5,11.5
202304040201,6,11.6
202304040202,1,11.6
202304040202,2,10.5
202304040202,3,11.1
202304040202,4,12.1
202304040202,5,12.7
202304040202,6,14.3
202304040203,1,12.6
202304040203,2,11.0
202304040203,3,12.1
202304040203,4,12.9
202304040203,5,12.4
202304040203,6,12.5
202304040203,7,12.7
202304040203,8,12.3
202304040203,9,11.7
202304040203,10,12.2
202304040204,1,7.3
202304040204,2,12.2
202304040204,3,13.4
202304040204,4,15.0
202304040204,5,12.9
202304040204,6,12.8
202304040204,7,14.4
202304040204,8,14.2
202304040204,9,12.4
202304040204,10,12.0
202304040204,11,13.0
202304040204,12,12.4
202304040204,13,12.8
202304040205,1,12.4
202304040205,2,11.0
202304040205,3,11.8
202304040205,4,12.6
202304040205,5,12.7
202304040205,6,11.8
202304040205,7,11.3
202304040205,8,11.9
202304040206,1,12.8
202304040206,2,10.7
202304040206,3,12.1
202304040206,4,13.0
202304040206,5,13.1
202304040206,6,13.5
202304040206,7,13.4
202304040206,8,12.6
202304040206,9,13.0
202304040207,1,12.0
202304040207,2,10.4
202304040207,3,10.9
202304040207,4,11.4
202304040207,5,11.8
202304040208,1,11.8
202304040208,2,11.0
202304040208,3,11.5
202304040208,4,12.2
202304040208,5,11.8
202304040208,6,12.3
202304040209,1,12.3
202304040209,2,10.7
202304040209,3,11.1
202304040209,4,12.6
202304040209,5,12.2
202304040209,6,11.9
202304040209,7,11.9
202304040209,8,11.4
202304040209,9,12.5
202304040210,1,12.7
202304040210,2,11.0
202304040210,3,12.2
202304040210,4,13.1
202304040210,5,12.7
202304040210,6,12.3
202304040210,7,12.6
202304040210,8,12.2
202304040210,9,12.7
202304040211,1,12.3
202304040211,2,10.6
202304040211,3,11.1
202304040211,4,11.7
202304040211,5,11.6
202304040211,6,11.4
202304040211,7,11.9
202304040212,1,11.8
202304040212,2,11.0
202304040212,3,11.3
202304040212,4,12.2
202304040212,5,12.2
202304040212,6,12.8
