race_id,segment_index,lap_time_sec
202306020601,1,12.5
202306020601,2,11.6
202306020601,3,12.8
202306020601,4,13.1
202306020601,5,12.6
202306020601,6,12.7
202306020601,7,12.7
202306020601,8,12.8
202306020601,9,13.7
202306020602,1,12.1
202306020602,2,10.8
202306020602,3,11.6
202306020602,4,12.2
202306020602,5,11.9
202306020602,6,13.3
202306020603,1,12.8
202306020603,2,11.9
202306020603,3,12.8
202306020603,4,13.2
202306020603,5,12.5
202306020603,6,12.8
202306020603,7,12.7
202306020603,8,12.4
202306020603,9,12.7
202306020605,1,12.4
202306020605,2,10.8
202306020605,3,12.4
202306020605,4,12.8
202306020605,5,12.4
202306020605,6,12.4
202306020605,7,11.9
202306020605,8,12.1
202306020605,9,11.4
202306020605,10,12.2
202306020606,1,12.6
202306020606,2,11.4
202306020606,3,12.6
202306020606,4,13.0
202306020606,5,12.2
202306020606,6,12.5
202306020606,7,12.7
202306020606,8,12.6
202306020606,9,13.6
202306020607,1,12.3
202306020607,2,11.4
202306020607,3,11.5
202306020607,4,11.7
202306020607,5,11.1
202306020607,6,11.4
202306020608,1,13.1
202306020608,2,12.5
202306020608,3,13.4
202306020608,4,13.1
202306020608,5,13.2
202306020608,6,13.5
202306020608,7,13.7
202306020608,8,12.4
202306020608,9,12.1
202306020608,10,13.0
202306020608,11,13.1
202306020608,12,12.8
202306020609,1,12.7
202306020609,2,12.1
202306020609,3,12.6
202306020609,4,12.2
202306020609,5,12.1
202306020609,6,12.1
202306020609,7,11.9
202306020609,8,11.2
202306020609,9,11.4
202306020610,1,12.6
202306020610,2,11.2
202306020610,3,11.2
202306020610,4,11.1
202306020610,5,11.5
202306020610,6,11.8
202306020610,7,11.6
202306020610,8,12.0
202306020611,1,12.3
202306020611,2,11.0
202306020611,3,11.4
202306020611,4,11.9
202306020611,5,12.1
202306020611,6,11.9
202306020611,7,11.2
202306020611,8,12.0
202306020612,1,12.0
202306020612,2,11.0
202306020612,3,11.7
202306020612,4,12.5
202306020612,5,12.3
202306020612,6,12.4
202309011001,1,13.1
202309011001,2,11.5
202309011001,3,13.5
202309011001,4,12.9
202309011001,5,13.0
202309011001,6,13.4
202309011001,7,12.2
202309011001,8,12.1
202309011001,9,12.5
202309011002,1,12.6
202309011002,2,11.3
202309011002,3,12.1
202309011002,4,12.6
202309011002,5,12.3
202309011002,6,13.2
202309011003,1,12.9
202309011003,2,11.7
202309011003,3,12.4
202309011003,4,14.9
202309011003,5,13.5
202309011003,6,12.5
202309011003,7,13.0
202309011003,8,13.2
202309011003,9,12.7
202309011003,10,13.0
202309011004,1,12.7
202309011004,2,11.1
202309011004,3,11.9
202309011004,4,12.2
202309011004,5,12.2
202309011004,6,11.5
202309011004,7,11.3
202309011004,8,11.8
202309011005,1,12.1
202309011005,2,10.8
202309011005,3,11.6
202309011005,4,12.6
202309011005,5,12.7
202309011005,6,12.7
202309011005,7,13.0
202309011006,1,12.9
202309011006,2,11.0
202309011006,3,13.6
202309011006,4,12.8
202309011006,5,12.5
202309011006,6,13.0
202309011006,7,13.4
202309011006,8,13.2
202309011006,9,13.7
202309011007,1,12.3
202309011007,2,11.1
202309011007,3,11.6
202309011007,4,12.2
202309011007,5,12.5
202309011007,6,12.3
202309011007,7,11.3
202309011007,8,11.4
202309011007,9,11.7
202309011008,1,13.0
202309011008,2,11.1
202309011008,3,13.9
202309011008,4,12.9
202309011008,5,13.0
202309011008,6,12.9
202309011008,7,12.5
202309011008,8,12.4
202309011008,9,13.6
202309011009,1,12.3
202309011009,2,11.1
202309011009,3,11.5
202309011009,4,11.9
202309011009,5,12.0
202309011009,6,11.5
202309011009,7,11.7
202309011009,8,12.0
202309011010,1,12.9
202309011010,2,11.5
202309011010,3,12.1
202309011010,4,13.9
202309011010,5,12.8
202309011010,6,12.2
202309011010,7,12.4
202309011010,8,12.7
202309011010,9,13.1
202309011010,10,13.1
202309011011,1,11.8
202309011011,2,10.3
202309011011,3,11.1
202309011011,4,11.7
202309011011,5,12.0
202309011011,6,11.8
202309011011,7,12.0
202309011012,1,12.0
202309011012,2,11.0
202309011012,3,11.8
202309011012,4,12.4
202309011012,5,12.3
202309011012,6,13.1
202307020201,1,13.0
202307020201,2,11.3
202307020201,3,13.4
202307020201,4,12.9
202307020201,5,13.0
202307020201,6,13.0
202307020201,7,12.7
202307020201,8,12.0
202307020201,9,12.3
202307020202,1,12.3
202307020202,2,11.0
202307020202,3,12.0
202307020202,4,12.4
202307020202,5,12.4
202307020202,6,12.3
202307020202,7,12.8
202307020203,1,7.1
202307020203,2,11.8
202307020203,3,11.9
202307020203,4,13.3
202307020203,5,13.4
202307020203,6,12.8
202307020203,7,12.8
202307020203,8,12.7
202307020203,9,12.5
202307020203,10,13.1
202307020204,1,12.9
202307020204,2,12.2
202307020204,3,12.0
202307020204,4,11.9
202307020204,5,11.7
202307020204,6,11.4
202307020204,7,11.5
202307020204,8,12.1
202307020205,1,13.0
202307020205,2,11.8
202307020205,3,12.0
202307020205,4,13.5
202307020205,5,13.1
202307020205,6,12.9
202307020205,7,12.6
202307020205,8,12.2
202307020205,9,11.6
202307020205,10,11.3
202307020205,11,11.9
202307020206,1,12.7
202307020206,2,11.1
202307020206,3,11.7
202307020206,4,12.1
202307020206,5,12.0
202307020206,6,13.0
202307020207,1,12.9
202307020207,2,11.4
202307020207,3,12.8
202307020207,4,12.4
202307020207,5,12.0
202307020207,6,12.0
202307020207,7,12.3
202307020207,8,11.6
202307020207,9,11.4
202307020207,10,12.1
202307020208,1,12.9
202307020208,2,11.6
202307020208,3,13.5
202307020208,4,12.6
202307020208,5,11.6
202307020208,6,11.9
202307020208,7,12.7
202307020208,8,12.6
202307020208,9,13.5
