model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),単勝,211,147,69.7,105500.0,94330.0,89.4
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),複勝,211,203,96.2,105500.0,93760.0,88.9
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),枠連,211,96,45.5,167800.0,138670.0,82.6
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),馬連,211,93,44.1,211000.0,253050.0,119.9
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),ワイド,211,146,69.2,211000.0,199190.0,94.4
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),馬単,211,93,44.1,422000.0,485340.0,115.0
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),3連複,211,38,18.0,211000.0,201050.0,95.3
"現行box5モデル(pattern83, winner_v3.json)",均等ステーク(全211レース),3連単,211,38,18.0,1266000.0,1323180.0,104.5
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),単勝,60,45,75.0,30000.0,29690.0,99.0
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),複勝,60,58,96.7,30000.0,25450.0,84.8
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),枠連,60,23,38.3,49800.0,45870.0,92.1
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),馬連,60,27,45.0,60000.0,112460.0,187.4
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),ワイド,60,41,68.3,60000.0,50430.0,84.0
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),馬単,60,27,45.0,120000.0,195450.0,162.9
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),3連複,60,10,16.7,60000.0,15660.0,26.1
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度5レース/日(計60レース),3連単,60,10,16.7,360000.0,68070.0,18.9
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),単勝,72,53,73.6,36000.0,32960.0,91.6
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),複勝,72,69,95.8,36000.0,32840.0,91.2
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),枠連,72,29,40.3,59000.0,51010.0,86.5
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),馬連,72,34,47.2,72000.0,119770.0,166.3
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),ワイド,72,51,70.8,72000.0,76070.0,105.7
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),馬単,72,34,47.2,144000.0,208970.0,145.1
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),3連複,72,14,19.4,72000.0,21920.0,30.4
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度6レース/日(計72レース),3連単,72,14,19.4,432000.0,87880.0,20.3
"現行box5モデル(pattern83, winner_v3.json)",0/1フィルタ:高確信度7レース/日(計84レース),単勝,84,61,72.6,42000.0,39030.0,92.9
