race_id,lap33,racecourse,surface,distance_m,n_segments
202401020501,0.29999999999999716,札幌,芝,1200.0,6
202401020502,-0.4000000000000057,札幌,芝,1800.0,9
202401020504,-0.8999999999999915,札幌,ダ,1700.0,9
202401020505,0.8000000000000043,札幌,ダ,1700.0,9
202401020506,0.09999999999999432,札幌,芝,1500.0,8
202401020507,0.5,札幌,芝,1800.0,9
202401020508,-1.7000000000000028,札幌,ダ,1700.0,9
202401020509,0.19999999999998863,札幌,芝,2600.0,13
202401020510,-1.8999999999999986,札幌,芝,1200.0,6
202401020511,-2.5,札幌,芝,2000.0,10
202401020512,-1.1000000000000014,札幌,ダ,1700.0,9
202401020601,2.3999999999999986,札幌,芝,1500.0,8
202401020602,0.7000000000000028,札幌,ダ,1700.0,9
202401020604,1.6000000000000085,札幌,ダ,1700.0,9
202401020605,2.700000000000003,札幌,芝,1800.0,9
202401020606,1.2000000000000028,札幌,芝,2000.0,10
202401020608,-1.5,札幌,芝,1500.0,8
202401020609,-1.3999999999999986,札幌,芝,1200.0,6
202401020610,-0.3999999999999986,札幌,ダ,1700.0,9
202401020611,-0.6999999999999957,札幌,芝,1200.0,6
202401020612,0.6000000000000014,札幌,芝,1800.0,9
202401020701,-0.8000000000000043,札幌,芝,1200.0,6
202401020702,1.1000000000000014,札幌,ダ,1700.0,9
202401020703,0.6000000000000014,札幌,芝,2000.0,10
202401020704,-0.5,札幌,ダ,1700.0,9
202401020705,0.9999999999999929,札幌,芝,1500.0,8
202401020707,-0.7000000000000028,札幌,ダ,1700.0,9
202401020708,0.6999999999999957,札幌,芝,2000.0,10
202401020709,0.7999999999999972,札幌,ダ,1700.0,9
202401020710,-0.6000000000000014,札幌,芝,1500.0,8
202401020711,-0.3999999999999986,札幌,芝,1800.0,9
202401020712,-1.0999999999999943,札幌,芝,1200.0,6
202401020801,0.5999999999999943,札幌,芝,1500.0,8
202401020802,1.0999999999999943,札幌,芝,2000.0,10
202401020803,-0.29999999999999716,札幌,ダ,1700.0,9
202401020804,-1.70000000000001,札幌,芝,1200.0,6
202401020805,-0.4000000000000057,札幌,ダ,1700.0,9
202401020806,-1.9000000000000057,札幌,芝,1200.0,6
202401020807,0.8000000000000043,札幌,芝,1800.0,9
202401020808,0.5,札幌,ダ,1700.0,9
202401020809,-1.6999999999999957,札幌,芝,1200.0,6
202401020810,0.4000000000000057,札幌,芝,2000.0,10
202401020811,-1.2999999999999972,札幌,芝,2600.0,13
202401020812,-1.7999999999999972,札幌,ダ,1700.0,9
202403030101,1.2999999999999972,福島,ダ,1700.0,9
202403030102,-2.0999999999999943,福島,芝,1200.0,6
202403030103,0.7000000000000028,福島,芝,1800.0,9
202403030105,-0.5,福島,芝,1200.0,6
202403030106,0.7999999999999972,福島,ダ,2400.0,12
202403030107,-0.4000000000000057,福島,芝,1800.0,9
202403030108,-0.3999999999999986,福島,ダ,1700.0,9
202403030109,-0.7000000000000028,福島,芝,2000.0,10
202403030110,-1.1000000000000085,福島,芝,2600.0,13
202403030112,-3.5,福島,芝,1200.0,6
202403030202,-1.5999999999999943,福島,芝,1200.0,6
202403030203,-0.30000000000001137,福島,ダ,1700.0,9
202403030206,-0.30000000000000426,福島,ダ,1700.0,9
202403030207,0.7999999999999972,福島,芝,2600.0,13
202403030208,-1.7999999999999972,福島,芝,1200.0,6
202403030209,0.0,福島,芝,1800.0,9
202403030210,-1.7000000000000028,福島,ダ,1700.0,9
202403030211,-0.29999999999999716,福島,芝,1200.0,6
202403030302,-0.8999999999999986,福島,ダ,1700.0,9
202403030303,-1.0,福島,芝,1200.0,6
202403030304,-1.0,福島,ダ,2400.0,12
202403030305,1.8999999999999915,福島,芝,2000.0,10
202403030306,-2.200000000000003,福島,芝,1200.0,6
202403030308,0.10000000000000142,福島,芝,2600.0,13
202403030309,1.6000000000000014,福島,芝,2000.0,10
202403030310,-2.1000000000000014,福島,芝,1200.0,6
202403030311,0.5,福島,ダ,1700.0,9
202403030312,-1.0,福島,芝,1200.0,6
202403030401,-1.2000000000000028,福島,ダ,1700.0,9
202403030402,-0.10000000000000853,福島,芝,2000.0,10
202403030403,-1.3000000000000043,福島,ダ,1700.0,9
202403030406,0.3999999999999986,福島,ダ,1700.0,9
202403030407,-1.1000000000000014,福島,芝,1200.0,6
202403030408,-0.3999999999999986,福島,芝,1800.0,9
202403030409,-2.700000000000003,福島,芝,1200.0,6
202403030410,-1.3999999999999986,福島,ダ,1700.0,9
202403030411,-0.8000000000000043,福島,芝,2000.0,10
202403030502,0.0,福島,ダ,1700.0,9
202403030503,0.7000000000000028,福島,ダ,1700.0,9
202403030506,-2.200000000000003,福島,ダ,1700.0,9
202403030507,1.4000000000000057,福島,芝,1800.0,9
202403030508,-0.3999999999999986,福島,芝,1200.0,6
202403030509,2.3000000000000043,福島,芝,1800.0,9
202403030511,-2.4000000000000057,福島,芝,1200.0,6
202403030512,0.8999999999999986,福島,芝,2000.0,10
202403030602,-0.6000000000000014,福島,ダ,1700.0,9
202403030603,-1.2000000000000028,福島,ダ,1700.0,9
