model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),3連単_マルチ,108,13,12.0,194400.0,438380.0,225.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬連,120,26,21.7,36000.0,31120.0,86.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),ワイド,120,41,34.2,36000.0,31400.0,87.2
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連複,120,13,10.8,36000.0,55540.0,154.3
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬単_軸流し,120,16,13.3,36000.0,33260.0,92.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬単_マルチ,120,26,21.7,72000.0,61490.0,85.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連単_軸流し,120,5,4.2,72000.0,44650.0,62.0
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連単_マルチ,120,13,10.8,216000.0,438380.0,203.0
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",馬連,211,37,17.5,63300.0,53322.953431372545,84.2
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",ワイド,211,68,32.2,63300.0,58686.95261437908,92.7
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",3連複,211,21,10.0,63300.0,131287.69607843139,207.4
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",馬単_軸流し,211,22,10.4,63300.0,50690.9885620915,80.1
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",馬単_マルチ,211,37,17.5,126600.0,103761.01307189542,82.0
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",3連単_軸流し,211,7,3.3,126600.0,123900.2205882353,97.9
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",3連単_マルチ,211,21,10.0,379800.0,864688.8684640522,227.7
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,馬連,211,52,24.6,63300.0,92470.0,146.1
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,ワイド,211,84,39.8,63300.0,62340.0,98.5
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,3連複,211,25,11.8,63300.0,67810.0,107.1
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,馬単_軸流し,211,35,16.6,63300.0,102050.0,161.2
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,馬単_マルチ,211,52,24.6,126600.0,186300.0,147.2
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,3連単_軸流し,211,12,5.7,126600.0,275870.0,217.9
軸流し専用探索候補(pattern#194・不採用/参考),全211レース,3連単_マルチ,211,25,11.8,379800.0,439160.0,115.6
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),馬連,60,14,23.3,18000.0,13810.0,76.7
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),ワイド,60,22,36.7,18000.0,12440.0,69.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),3連複,60,8,13.3,18000.0,12200.0,67.8
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),馬単_軸流し,60,8,13.3,18000.0,10870.0,60.4
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),馬単_マルチ,60,14,23.3,36000.0,29570.0,82.1
軸流し専用探索候補(pattern#194・不採用/参考),高確信度5レース/日(計60レース),3連単_軸流し,60,3,5.0,36000.0,11700.0,32.5
