race_id,bet_type,rank,combination,payout,popularity
201606050501,単勝,1,15,390,2
201606050501,複勝,1,15,150,1
201606050501,複勝,2,8,340,6
201606050501,複勝,3,9,150,3
201606050501,枠連,1,4-8,2480,12
201606050501,馬連,1,8-15,2810,12
201606050501,ワイド,1,8-15,1140,12
201606050501,ワイド,2,9-15,420,3
201606050501,ワイド,3,8-9,890,11
201606050501,馬単,1,15-8,4400,15
201606050501,3連複,1,8-9-15,3640,10
201606050501,3連単,1,15-8-9,19510,45
201606050502,単勝,1,6,7990,10
201606050502,複勝,1,6,2140,12
201606050502,複勝,2,13,150,2
201606050502,複勝,3,16,350,4
201606050502,枠連,1,3-7,12360,24
201606050502,馬連,1,6-13,17920,34
201606050502,ワイド,1,6-13,4020,33
201606050502,ワイド,2,6-16,13110,59
201606050502,ワイド,3,13-16,590,4
201606050502,馬単,1,6-13,29270,64
201606050502,3連複,1,6-13-16,33230,69
201606050502,3連単,1,6-13-16,328300,564
201606050503,単勝,1,6,380,2
201606050503,複勝,1,6,150,2
201606050503,複勝,2,16,120,1
201606050503,複勝,3,4,1740,12
201606050503,枠連,1,3-8,280,1
201606050503,馬連,1,6-16,460,1
201606050503,ワイド,1,6-16,220,1
201606050503,ワイド,2,4-6,7640,45
201606050503,ワイド,3,4-16,4940,37
201606050503,馬単,1,6-16,980,2
201606050503,3連複,1,4-6-16,18720,46
201606050503,3連単,1,6-16-4,74040,212
201606050504,単勝,1,13,120,1
201606050504,複勝,1,13,110,1
201606050504,複勝,2,16,2430,13
201606050504,複勝,3,11,290,5
201606050504,枠連,1,7-8,1550,5
201606050504,馬連,1,13-16,9320,17
201606050504,ワイド,1,13-16,3860,30
201606050504,ワイド,2,11-13,470,4
201606050504,ワイド,3,11-16,30700,83
201606050504,馬単,1,13-16,11770,24
201606050504,3連複,1,11-13-16,42150,71
201606050504,3連単,1,13-16-11,145970,264
201606050505,単勝,1,14,710,4
201606050505,複勝,1,14,290,4
201606050505,複勝,2,13,810,9
201606050505,複勝,3,12,1340,11
201606050505,枠連,1,7-7,10580,24
201606050505,馬連,1,13-14,10680,31
201606050505,ワイド,1,13-14,2620,29
201606050505,ワイド,2,12-14,3520,38
201606050505,ワイド,3,12-13,6170,51
201606050505,馬単,1,14-13,19240,59
201606050505,3連複,1,12-13-14,57530,137
