race_id,checkpoint_label,checkpoint_offset_sec,scheduled_time,fetched_time,umaban_a,umaban_b,umaren_odds,umaren_ninki
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,7,11,43.2,17
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,7,12,268.3,41
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,8,9,29.2,10
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,8,10,791.3,57
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,8,11,8.1,2
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,8,12,53.0,20
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,9,10,553.8,51
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,9,11,14.6,5
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,9,12,93.1,27
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,10,11,465.6,50
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,10,12,"1,321.5",62
202606040301,確定,-600,2026-09-12 09:55:00,2026-09-12 09:55:05.448201,11,12,36.8,14
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,2,8.5,2
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,3,62.9,14
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,4,10.9,3
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,5,31.3,10
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,6,1.8,1
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,7,19.6,6
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,1,8,23.7,7
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,3,201.0,23
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,4,41.1,12
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,5,115.5,20
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,6,12.0,4
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,7,47.8,13
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,2,8,82.1,17
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,3,4,209.5,25
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,3,5,360.3,28
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,3,6,73.4,15
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,3,7,297.2,26
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,3,8,336.4,27
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,4,5,105.0,18
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,4,6,13.9,5
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,4,7,81.1,16
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,4,8,106.5,19
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,5,6,39.8,11
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,5,7,167.1,22
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,5,8,205.0,24
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,6,7,25.0,8
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,6,8,30.4,9
202609040301,確定,-600,2026-09-12 10:10:00,2026-09-12 10:10:11.850971,7,8,117.8,21
202606040302,確定,-600,2026-09-12 10:30:00,2026-09-12 10:30:05.680755,1,2,13.9,5
