race_id,checkpoint_label,checkpoint_offset_sec,scheduled_time,fetched_time,umaban_a,umaban_b,umaren_odds,umaren_ninki
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,2,46.0,9
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,3,"1,046.7",40
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,4,280.1,28
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,5,168.9,22
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,6,"1,421.9",46
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,7,86.2,16
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,8,646.8,37
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,9,8.3,4
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,10,"1,282.7",44
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,11,85.4,15
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,1,12,298.4,29
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,3,547.1,33
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,4,121.7,18
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,5,53.6,10
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,6,682.0,38
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,7,36.9,8
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,8,251.4,25
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,9,3.4,2
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,10,574.1,34
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,11,24.1,6
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,2,12,248.7,24
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,4,"2,168.7",55
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,5,"1,456.2",48
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,6,"3,349.4",59
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,7,"1,168.4",43
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,8,"3,107.7",58
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,9,123.2,19
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,10,"4,637.7",65
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,11,"1,129.0",41
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,3,12,"3,914.9",61
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,5,256.1,26
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,6,"2,870.9",57
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,7,240.9,23
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,8,628.0,36
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,9,31.3,7
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,10,"3,815.8",60
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,11,259.2,27
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,4,12,"1,364.0",45
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,6,"1,762.8",53
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,7,105.9,17
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,8,463.7,31
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,9,10.1,5
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,10,"1,665.4",52
202601020501,確定,-600,2026-09-05 10:00:00,2026-09-05 10:00:21.177253,5,11,70.6,12
