kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260809,202635080901,ファーストステップ 2歳 新馬戦,盛岡,1,ダ,1000,13:30,8
20260809,202635080902,C2八組,盛岡,2,ダ,1200,14:05,10
20260809,202635080903,C2七組,盛岡,3,ダ,1200,14:40,10
20260809,202635080904,C2六組,盛岡,4,ダ,1200,15:15,10
20260809,202635080905,B2,盛岡,5,芝,1700,15:50,12
20260809,202635080906,3歳B1,盛岡,6,ダ,1600,16:20,9
20260809,202635080907,明神崎賞(B1),盛岡,7,ダ,1400,16:55,8
20260809,202635080908,B1,盛岡,8,ダ,1400,17:25,8
20260809,202635080909,フューチャーステップ(2歳),盛岡,9,芝,1600,18:00,8
20260809,202635080910,B1,盛岡,10,ダ,1000,18:40,9
20260809,202635080911,ひまわり賞(サトノダ重賞,盛岡,11,ダ,1800,19:15,12
20260809,202646080901,2歳新馬,金沢,1,ダ,1400,16:35,8
20260809,202646080902,2歳3,金沢,2,ダ,1400,17:10,5
20260809,202646080903,優翔&香菜子結婚記念(2歳),金沢,3,ダ,1400,17:45,7
20260809,202646080904,C29,金沢,4,ダ,1500,18:20,10
20260809,202646080905,フィフス ザ 中村メシア記念(C2),金沢,5,ダ,1500,18:55,11
20260809,202646080906,琴音ちゃん20歳おめでとう記念(C2),金沢,6,ダ,1400,19:30,9
20260809,202646080907,能登復興支援 山伏山賞(C2),金沢,7,ダ,1400,20:05,9
20260809,202646080908,くろゆり賞(2歳),金沢,8,ダ,1400,20:40,7
20260809,202655080901,C2ー25組,佐賀,1,ダ,1300,15:55,9
20260809,202655080902,C2ー24組,佐賀,2,ダ,1300,16:30,11
20260809,202655080903,C2ー23組,佐賀,3,ダ,1300,17:00,10
20260809,202655080904,C2ー22組,佐賀,4,ダ,1400,17:35,8
20260809,202655080905,C1ー4組,佐賀,5,ダ,1400,18:05,9
20260809,202655080906,C1ー3組,佐賀,6,ダ,1400,18:35,10
20260809,202655080907,長崎街道轟木宿特選(C1),佐賀,7,ダ,900,19:05,11
20260809,202655080908,キョウチクトウ賞(A2),佐賀,8,ダ,1400,19:40,10
20260809,202655080909,SAGAリベンジャーズウェルカム(C2),佐賀,9,ダ,1400,20:15,9
20260809,202655080910,一発逆転ファイナルレース×SAGAリベン,佐賀,10,ダ,1400,20:50,10
