race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202635080201,2,アキミューミュー,1,1.1,9,フリットフライ,7,カットビホッキマン,110円,1人気
202635080202,4,マーゴットミトス,4,7.8,3,アンテニトルス,9,ブレウディエス,780円,4人気
202635080203,2,アリダンジェロ,2,5.9,10,ウインドアベニュー,7,ロンディネ,590円,2人気
202635080204,4,ヴェントディルーナ,1,2.1,3,セツナサ,7,エルドラド,210円,1人気
202635080205,8,タイセイパフューム,5,18.9,11,ボビネット,2,エコロアビス,"1,890円",5人気
202635080206,7,キングスペード,1,1.9,12,ケイジ,5,リンクルリンク,190円,1人気
202635080207,8,プリンセスナイト,1,2.0,2,エイカイソフィア,5,ビッグヤシチルーフ,200円,1人気
202635080208,2,マッシリア,10,142.4,3,キタノロワーズ,10,ハイプボーイ,"14,240円",10人気
202635080209,6,ヴァトレニ,2,3.5,3,コスモフロイデ,5,パーティーベル,350円,2人気
202635080210,3,レーザースペックル,1,1.3,7,ダイセンルージュ,2,フィアレスハート,130円,1人気
202635080211,7,クリナッチ,1,1.0,9,ピュアマケナ,5,ハチャトリアン,100円,1人気
202635080212,1,キタノブライド,3,15.0,7,メイショウマヒロ,6,ケープライト,"1,500円",3人気
202643080201,3,オーデンルビー,5,12.9,10,ブロードファイラム,4,イマキュレイト,"1,290円",5人気
202643080202,7,マンデラエフェクト,3,5.0,8,ラヴィクレール,5,グランデアーリ,500円,3人気
202643080203,2,ステルスハンター,2,2.7,5,アンヴァンク,6,フルールマジック,270円,2人気
202643080204,2,スマイルフレイヤ,2,3.2,4,イニシエート,1,グリンネル,320円,2人気
202643080205,11,エイシンキャロッツ,8,49.0,3,メルドーレ,1,フェールブリエ,"4,900円",8人気
202643080206,8,コマサ,1,2.1,5,マオノハイジ,7,ジュンピリカ,210円,1人気
202643080207,8,ヤギリドリーム,4,7.6,5,オルタスグロウ,1,ナムラペルル,760円,4人気
202643080208,6,ベストポジション,5,11.0,5,ミヤビモルタル,3,マルヒロユートピア,"1,100円",5人気
202643080209,3,アナザームーン,2,4.5,5,メイショウボンゴチ,11,パラダイスビート,450円,2人気
202654080201,2,スミスバローズ,6,54.2,7,サンサンキック,11,ロイヤルクォーク,"5,420円",6人気
202654080202,11,ピコマーキス,2,3.1,7,タマモアマルフィ,9,クラックミーアップ,310円,2人気
202654080203,4,ラヴィニアパーク,2,2.7,8,コスモタキシード,2,サイモンエクセラー,270円,2人気
202654080204,12,モズガネシア,1,1.3,3,ロードベルファスト,10,アカリボーイ,130円,1人気
202654080205,2,アスクドゥラメンテ,1,1.1,6,フレールフィーユ,7,リゼレインボー,110円,1人気
202654080206,2,ディクシーヴォーグ,7,13.5,4,エクストラノート,10,キーチデッドミラー,"1,350円",7人気
202654080207,8,ベルリネッタ,1,2.4,4,ブルグミューラー,6,ラプラス,240円,1人気
202654080208,1,カツテナイオイシサ,1,1.1,7,トサノシュジンコウ,11,ミッジーチャンプ,110円,1人気
