race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202635080301,9,プケッティ,2,2.5,5,バエル,2,キタノフローラ,250円,2人気
202635080302,5,ルミナヴァル,1,1.1,4,ルージュルージュ,6,シノブデスティーノ,110円,1人気
202635080303,1,ゴガツノアマノガワ,1,1.1,7,フラワーカンパニー,4,ポンテドラーゴ,110円,1人気
202635080304,5,ターントゥベスト,4,5.2,6,レベチアミーゴ,7,メイショウユフイン,520円,4人気
202635080305,6,ディスクリプション,1,1.7,3,ヴェニーレ,5,メイショウガイフウ,170円,1人気
202635080306,9,ナズドゥラヴィ,2,4.2,1,ノーブルブロウ,6,ビースタニング,420円,2人気
202635080307,1,ミキノヒストリー,1,2.0,10,アルマサーガ,11,ピルスナー,200円,1人気
202635080308,5,ダンシングファイト,5,8.8,6,スパローズ,9,アイディンエース,880円,5人気
202635080309,8,ライヴケチャップ,1,2.0,4,アイスボウル,6,ヤマショウクイーン,200円,1人気
202635080310,11,オプティクス,1,3.4,9,トチノヒーロー,2,フタイテンホイール,340円,1人気
202635080311,7,ハクシンパーソナル,4,9.5,6,グラシアス,5,ラストマン,950円,4人気
202635080312,1,リトルサムシング,5,10.1,3,キタノリューオー,8,プリンスミノル,"1,010円",5人気
202643080301,6,ララブロッサム,1,1.5,4,グランドセーリング,5,シューフォルテ,150円,1人気
202643080302,6,ボンシャンス,3,4.3,10,ウィルスカイ,1,トーヤマノゴールド,430円,3人気
202643080303,1,プレミアムチーム,1,1.0,7,ユウユウファイア,3,セレノフィル,100円,1人気
202643080304,7,ジャストキングダム,2,4.0,3,アトラクトラン,5,セキテイジュウオー,400円,2人気
202643080305,2,キャストライトオン,4,6.0,11,モズアンドモズ,12,ヒルビリーエレジー,600円,4人気
202643080306,13,キャッスルプライド,2,5.3,12,サウンドコネクト,9,ウォールローゼ,530円,2人気
202643080307,6,アトレーヴフェイス,1,1.3,1,ショコラブレッド,4,イッシンフラン,130円,1人気
202643080308,1,キャッスルシオン,5,14.3,4,デザーヴ,9,アトモスフィア,"1,430円",5人気
202643080309,10,ジェスコ,1,1.6,11,スカーレットクロス,12,アルファマドンナ,160円,1人気
202643080310,8,バーリフレイバー,1,1.8,2,ルーラーオブダート,3,ハセノガイセン,180円,1人気
202643080311,5,ホウオウカブキ,2,3.2,8,ナショナルモール,7,シミズミナト,320円,2人気
202643080312,5,ボニファシオ,5,8.9,13,キングブルズアイズ,4,ジャルダンデュロワ,890円,5人気
202646080301,5,キョウエイアート,1,1.3,1,ドリーマーズ,6,ダズリングゲーム,130円,1人気
202646080302,6,ワイドシャッフエン,1,1.3,3,オニノウタゲ,7,ショウガノキズナ,130円,1人気
202646080303,10,リケアフェデリーニ,3,6.2,5,ロードエルドラド,7,ハンターワディー,620円,3人気
202646080304,4,ドライヴトウショウ,5,21.9,9,プロミスザムーン,2,ベルウッドバモス,"2,190円",5人気
202646080305,1,ニャンタロウ,1,1.2,7,キャンパスレディ,4,アクアマイスター,120円,1人気
202646080306,9,ケーズコマクサ,1,1.1,4,ホウオウヴィーナス,1,アンクルサンダー,110円,1人気
202646080307,2,ブエノスオプティマ,1,1.3,6,グスタフ,3,デルマアソ,130円,1人気
202646080308,4,グラシアーノ,7,17.5,11,イモータルソウル,8,アスターディンブラ,"1,750円",7人気
202646080309,6,パッションビート,1,1.7,4,ゼローソ,9,ピースオーシャン,170円,1人気
202646080310,9,スーパーチャンド,4,5.6,1,ネバレチュゴー,7,マイネルシスネロス,560円,4人気
