race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,finish4_umaban,finish4_horse,finish5_umaban,finish5_horse,tansho_payout,tansho_ninki
202630090201,2,プロメッサヘーザ,4,6.0,6,マウンテントップ,1,エコロラグナ,7,スキップストーン,10,プラウドホウショウ,600円,4人気
202630090202,9,アンジュメルシー,1,1.1,11,エイシンスラッパー,1,ヨシノトップラン,8,ヌメロドス,6,フークプティット,110円,1人気
202630090203,1,ライトビーンズ,1,1.6,11,ヴィヴィカメリア,8,マナウィラ,5,ヴェントチェーロ,4,リコーツェッペリン,160円,1人気
202630090204,6,サラン,1,1.8,8,バブリーダッシュ,3,メイショウヤマフジ,9,ダークディザイア,5,シャンアリーズ,180円,1人気
202630090205,6,マナモアナ,2,2.4,7,ミスカノヤローザ,5,ドクターアキヨシ,4,スウィンドル,8,グレートシューター,240円,2人気
202630090206,10,エクセレンウイナー,1,2.2,5,モウフブキ,8,ウナトライオン,9,アーミールック,6,オセロ,220円,1人気
202630090207,1,スルーザゴールド,7,50.4,6,スキャボロフェアー,3,アジュアカレンツ,2,キボウハホウショウ,4,ハクアイタワー,"5,040円",7人気
202630090208,7,サラサゴーサイン,1,1.9,11,フィカスリラータ,5,リバージュエル,10,ダイメイイースター,2,チョゴリザ,190円,1人気
202630090209,1,サトノフレイ,1,1.9,4,デュジャック,9,ライトニングジャブ,7,ポリッキー,3,ソルナシエンテ,190円,1人気
202630090210,3,クラフトキング,6,20.2,10,エマダイヤモンド,6,ウイントールキン,8,ユニバーサルラヴ,1,フークシャイニー,"2,020円",6人気
202630090211,2,イイデヒロイン,7,38.7,9,ヴァーチェ,5,クレーバーベン,7,コココーハク,8,サンゼントカガヤク,"3,870円",7人気
202630090212,9,ササキンメロディ,2,5.8,4,サユリバナ,7,スティールブライト,1,デーモンスレイヤー,2,ロアリングフレイム,580円,2人気
202644090201,4,キングスアイ,1,1.8,2,ジェイケイティアラ,10,クレマチスノーブル,12,ラブリーファンク,3,マドモアゼルロゼ,180円,1人気
202644090202,13,ワイドポティロン,3,5.4,5,ナムラソラン,2,ライクアウィンド,11,ラインメテオラ,7,リックシーリン,540円,3人気
202644090203,4,ウィルオンザムーヴ,2,4.3,6,ワイルドウィーゼル,1,トライオン,7,トンスケ,5,ムーンショア,430円,2人気
202644090204,5,ロヴァニエミ,9,104.1,4,アカノヘヤ,11,タワーコンサート,10,モーモールーツ,6,クルジェムゲーム,"10,410円",9人気
202644090205,2,ペイシャケリー,3,4.3,12,ナックレガーロ,8,サカベンクイーン,1,リコーモーラー,6,ペイルムーン,430円,3人気
202644090206,4,エムティキング,2,4.1,8,ペイシャキセキ,5,ゴーディアンノット,6,エキゾチックガール,1,アウフヴィント,410円,2人気
202644090207,3,スターメイデン,2,3.8,2,ストライクルックス,8,エスケイイーグル,12,トサノオウマサン,14,ブラボーキングダム,380円,2人気
202644090208,8,ペルセイズ,5,11.9,3,コスモトロイメル,5,ランニングビーチ,6,ワクシングムーン,11,パレスゴールド,"1,190円",5人気
202644090209,4,サクセスゴールド,1,3.5,10,ムサシタルマエ,6,リリーサンダー,5,ハオカノア,2,ラウターユーベル,350円,1人気
202644090210,4,ドレインザスワンプ,2,9.0,9,クインズアトリア,1,ナンセイスコピオン,3,ビップクララ,5,ナックジャスパー,900円,2人気
202644090211,3,ティントレット,1,1.9,13,ナスティウェザー,8,マスターオブライフ,6,ファーンヒル,4,フルム,190円,1人気
202644090212,8,アポロリヤム,6,12.5,7,ジューンドラゴン,6,ケイアイカペラ,4,ロンギングナイス,3,アジアジェニファー,"1,250円",6人気
202648090201,10,エトワールフィーユ,1,2.5,7,アルティシエル,2,デルマアサマ,5,カセノナユタ,4,ミヤザキムスメ,250円,1人気
202648090202,5,ミスティパープル,2,2.9,10,ジーティーフクフク,1,ロードリュイール,8,プシュカル,6,ウワサノモアナ,290円,2人気
202648090203,2,ホウショウリュウ,1,1.4,9,グラスフェザー,3,デルマノリクラ,5,ペリバジャ,11,ドナシュネル,140円,1人気
202648090204,10,ガヴァルニー,2,3.3,11,クレセントゼファー,9,ワルキューレクイン,2,フクスケ,5,ユウブルボン,330円,2人気
202648090205,5,トレジャービート,1,1.0,12,ヴィヴィアンワン,9,フラッシュドロー,3,マッサーノ,10,スマートエラブル,100円,1人気
202648090206,6,ニーケアイリス,1,1.5,7,ペクトラル,1,シャインモノリス,12,ピチクリ,4,タクティカ,150円,1人気
202648090207,2,ボンボニエーレ,2,4.9,6,フルーツワゴン,8,ホウオウブライツ,3,サイコロチャン,1,ビックピカンテ,490円,2人気
202648090208,7,コスモナッシュビル,1,1.6,8,キスメット,5,ハルノウミ,2,バウブロッサム,1,プルメリアリング,160円,1人気
202648090209,10,ヴァルドグラース,4,7.1,2,ヒオウギ,1,テーオーリップマン,8,ヴィジブルライト,3,タイセイフォルテ,710円,4人気
202648090210,6,キタノファーンヒル,2,4.2,7,ワールドキッス,8,マーゴットバディ,9,ケイアイカラキア,3,ケイエイト,420円,2人気
202648090211,3,アスタールテニウム,3,5.5,8,インジェニアス,6,イットウショウグウ,2,ハクサンクラーケン,10,テーオーニルソン,550円,3人気
202648090212,6,メイショウバルキア,5,9.7,12,エルファリス,7,ビオトープ,4,カキュウ,11,ヴィクトリアビーチ,970円,5人気
202650090201,12,トランスラン,1,2.7,11,ヴァンガルダ,4,ホクザンシュシュ,5,イチバンボシ,6,クロアン,270円,1人気
202650090202,7,ジェリーコアコアラ,1,1.0,8,ニシノウインド,5,バークエム,9,カシスオレンジ,3,シェナキング,100円,1人気
