race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202630080501,5,エレシュトゥ,1,1.5,9,イコロ,3,パーフェクトナイト,150円,1人気
202630080502,6,ベラジオパルーザ,4,11.8,8,カラーウィール,3,リコーツェッペリン,"1,180円",4人気
202630080503,7,リュウノアキレス,2,2.8,8,レディピンク,2,ミリオンジュピター,280円,2人気
202630080504,3,アースジェイソンテ,1,2.2,7,アクティブテーラー,6,サラン,220円,1人気
202630080505,4,ダークマリー,2,2.9,5,ホイップフラワー,1,トーケンジンフィズ,290円,2人気
202630080506,6,クインズメレンゲ,1,2.5,9,ピエールテネシー,3,クラフトキング,250円,1人気
202630080507,4,モーモーブルー,2,3.4,2,オハマチャン,1,テクノリバタリアン,340円,2人気
202630080508,9,ケイアイブイスリー,2,5.9,10,シルバーミラージュ,2,タイセイルーマー,590円,2人気
202630080509,1,ヤマニンアリーズ,3,4.4,4,サラサゴーサイン,12,エクセレンウイナー,440円,3人気
202630080510,8,ルックスライクパツ,6,11.0,12,レイブンナイト,9,フレアリングバロン,"1,100円",6人気
202643080501,6,エンドステージ,1,1.2,2,アマゴ,5,フェアリーランド,120円,1人気
202643080502,5,ノリノリソックス,1,2.0,1,マイビリーブ,2,タイセイガナール,200円,1人気
202643080503,4,ブレイブプラウド,1,1.1,3,ミステリバウンティ,2,ユウヤケノソラ,110円,1人気
202643080504,2,レドゥローズ,1,1.8,6,ウノハナ,4,アンサール,180円,1人気
202643080505,5,ワンアフタアナザー,1,1.4,6,イービルフラッシュ,1,フレンドタワー,140円,1人気
202643080506,6,アイリーズパキラ,2,7.1,10,ダイジェスト,8,ソリスレガーロ,710円,2人気
202643080507,6,シンボリライト,1,1.1,8,デルマルドラ,7,ケイアイワカポノ,110円,1人気
202643080508,8,ゴールデンスイープ,3,6.3,3,キングスバリー,4,ヨルノテイオー,630円,3人気
202643080509,3,モイラ,2,4.6,9,ケイズブラン,7,エイシンスコッティ,460円,2人気
202643080510,11,キイチムーブメント,3,4.0,9,ウィゾマニア,10,マッドスピード,400円,3人気
202650080501,10,アネモスエルピーダ,4,7.3,6,エイシンバーマン,5,シトロネット,730円,4人気
202650080502,3,ブラーヴテン,1,2.0,7,シャオウーイン,2,スマイルトークン,200円,1人気
202650080503,6,ワンノエル,1,2.3,4,ワダカツ,8,スマイルマイニング,230円,1人気
202650080504,5,アイムアクイーン,1,1.2,8,ダイシンサンディー,2,エコロアテナ,120円,1人気
202650080505,11,クアトロフォルトナ,1,2.7,4,ヒマリン,1,ワンダーアンジェ,270円,1人気
202650080506,11,ブルーブレイブ,1,1.6,10,ヤマトチャージ,12,ベラジオマサキ,160円,1人気
202650080507,9,ミヤグリフォン,2,3.5,7,ラプスドール,3,ヨウタウッドテール,350円,2人気
202650080508,8,モモロイヤル,1,1.1,5,ハイレジリエンス,9,マッチョサスポ,110円,1人気
202650080509,7,ジューンキートス,3,16.1,6,ベラジオガルフ,1,メイショウカイコン,"1,610円",3人気
202650080510,9,アシャンテガール,6,14.1,7,イレブンアップ,11,ヘシキリ,"1,410円",6人気
202650080511,8,ダノンワンナップ,2,4.5,1,ブチエー,3,オリビアサンライズ,450円,2人気
202650080512,9,ビクトリーブリッジ,1,1.0,7,シャナオウ,5,サウンドチュチュ,100円,1人気
