race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202630080601,2,マーラータン,1,2.5,7,カレンダホース,6,オーバークラウド,250円,1人気
202630080602,10,ルミナスワン,6,13.5,3,ブルーアルバム,4,アイリスベビー,"1,350円",6人気
202630080603,6,シャンハイハニー,1,1.4,9,キコツ,2,コスモバラス,140円,1人気
202630080604,4,モーニングアジサイ,2,4.0,9,マドンナブルー,1,コンチムサシ,400円,2人気
202630080605,5,トラデスカンティア,2,4.0,8,ライトビーンズ,1,ミサオ,400円,2人気
202630080606,8,チェロミフォルス,7,55.2,1,イーアルサンダー,2,ブルームスター,"5,520円",7人気
202630080607,5,バイデント,1,1.6,1,カツノトゥウェルヴ,8,イイデスカイハイ,160円,1人気
202630080608,2,アークオブライフ,2,4.6,5,ウインギャラン,3,ニシノココ,460円,2人気
202630080609,11,ハニーベリー,8,25.0,7,エアプレイ,8,ピエナクレスコ,"2,500円",8人気
202630080610,4,アルバソーレ,1,1.2,6,アステロイドメア,3,スターオブムーラン,120円,1人気
202643080601,6,トクシーマリリン,1,1.2,3,ツイテユキタイ,5,マルヒロデラックス,120円,1人気
202643080602,4,ナニワノベンケイ,1,1.9,3,アイリスアウト,6,マミチャン,190円,1人気
202643080603,9,ウィングス,1,1.1,8,ハクアイゴブレイ,10,サキノクローバー,110円,1人気
202643080604,5,トラペジウム,2,3.3,6,オルキデアロッサ,4,テカポ,330円,2人気
202643080605,6,アンサーパスト,2,3.1,8,マリノテレージア,9,モズミラクル,310円,2人気
202643080606,7,ソーヴキプ,6,41.6,3,トクシーカグヤヒメ,5,プレシャストップ,"4,160円",6人気
202643080607,5,アベリアフェイス,2,2.0,2,サトノオリエンタル,6,マッチャンサンバ,200円,2人気
202643080608,5,リュウノマキロイ,2,4.0,7,ヒョイザブロー,3,サンスノーホワイト,400円,2人気
202643080609,4,ベルウッドワン,5,11.3,3,サトノムスタング,7,ドレッド,"1,130円",5人気
202643080610,8,キングペルレ,1,2.5,5,エリュテイア,9,シナジーエフェクト,250円,1人気
202650080601,7,アルリフラ,2,2.8,4,バイオサファイア,2,タイキクロニクル,280円,2人気
202650080602,7,キュールエカシス,3,5.4,6,アルムチャーチル,2,エイシンキリバス,540円,3人気
202650080603,2,ハギノアグレッシブ,6,15.6,8,イエローキャブ,7,ウインリフレクト,"1,560円",6人気
202650080604,2,ノーブルフェスタ,1,1.7,3,シェナキング,7,サトノグラン,170円,1人気
202650080605,8,イロメガネ,5,9.9,7,ダイボウケン,9,テンクウワールド,990円,5人気
202650080606,7,ディアナゼロス,1,2.2,10,オーサムサンライズ,1,ナンチャッテセレブ,220円,1人気
202650080607,7,シェンフー,1,1.3,8,テイケイソナサポ,5,プレシャスストーン,130円,1人気
202650080608,3,スターオブアダム,2,3.9,2,サンリナリア,7,セイパレル,390円,2人気
202650080609,6,マーブルヘイロー,1,1.8,1,ゴーゴーツヨシ,2,レオキー,180円,1人気
202650080610,4,オオアバレ,2,3.1,8,ルビーブロンド,6,サマーナジュム,310円,2人気
202650080611,11,ゴッドアマベル,1,1.6,8,ベラドンナリリー,10,スピネーカー,160円,1人気
202650080612,12,ジャンマギアーナ,6,19.4,10,アグネスリュウ,8,カワキタボーダレス,"1,940円",6人気
