race_id,bet_type,stake,return
202646072604,単勝,500,130
202646072604,複勝,500,350
202646072604,枠連,0,0
202646072604,馬連,1000,220
202646072604,ワイド,1000,790
202646072604,馬単,2000,200
202646072604,3連複,1000,440
202646072604,3連単,6000,790
202646072605,単勝,500,780
202646072605,複勝,500,230
202646072605,枠連,0,0
202646072605,馬連,1000,350
202646072605,ワイド,1000,200
202646072605,馬単,2000,1690
202646072605,3連複,1000,0
202646072605,3連単,6000,0
202646072606,単勝,500,0
202646072606,複勝,500,350
202646072606,枠連,0,0
202646072606,馬連,1000,0
202646072606,ワイド,1000,890
202646072606,馬単,2000,0
202646072606,3連複,1000,0
202646072606,3連単,6000,0
202646072607,単勝,500,120
202646072607,複勝,500,130
202646072607,枠連,0,0
202646072607,馬連,1000,0
202646072607,ワイド,1000,0
202646072607,馬単,2000,0
202646072607,3連複,1000,0
202646072607,3連単,6000,0
202654072603,単勝,500,570
202654072603,複勝,500,640
202654072603,枠連,0,0
202654072603,馬連,1000,3040
202654072603,ワイド,1000,1200
202654072603,馬単,2000,4440
202654072603,3連複,1000,1440
202654072603,3連単,6000,10640
202654072604,単勝,500,250
202654072604,複勝,500,120
202654072604,枠連,0,0
202654072604,馬連,1000,0
202654072604,ワイド,1000,0
202654072604,馬単,2000,0
202654072604,3連複,1000,0
202654072604,3連単,6000,0
202654072605,単勝,500,180
202654072605,複勝,500,650
202654072605,枠連,0,0
202654072605,馬連,1000,1280
202654072605,ワイド,1000,2950
202654072605,馬単,2000,1330
202654072605,3連複,1000,4090
202654072605,3連単,6000,12150
202654072606,単勝,500,230
202654072606,複勝,500,560
202654072606,枠連,0,0
202654072606,馬連,1000,1610
202654072606,ワイド,1000,1580
202654072606,馬単,2000,2310
202654072606,3連複,1000,2430
202654072606,3連単,6000,9210
202654072607,単勝,500,240
202654072607,複勝,500,560
202654072607,枠連,0,0
202654072607,馬連,1000,180
202654072607,ワイド,1000,790
202654072607,馬単,2000,400
202654072607,3連複,1000,640
202654072607,3連単,6000,2500
202654072608,単勝,500,170
202654072608,複勝,500,360
202654072608,枠連,0,0
202654072608,馬連,1000,1090
202654072608,ワイド,1000,400
202654072608,馬単,2000,1440
202654072608,3連複,1000,0
202654072608,3連単,6000,0
202654072609,単勝,500,440
202654072609,複勝,500,270
202654072609,枠連,0,0
202654072609,馬連,1000,0
202654072609,ワイド,1000,220
202654072609,馬単,2000,0
202654072609,3連複,1000,0
202654072609,3連単,6000,0
202654072610,単勝,500,400
202654072610,複勝,500,410
202654072610,枠連,0,0
202654072610,馬連,1000,410
202654072610,ワイド,1000,1210
202654072610,馬単,2000,940
202654072610,3連複,1000,1400
202654072610,3連単,6000,6210
202654072611,単勝,500,520
202654072611,複勝,500,570
202654072611,枠連,0,0
202654072611,馬連,1000,2970
202654072611,ワイド,1000,1120
202654072611,馬単,2000,5610
202654072611,3連複,1000,0
202654072611,3連単,6000,0
202635072701,単勝,500,0
202635072701,複勝,500,360
202635072701,枠連,0,0
202635072701,馬連,1000,0
202635072701,ワイド,1000,0
202635072701,馬単,2000,0
202635072701,3連複,1000,0
202635072701,3連単,6000,0
202635072702,単勝,500,300
202635072702,複勝,500,380
202635072702,枠連,0,0
202635072702,馬連,1000,350
202635072702,ワイド,1000,680
202635072702,馬単,2000,830
202635072702,3連複,1000,540
202635072702,3連単,6000,1590
202635072703,単勝,500,370
202635072703,複勝,500,230
202635072703,枠連,0,0
202635072703,馬連,1000,230
202635072703,ワイド,1000,170
202635072703,馬単,2000,730
202635072703,3連複,1000,0
202635072703,3連単,6000,0
202635072704,単勝,500,0
202635072704,複勝,500,530
202635072704,枠連,0,0
202635072704,馬連,1000,0
202635072704,ワイド,1000,0
202635072704,馬単,2000,0
202635072704,3連複,1000,0
202635072704,3連単,6000,0
202635072705,単勝,500,0
202635072705,複勝,500,350
202635072705,枠連,0,0
202635072705,馬連,1000,0
202635072705,ワイド,1000,0
202635072705,馬単,2000,0
202635072705,3連複,1000,0
202635072705,3連単,6000,0
202635072706,単勝,500,150
202635072706,複勝,500,230
202635072706,枠連,0,0
202635072706,馬連,1000,190
202635072706,ワイド,1000,450
202635072706,馬単,2000,240
202635072706,3連複,1000,250
202635072706,3連単,6000,840
202635072707,単勝,500,160
202635072707,複勝,500,240
202635072707,枠連,0,0
202635072707,馬連,1000,340
202635072707,ワイド,1000,450
202635072707,馬単,2000,450
202635072707,3連複,1000,300
202635072707,3連単,6000,910
202635072708,単勝,500,540
202635072708,複勝,500,320
202635072708,枠連,0,0
202635072708,馬連,1000,0
202635072708,ワイド,1000,620
202635072708,馬単,2000,0
202635072708,3連複,1000,0
202635072708,3連単,6000,0
202635072709,単勝,500,0
202635072709,複勝,500,150
202635072709,枠連,0,0
202635072709,馬連,1000,0
202635072709,ワイド,1000,0
202635072709,馬単,2000,0
202635072709,3連複,1000,0
202635072709,3連単,6000,0
202635072710,単勝,500,0
202635072710,複勝,500,300
202635072710,枠連,0,0
202635072710,馬連,1000,0
202635072710,ワイド,1000,250
202635072710,馬単,2000,0
202635072710,3連複,1000,0
202635072710,3連単,6000,0
202635072711,単勝,500,0
202635072711,複勝,500,0
202635072711,枠連,0,0
202635072711,馬連,1000,0
202635072711,ワイド,1000,0
202635072711,馬単,2000,0
202635072711,3連複,1000,0
202635072711,3連単,6000,0
202635072712,単勝,500,170
202635072712,複勝,500,240
202635072712,枠連,0,0
202635072712,馬連,1000,240
202635072712,ワイド,1000,200
202635072712,馬単,2000,630
202635072712,3連複,1000,0
202635072712,3連単,6000,0
202645072701,単勝,500,470
202645072701,複勝,500,470
202645072701,枠連,0,0
202645072701,馬連,1000,450
202645072701,ワイド,1000,1080
202645072701,馬単,2000,1190
202645072701,3連複,1000,1180
202645072701,3連単,6000,5840
202645072702,単勝,500,340
202645072702,複勝,500,440
202645072702,枠連,0,0
202645072702,馬連,1000,1510
202645072702,ワイド,1000,600
202645072702,馬単,2000,2180
202645072702,3連複,1000,390
202645072702,3連単,6000,4350
202645072703,単勝,500,0
202645072703,複勝,500,170
202645072703,枠連,0,0
