race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202630073001,10,コンチワッチ,2,2.3,11,ディアローラ,9,ルナベレッツァ,230円,2人気
202630073002,11,オリザレコルト,8,35.0,12,リュウノパイレーツ,8,リヴェンドラ,"3,500円",8人気
202630073003,10,ブラストブラック,1,1.4,4,スティールアンバー,3,ブールドネージュ,140円,1人気
202630073004,5,ガイストゼーゲン,1,1.6,7,オギフシノチカイ,3,カセノフォルス,160円,1人気
202630073005,6,リガンド,1,1.9,10,スターリーローラー,2,カストール,190円,1人気
202630073006,9,ファイヤーパターン,1,1.3,5,ウィルフレッド,4,エムティアイビー,130円,1人気
202630073007,7,キタサンモンドー,2,3.7,9,ジューンランド,2,サイアミーズ,370円,2人気
202630073008,8,タルマエドン,6,17.7,7,ソルデイスター,2,プライベートセクタ,"1,770円",6人気
202630073009,5,ウフフトルンナ,3,5.5,3,ヤマニンエラマ,11,エムピーフリップ,550円,3人気
202630073010,8,ビービーエリス,2,2.0,4,ホウオウアーネスト,10,マジックライン,200円,2人気
202630073011,2,ジャイロ,1,2.7,4,デアフルーグ,3,カッパギ,270円,1人気
202630073012,6,ストリーム,1,1.3,5,スティールペガサス,3,ボイラーハウス,130円,1人気
202645073001,5,カウニスミエリ,3,4.3,11,アンジュラプソディ,4,カルストンオリビア,430円,3人気
202645073002,3,ピコグリーン,3,9.6,7,ライヴバフィ,6,シェナベスト,960円,3人気
202645073003,4,ジョリージャイヴ,2,4.9,6,ジャンヌマシェリ,5,カンシャカンゲキ,490円,2人気
202645073004,6,アキヴィオーラ,1,1.5,3,ミーリイ,8,アクアマナ,150円,1人気
202645073005,6,シンボルザサン,8,34.8,4,マッセダムール,2,ウインプリームス,"3,480円",8人気
202645073006,11,エースクイーン,1,1.8,9,ブリテン,10,ミツカネエリーズ,180円,1人気
202645073007,8,アリハッピー,6,13.6,9,エールラヴィクトワ,14,コルネットロッソ,"1,360円",6人気
202645073008,5,フジュム,1,2.2,10,エスプリゴンザレス,8,ハクシンドラゴン,220円,1人気
202645073009,3,ラファールドール,1,2.4,5,レルアバド,9,カンデラリア,240円,1人気
202645073010,6,ドウザンワン,2,4.8,5,スカイアクロス,7,ボニーマジェスティ,480円,2人気
202645073011,6,ナイトムーブ,3,3.9,8,ブラフキャッチ,2,サンバルカン,390円,3人気
202645073012,9,エムティワイザー,2,4.4,6,ピーターライズ,7,ピーエムナナ,440円,2人気
202648073001,8,テリオスヒナ,1,1.5,7,ヘヴンリースカイ,1,シンクシビリティ,150円,1人気
202648073002,10,ナガノアリス,2,3.0,7,ケイズヴェロシティ,4,ディヴィナス,300円,2人気
202648073003,9,エンジェルリング,2,3.6,5,エールエクスプレス,3,セバスティアン,360円,2人気
202648073004,8,ベイビーメイビー,2,3.8,2,ベベペッパー,6,ウインクリンゲル,380円,2人気
202648073005,11,ユイノレジスタンス,3,6.1,9,フェスティヴニーサ,2,スタープレイン,610円,3人気
202648073006,3,ラヴァーズブルー,1,2.0,2,ポムドール,7,ゴールドプラン,200円,1人気
202648073007,10,アミアン,6,49.8,8,マルクパージュ,9,トモエゴゼン,"4,980円",6人気
202648073008,3,アーニャアザザマス,3,6.5,12,デトネイター,10,エドノバイオレット,650円,3人気
202648073009,1,エイシンナザレ,2,3.2,12,コスモナッシュビル,2,セイウンピカイチ,320円,2人気
202648073010,10,ブルースバローズ,1,1.2,5,ヴァルドグラース,11,バウブロッサム,120円,1人気
202648073011,7,ミニマルデザイン,4,5.0,2,ユズノキ,8,プロミシングギャル,500円,4人気
202648073012,9,カミーチェ,6,9.9,4,ベアショット,3,ノーブルカグラ,990円,6人気
202650073001,1,リケアクスクス,1,1.6,4,フッカツラヴ,7,タッタタラリラ,160円,1人気
202650073002,10,エイシンリーパー,1,1.4,8,アラタマノキセキ,1,サクラトップクロス,140円,1人気
202650073003,12,スカイライズ,1,2.5,2,モモノコトノハ,3,タマノルーナ,250円,1人気
202650073004,7,オースミストロング,3,3.9,10,カイラシ,5,リゴートゥー,390円,3人気
202650073005,4,メイショウシュート,3,4.6,8,メイショウゼルク,1,ワンダーグァルネリ,460円,3人気
202650073006,7,ウィンビュー,2,3.6,12,セイウンスペリオル,5,トランスラン,360円,2人気
202650073007,2,アラン,1,1.1,1,チョウウマクイク,9,ビガーサンライズ,110円,1人気
202650073008,3,ゴッズフェイヴリト,1,1.9,6,ソウルアンドソウル,5,ヒナデコルテ,190円,1人気
202650073009,3,エイシンリガーズ,1,1.2,2,エルピーゾ,8,ファンシンレディー,120円,1人気
202650073010,11,ギフトバスケット,5,15.9,7,サマーエンジェル,8,ウィンザーロア,"1,590円",5人気
202650073011,6,ワキノノーブル,4,37.4,8,ハイラブソング,1,ベラジオドリーム,"3,740円",4人気
202650073012,4,サンミゲル,1,2.3,5,ナリタセレーノ,11,ザタイムズ,230円,1人気
