race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202642081201,1,ニコニコニコル,3,4.2,8,エクレールセイラ,2,ビナナムディン,420円,3人気
202647081201,8,サートゥリア,2,4.6,3,チュウワキャット,7,スピアザキック,460円,2人気
202647081202,1,レイノルズナンバー,2,2.1,7,ヴィラロボス,4,アルデナイン,210円,2人気
202647081203,3,ゴーレジェンド,1,1.5,4,メイプルラブリー,5,サツキマーメイド,150円,1人気
202647081204,1,ココロノヒコボシ,5,8.6,8,ミスマリーゴールド,4,ウサギチャン,860円,5人気
202647081205,4,ヴレクール,1,1.0,8,ジャンプストリート,5,トーセンシーギリヤ,100円,1人気
202650081201,1,バッドロージー,1,1.9,3,イーブンパー,9,クリノビックリバゴ,190円,1人気
202650081202,8,フレーヴォ,9,56.1,7,ワンダーエトワール,5,メイショウセツゲツ,"5,610円",9人気
202650081203,9,シャインシュシュ,1,1.7,7,リンガスウォリアー,2,オーシンエンジェル,170円,1人気
202650081204,7,ジュンオーズ,1,1.5,3,マイネルトラキア,10,ロングロングロング,150円,1人気
202650081205,8,イオシーワン,3,11.2,6,エンドレステイル,1,コスモタイシ,"1,120円",3人気
202650081206,3,ソングライター,1,2.7,9,ネバーセイグッバイ,5,シェナスカイ,270円,1人気
