race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202645073101,9,マイブリッジ,2,2.3,1,マイアイガー,2,キーファイン,230円,2人気
202645073102,3,キューティパエトン,3,4.4,10,クォリティショコラ,6,ワイズブレイズ,440円,3人気
202645073103,7,ロックマイソウル,2,3.8,6,ハーバーショー,2,アンジュベル,380円,2人気
202645073104,5,クレバーパイン,1,2.1,6,クリスタルシー,4,アレグロボニータ,210円,1人気
202645073105,2,チャンピオンウルフ,1,1.2,5,デイトリッパー,4,ムリムリカタツムリ,120円,1人気
202645073106,8,チョコラテ,2,3.9,9,リコータイフォン,3,アスパラノヴァ,390円,2人気
202648073101,4,ケイツークルサード,1,1.3,12,ラヴズプレミアム,11,サンクスアミリオン,130円,1人気
202648073102,11,アウラニ,1,1.5,4,リリーボレア,3,ラブミーアゲイン,150円,1人気
202648073103,10,デナリ,3,5.3,1,メグレズ,4,ネオゼウス,530円,3人気
202648073104,12,マイネルスラーヴァ,1,2.6,3,ブロンディ,11,クルスデルスール,260円,1人気
202648073105,7,ゴールドレター,1,1.4,12,センビトウリョウ,2,ミズイロ,140円,1人気
202648073106,3,ペプチドプラタ,8,18.5,4,アーデントアイ,2,ウインマデイラ,"1,850円",8人気
202650073101,1,モイスチャー,1,1.6,7,ニシノオールマイト,6,エイシンオキクルミ,160円,1人気
202650073102,9,コンバットモモヒメ,3,3.6,8,フィフスドア,2,アイサマン,360円,3人気
202650073103,6,イーグルロゴ,2,2.3,5,スマートクラッセ,3,アカネノソラ,230円,2人気
202650073104,4,エコノミカ,2,2.6,2,カシスオレンジ,7,ユウバエ,260円,2人気
202650073105,3,テキサスツイスター,1,1.8,7,ヴァイスリヒト,2,ジュンオーズ,180円,1人気
