kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260910,202630091001,2歳 未勝利,門別,1,ダ,1000,14:20,12
20260910,202630091002,2歳 未勝利,門別,2,ダ,1100,14:50,12
20260910,202630091003,2歳 未勝利,門別,3,ダ,1200,15:25,12
20260910,202630091004,2歳 3組,門別,4,ダ,1000,15:55,9
20260910,202630091005,2歳 新馬,門別,5,ダ,1000,16:30,8
20260910,202630091006,3歳以上 C4ー2,門別,6,ダ,1200,17:05,10
20260910,202630091007,日本軽種馬青年部連絡協議会賞(C4),門別,7,ダ,1200,17:35,10
20260910,202630091008,JRA認定競走ウィナーズチャレンジ5競走(2歳),門別,8,ダ,1200,18:05,11
20260910,202630091009,日高生産連賞(C3),門別,9,ダ,1500,18:40,7
20260910,202630091010,グランシャリオドリーム58(C3),門別,10,ダ,1800,19:15,10
20260910,202630091011,静内産ミニトマト 太陽の瞳特別(A1),門別,11,ダ,1200,19:55,7
20260910,202630091012,ジオグリフ賞(C3),門別,12,ダ,1700,20:35,10
20260910,202645091001,C3一二,川崎,1,ダ,1400,14:45,12
20260910,202645091002,C3一二,川崎,2,ダ,1400,15:15,12
20260910,202645091003,エトワール賞(3歳),川崎,3,ダ,900,15:45,12
20260910,202645091004,スズムシ賞(2歳),川崎,4,ダ,1400,16:15,10
20260910,202645091005,3歳4,川崎,5,ダ,1400,16:45,12
20260910,202645091006,雷閃賞(C2),川崎,6,ダ,900,17:19,12
20260910,202645091007,ステッラ賞(3歳),川崎,7,ダ,1500,17:48,14
20260910,202645091008,女郎花賞(C1),川崎,8,ダ,1400,18:20,12
20260910,202645091009,秋桜賞(C1),川崎,9,ダ,1400,18:55,12
20260910,202645091010,ポルックス賞(B1B2),川崎,10,ダ,2000,19:30,10
20260910,202645091011,若武者賞(鎌倉記念重賞,川崎,11,ダ,1500,20:10,11
20260910,202645091012,夕月夜特別(B3二),川崎,12,ダ,1600,20:50,14
20260910,202647091001,3歳未勝利,笠松,1,ダ,1400,11:25,8
20260910,202647091002,3歳7組,笠松,2,ダ,1400,11:55,7
20260910,202647091003,大きく羽ばたけ!爽羽誕生杯(3歳),笠松,3,ダ,1400,12:30,7
20260910,202647091004,大空スバル登録者200万人記念(3歳),笠松,4,ダ,1400,13:00,7
20260910,202647091005,コスモス特別(A),笠松,5,ダ,1400,13:35,8
20260910,202647091006,き組対と組!仁義なき帯封争奪杯(B),笠松,6,ダ,1580,14:10,8
20260910,202647091007,B5組,笠松,7,ダ,1400,14:40,8
20260910,202647091008,B4組,笠松,8,ダ,1400,15:20,7
20260910,202647091009,B3組,笠松,9,ダ,1580,15:55,8
20260910,202647091010,ススキ特別(A),笠松,10,ダ,1580,16:25,8
20260910,202647091011,奥飛騨オープン(A),笠松,11,ダ,1900,16:55,8
20260910,202650091001,C3三,園田,1,ダ,1400,10:40,10
20260910,202650091002,C2二,園田,2,ダ,1400,11:10,7
20260910,202650091003,C2一,園田,3,ダ,1400,11:40,7
20260910,202650091004,有家7ハロンC3二,園田,4,ダ,1400,12:10,10
20260910,202650091005,新内7ハロンC3一,園田,5,ダ,1400,12:45,10
20260910,202650091006,C3二,園田,6,ダ,1230,13:15,10
20260910,202650091007,C2,園田,7,ダ,1870,13:45,8
20260910,202650091008,B2二,園田,8,ダ,1230,14:20,8
20260910,202650091009,B2一,園田,9,ダ,1230,14:55,8
20260910,202650091010,C1,園田,10,ダ,820,15:30,12
20260910,202650091011,熊野牛特別B1,園田,11,ダ,1400,16:05,11
20260910,202650091012,C3一,園田,12,ダ,1230,16:40,10
