kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260907,202636090701,C2,水沢,1,ダ,850,11:45,10
20260907,202636090702,C2,水沢,2,ダ,850,12:20,10
20260907,202636090703,C2七組,水沢,3,ダ,1300,12:55,9
20260907,202636090704,C2六組,水沢,4,ダ,1300,13:30,9
20260907,202636090705,C2五組,水沢,5,ダ,1300,14:05,10
20260907,202636090706,2歳,水沢,6,ダ,1300,14:40,9
20260907,202636090707,2歳,水沢,7,ダ,1400,15:15,7
20260907,202636090708,2歳,水沢,8,ダ,1400,15:50,8
20260907,202636090709,B2,水沢,9,ダ,1400,16:25,9
20260907,202636090710,B1,水沢,10,ダ,850,17:05,10
20260907,202636090711,3歳B2二組,水沢,11,ダ,1400,17:40,12
20260907,202636090712,夢・希望 未来へ前進(3歳B2),水沢,12,ダ,1400,18:15,12
20260907,202645090701,C3五,川崎,1,ダ,1400,15:00,12
20260907,202645090702,2歳6ロ,川崎,2,ダ,1400,15:30,7
20260907,202645090703,のぞみ賞(2歳),川崎,3,ダ,900,16:00,10
20260907,202645090704,2歳5イ,川崎,4,ダ,1400,16:30,6
20260907,202645090705,C2一二,川崎,5,ダ,1400,17:00,12
20260907,202645090706,C2一二,川崎,6,ダ,1400,17:30,12
20260907,202645090707,啄木鳥賞(3歳),川崎,7,ダ,1500,18:00,11
20260907,202645090708,ルドベキア特別(B3),川崎,8,ダ,1600,18:30,6
20260907,202645090709,剛勇賞(C1),川崎,9,ダ,900,19:05,12
20260907,202645090710,尾花賞(C1),川崎,10,ダ,1400,19:40,12
20260907,202645090711,日高軽種馬農業協同組合特別(B1B2),川崎,11,ダ,1400,20:15,12
20260907,202645090712,花鳥風月賞(B3),川崎,12,ダ,900,20:50,12
20260907,202648090701,アジア・アジアパラ応援34(3歳),名古屋,1,ダ,1500,14:30,8
20260907,202648090702,3歳9組,名古屋,2,ダ,1500,15:10,8
20260907,202648090703,さんちゃんお誕生日(3歳),名古屋,3,ダ,1500,15:40,9
20260907,202648090704,3歳8a組,名古屋,4,ダ,1500,16:15,9
20260907,202648090705,C3組,名古屋,5,ダ,1500,16:45,10
20260907,202648090706,緒川城址疾風特(C),名古屋,6,ダ,920,17:15,10
20260907,202648090707,しまね和牛賞(B),名古屋,7,ダ,1500,17:50,10
20260907,202648090708,B10組,名古屋,8,ダ,1500,18:20,10
20260907,202648090709,東浦特別(C),名古屋,9,ダ,1500,18:55,10
20260907,202648090710,三河於大の方特別((C),名古屋,10,ダ,1400,19:30,11
20260907,202648090711,サファイアオープン(A),名古屋,11,ダ,1500,20:05,8
20260907,202648090712,金シャチ最終戦(3歳),名古屋,12,ダ,1500,20:40,12
