model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度8レース/日(計368レース),馬単,368,171,46.5,441600,248000,56.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度8レース/日(計368レース),3連複,368,84,22.8,147200,80510,54.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度8レース/日(計368レース),3連単,368,84,22.8,883200,439660,49.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),単勝,414,306,73.9,165600,114710,69.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),複勝,414,396,95.7,165600,123790,74.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),馬連,414,192,46.4,248400,128490,51.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),ワイド,414,312,75.4,248400,176030,70.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),馬単,414,192,46.4,496800,269760,54.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),3連複,414,93,22.5,165600,95790,57.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度9レース/日(計414レース),3連単,414,93,22.5,993600,516400,52.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),単勝,460,341,74.1,184000,134680,73.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),複勝,460,439,95.4,184000,138120,75.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),馬連,460,212,46.1,276000,144120,52.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),ワイド,460,344,74.8,276000,195920,71.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),馬単,460,212,46.1,552000,303320,54.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),3連複,460,101,22.0,184000,100990,54.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度10レース/日(計460レース),3連単,460,101,22.0,1104000,538660,48.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),単勝,503,370,73.6,201200,148020,73.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),複勝,503,480,95.4,201200,152840,76.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),馬連,503,234,46.5,301800,163710,54.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),ワイド,503,378,75.1,301800,214280,71.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),馬単,503,234,46.5,603600,339740,56.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),3連複,503,110,21.9,201200,110050,54.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度11レース/日(計503レース),3連単,503,110,21.9,1207200,593360,49.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),単勝,545,399,73.2,218000,163980,75.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),複勝,545,520,95.4,218000,165820,76.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),馬連,545,253,46.4,327000,185370,56.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),ワイド,545,411,75.4,327000,233970,71.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),馬単,545,253,46.4,654000,394000,60.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),3連複,545,119,21.8,218000,124020,56.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度12レース/日(計545レース),3連単,545,119,21.8,1308000,712310,54.5
