race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,finish4_umaban,finish4_horse,finish5_umaban,finish5_horse,tansho_payout,tansho_ninki
202630081801,8,エムティルージュ,3,4.9,4,サージェントペパー,10,メンコイコイ,6,ウィルマティック,11,ステラマームード,490円,3人気
202630081802,11,アフロケロ,2,2.6,1,ジンダバード,2,タイセイアルーア,3,バリサンダー,6,スティールライズ,260円,2人気
202630081803,2,ハンドクラップ,8,102.1,3,アンジュメルシー,7,キモサベ,5,フレイムフローラ,12,モーニングスミレ,"10,210円",8人気
202630081804,1,エイシンブリス,1,1.1,2,オカノメモリー,5,ヴェントチェーロ,4,ラディアントレイ,8,カラーウィール,110円,1人気
202630081805,2,ナイトセーリング,1,1.5,4,スウィンドル,3,メイショウヤマフジ,12,エンパイアドリーム,10,ドクターアキヨシ,150円,1人気
202630081806,2,グッドミミック,2,3.1,9,テンアリオン,1,タイセツオー,5,ライズタワー,6,ジャスパーエース,310円,2人気
202630081807,1,ナイトスパイア,2,4.4,2,ベルトモ,8,オオイシテイオー,4,リックスターク,3,シャンアリーズ,440円,2人気
202630081808,10,フォークスアップ,3,5.8,5,サクラキングリー,6,キョウエイフレアー,11,ブルーハーツ,1,アクアノート,580円,3人気
202630081809,9,マリノステアハート,5,17.2,3,スーパーパーリー,11,ルナノーヴァ,2,キタノオンザバス,8,サクラストリーム,"1,720円",5人気
202630081810,1,マイラーズドーン,2,2.9,4,ラグナキリア,7,アトニモサキニモ,12,ノアルパフェ,11,ロザシアニン,290円,2人気
202630081811,1,キアキア,1,2.1,2,サラメーガン,11,グリーンエリクサー,10,セイランマクフィ,8,グレートスティック,210円,1人気
202630081812,3,ライルアケカイ,6,13.9,5,カツノトキメキ,4,ワチュゴナドゥ,9,ゲームアップロード,2,ミソタロ,"1,390円",6人気
202635081801,4,ゴガツノアマノガワ,1,1.1,1,アキミューミュー,3,シャイニーメイン,6,グレイスショコラ,5,オブジェダート,110円,1人気
202635081802,1,マグナドムス,6,23.9,4,コスモベラエステラ,6,ヴェニーレ,7,アカイツメ,3,フォルテッシモダイ,"2,390円",6人気
202635081803,7,フェアリアルギフト,1,2.2,4,ビーナスライズ,1,ブルーシャトー,6,オウケンアマゾネス,5,ワイドマルガリータ,220円,1人気
202635081804,7,ジーティーヒラリ,2,3.2,8,アンジュリオ,2,イーリスアスター,1,ホウオウデンファレ,9,パトリシア,320円,2人気
202635081805,3,ナムラドガ,1,2.1,11,サンアイディール,2,アッセクシー,8,フィオーレグリーン,1,ララムーティエ,210円,1人気
