bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
単勝,2,2,100.0,1000,480,48.0
複勝,2,2,100.0,1000,590,59.0
枠連,2,0,0.0,0,0,0.0
馬連,2,2,100.0,2000,660,33.0
ワイド,2,2,100.0,2000,740,37.0
馬単,2,2,100.0,4000,1850,46.2
3連複,2,1,50.0,2000,610,30.5
3連単,2,1,50.0,12000,3560,29.7
