race_id,segment_index,lap_time_sec
202642081101,1,12.5
202642081101,2,10.9
202642081101,3,12.2
202642081101,4,12.6
202642081102,1,12.7
202642081102,2,12.4
202642081102,3,12.9
202642081102,4,13.0
202642081102,5,12.2
202642081102,6,13.2
202642081102,7,14.3
202642081103,1,7.4
202642081103,2,11.4
202642081103,3,12.6
202642081103,4,13.4
202642081103,5,13.8
202642081103,6,11.9
202642081103,7,13.0
202642081103,8,13.0
202642081104,1,12.5
202642081104,2,10.8
202642081104,3,12.3
202642081104,4,12.2
202642081105,1,6.8
202642081105,2,11.9
202642081105,3,12.7
202642081105,4,13.5
202642081105,5,13.5
202642081105,6,12.0
202642081105,7,13.2
202642081105,8,13.2
202642081106,1,7.3
202642081106,2,11.6
202642081106,3,13.0
202642081106,4,13.8
202642081106,5,13.9
202642081106,6,12.7
202642081106,7,13.3
202642081106,8,13.4
202642081107,1,12.2
202642081107,2,11.7
202642081107,3,12.2
202642081107,4,13.2
202642081107,5,12.2
202642081107,6,14.4
202642081107,7,13.1
202642081108,1,12.2
202642081108,2,10.5
202642081108,3,12.2
202642081108,4,12.8
202642081109,1,7.1
202642081109,2,11.5
202642081109,3,12.3
202642081109,4,13.0
202642081109,5,13.3
202642081109,6,12.0
202642081109,7,12.6
202642081109,8,13.0
202642081110,1,7.0
202642081110,2,11.2
202642081110,3,12.5
202642081110,4,12.9
202642081110,5,12.9
202642081110,6,12.0
202642081110,7,12.9
202642081110,8,12.7
202642081111,1,11.8
202642081111,2,11.9
202642081111,3,12.6
202642081111,4,13.1
202642081111,5,12.1
202642081111,6,13.0
202642081111,7,13.2
202642081112,1,12.9
202642081112,2,12.6
202642081112,3,14.2
202642081112,4,13.4
202642081112,5,13.7
202642081112,6,13.3
202642081112,7,13.6
202642081112,8,12.5
202642081112,9,13.6
202642081112,10,13.3
