race_id,segment_index,lap_time_sec
202605020901,1,12.5
202605020901,2,10.9
202605020901,3,11.8
202605020901,4,12.3
202605020901,5,12.9
202605020901,6,12.7
202605020901,7,12.6
202605020901,8,12.6
202605020902,1,12.6
202605020902,2,11.2
202605020902,3,11.7
202605020902,4,12.1
202605020902,5,12.4
202605020902,6,12.1
202605020902,7,12.5
202605020903,1,7.2
202605020903,2,11.4
202605020903,3,12.5
202605020903,4,12.7
202605020903,5,12.8
202605020903,6,12.9
202605020903,7,12.9
202605020903,8,12.7
202605020903,9,12.6
202605020903,10,12.3
202605020903,11,12.5
202605020904,1,12.6
202605020904,2,10.9
202605020904,3,11.1
202605020904,4,11.9
202605020904,5,12.2
202605020904,6,11.9
202605020904,7,11.1
202605020904,8,12.0
202605020905,1,12.9
202605020905,2,11.7
202605020905,3,12.0
202605020905,4,12.0
202605020905,5,12.3
202605020905,6,12.7
202605020905,7,12.7
202605020905,8,11.7
202605020905,9,11.2
202605020905,10,11.4
202605020906,1,12.4
202605020906,2,11.4
202605020906,3,12.0
202605020906,4,12.7
202605020906,5,12.6
202605020906,6,12.0
202605020906,7,11.6
202605020906,8,11.7
202605020907,1,12.7
202605020907,2,11.0
202605020907,3,11.1
202605020907,4,11.1
202605020907,5,11.6
202605020907,6,11.5
202605020907,7,11.8
202605020907,8,11.5
202605020908,1,12.6
202605020908,2,11.6
202605020908,3,12.4
202605020908,4,12.4
202605020908,5,12.0
202605020908,6,11.6
202605020908,7,12.1
202605020909,1,13.1
202605020909,2,11.7
202605020909,3,12.0
202605020909,4,11.5
202605020909,5,11.6
202605020909,6,11.9
202605020909,7,11.5
202605020909,8,11.4
202605020909,9,11.7
202605020910,1,12.6
202605020910,2,11.5
202605020910,3,11.9
202605020910,4,11.9
202605020910,5,11.2
202605020910,6,11.0
202605020910,7,11.2
202605020911,1,12.4
202605020911,2,10.7
202605020911,3,11.2
202605020911,4,11.6
202605020911,5,12.0
202605020911,6,12.0
202605020911,7,12.1
202605020912,1,12.3
202605020912,2,11.4
202605020912,3,12.0
202605020912,4,12.7
202605020912,5,12.7
202605020912,6,12.2
202605020912,7,11.6
202605020912,8,11.8
202608030901,1,12.5
202608030901,2,11.0
202608030901,3,11.6
202608030901,4,11.7
202608030901,5,12.1
202608030901,6,12.9
202608030902,1,12.6
202608030902,2,11.8
202608030902,3,13.4
202608030902,4,12.9
202608030902,5,12.4
202608030902,6,12.1
202608030902,7,12.4
202608030902,8,13.3
202608030902,9,13.3
202608030903,1,12.2
202608030903,2,10.7
202608030903,3,11.0
202608030903,4,11.2
202608030903,5,11.3
202608030903,6,12.0
202608030904,1,12.6
202608030904,2,10.4
202608030904,3,11.3
202608030904,4,11.9
202608030904,5,12.2
202608030904,6,11.7
202608030904,7,12.3
202608030904,8,11.7
202608030904,9,12.1
202608030905,1,12.6
202608030905,2,10.7
202608030905,3,12.6
202608030905,4,12.9
202608030905,5,12.9
202608030905,6,12.2
202608030905,7,12.2
202608030905,8,12.4
202608030905,9,12.3
202608030905,10,11.4
202608030905,11,12.1
202608030906,1,11.8
202608030906,2,10.7
202608030906,3,11.6
202608030906,4,11.9
202608030906,5,11.8
202608030906,6,12.6
202608030906,7,13.6
202608030907,1,12.2
202608030907,2,11.7
202608030907,3,13.8
202608030907,4,13.0
202608030907,5,12.7
202608030907,6,12.2
202608030907,7,12.1
202608030907,8,12.3
202608030907,9,12.7
202608030908,1,13.0
202608030908,2,11.1
202608030908,3,11.7
202608030908,4,12.5
202608030908,5,12.8
202608030908,6,12.2
202608030908,7,11.9
202608030908,8,11.1
202608030908,9,10.9
202608030909,1,12.3
202608030909,2,11.0
202608030909,3,11.6
202608030909,4,11.9
202608030909,5,11.6
202608030909,6,11.5
202608030909,7,11.2
202608030909,8,11.8
202608030910,1,12.2
202608030910,2,11.2
202608030910,3,12.5
202608030910,4,12.3
202608030910,5,12.1
202608030910,6,12.4
202608030910,7,11.9
202608030910,8,11.8
202608030910,9,11.4
202608030910,10,11.6
202608030911,1,7.1
202608030911,2,10.9
202608030911,3,11.2
202608030911,4,12.8
202608030911,5,12.3
202608030911,6,12.5
202608030911,7,12.3
202608030911,8,12.3
202608030911,9,12.5
202608030911,10,13.0
202608030912,1,12.0
202608030912,2,11.2
202608030912,3,11.6
202608030912,4,12.2
202608030912,5,12.2
202608030912,6,12.0
202608030912,7,12.7
202604010702,1,12.6
202604010702,2,11.2
202604010702,3,13.4
202604010702,4,13.6
202604010702,5,12.8
202604010702,6,12.8
202604010702,7,13.0
202604010702,8,13.3
202604010702,9,13.3
202604010703,1,12.1
202604010703,2,10.7
202604010703,3,11.8
202604010703,4,12.6
202604010703,5,12.3
202604010703,6,12.7
202604010705,1,12.4
202604010705,2,11.1
202604010705,3,11.6
202604010705,4,12.4
202604010705,5,12.0
202604010705,6,11.7
202604010705,7,12.1
202604010706,1,12.6
202604010706,2,11.1
202604010706,3,12.9
202604010706,4,13.4
202604010706,5,12.6
202604010706,6,12.5
202604010706,7,12.8
202604010706,8,12.6
202604010706,9,12.9
202604010707,1,12.3
202604010707,2,11.7
202604010707,3,11.9
202604010707,4,12.1
202604010707,5,12.4
202604010707,6,13.0
202604010707,7,13.3
202604010707,8,12.7
202604010707,9,12.7
202604010707,10,11.9
202604010707,11,11.9
202604010707,12,11.8
202604010708,1,12.7
202604010708,2,11.4
202604010708,3,12.4
202604010708,4,13.1
202604010708,5,12.6
202604010708,6,12.5
202604010708,7,13.0
202604010708,8,12.6
202604010708,9,12.9
202604010709,1,11.8
202604010709,2,10.5
202604010709,3,10.9
202604010709,4,11.2
202604010709,5,11.6
202604010710,1,13.1
202604010710,2,11.1
202604010710,3,11.4
202604010710,4,12.0
202604010710,5,12.6
202604010710,6,12.6
202604010710,7,12.5
202604010710,8,12.0
202604010710,9,11.4
202604010710,10,11.8
202604010711,1,12.1
202604010711,2,10.6
202604010711,3,11.4
202604010711,4,11.8
202604010711,5,11.5
202604010711,6,11.8
202604010712,1,12.0
202604010712,2,10.8
202604010712,3,11.5
202604010712,4,12.2
202604010712,5,12.2
202604010712,6,13.3
