race_id,segment_index,lap_time_sec
202506040701,1,12.5
202506040701,2,11.0
202506040701,3,11.2
202506040701,4,11.6
202506040701,5,12.0
202506040701,6,12.0
202506040701,7,11.7
202506040701,8,11.9
202506040702,1,11.6
202506040702,2,10.4
202506040702,3,11.6
202506040702,4,12.4
202506040702,5,13.0
202506040702,6,14.3
202506040703,1,12.3
202506040703,2,12.1
202506040703,3,12.3
202506040703,4,12.5
202506040703,5,12.5
202506040703,6,12.3
202506040703,7,12.2
202506040703,8,11.9
202506040703,9,11.3
202506040704,1,13.0
202506040704,2,12.0
202506040704,3,13.4
202506040704,4,13.1
202506040704,5,12.5
202506040704,6,12.8
202506040704,7,12.9
202506040704,8,13.0
202506040704,9,12.7
202506040705,1,12.9
202506040705,2,11.6
202506040705,3,13.7
202506040705,4,13.3
202506040705,5,12.7
202506040705,6,12.5
202506040705,7,12.2
202506040705,8,11.7
202506040705,9,11.5
202506040705,10,11.1
202506040706,1,11.9
202506040706,2,10.4
202506040706,3,11.1
202506040706,4,12.1
202506040706,5,12.3
202506040706,6,12.9
202506040707,1,12.7
202506040707,2,11.2
202506040707,3,12.8
202506040707,4,13.1
202506040707,5,12.5
202506040707,6,12.7
202506040707,7,12.6
202506040707,8,12.8
202506040707,9,12.5
202506040708,1,12.0
202506040708,2,10.6
202506040708,3,11.1
202506040708,4,11.1
202506040708,5,11.1
202506040708,6,11.9
202506040709,1,12.3
202506040709,2,10.9
202506040709,3,11.0
202506040709,4,11.3
202506040709,5,11.1
202506040709,6,11.3
202506040709,7,11.6
202506040709,8,12.5
202506040710,1,12.7
202506040710,2,11.8
202506040710,3,12.5
202506040710,4,12.0
202506040710,5,12.0
202506040710,6,12.1
202506040710,7,12.5
202506040710,8,13.3
202506040710,9,14.1
202506040711,1,12.5
202506040711,2,10.7
202506040711,3,11.9
202506040711,4,12.1
202506040711,5,12.7
202506040711,6,12.6
202506040711,7,11.5
202506040711,8,11.7
202506040711,9,11.6
202506040711,10,11.4
202506040711,11,11.5
202506040712,1,12.6
202506040712,2,11.5
202506040712,3,12.8
202506040712,4,12.8
202506040712,5,12.6
202506040712,6,12.2
202506040712,7,12.7
202506040712,8,13.2
202506040712,9,13.1
202509040702,1,12.2
202509040702,2,11.3
202509040702,3,11.4
202509040702,4,11.8
202509040702,5,11.8
202509040702,6,11.4
202509040702,7,11.5
202509040702,8,12.4
202509040703,1,13.1
202509040703,2,11.5
202509040703,3,13.6
202509040703,4,13.0
202509040703,5,13.1
202509040703,6,13.0
202509040703,7,13.1
202509040703,8,12.5
202509040703,9,13.2
202509040704,1,12.2
202509040704,2,10.8
202509040704,3,11.9
202509040704,4,12.6
202509040704,5,12.7
202509040704,6,12.5
202509040704,7,13.7
202509040705,1,12.9
202509040705,2,11.8
202509040705,3,11.8
202509040705,4,12.0
202509040705,5,12.2
202509040705,6,12.1
202509040705,7,11.4
202509040705,8,11.4
202509040705,9,11.6
202509040706,1,13.5
202509040706,2,12.3
202509040706,3,14.9
202509040706,4,13.6
202509040706,5,13.0
202509040706,6,12.9
202509040706,7,12.8
202509040706,8,11.9
202509040706,9,11.9
202509040707,1,12.5
202509040707,2,10.5
202509040707,3,11.8
202509040707,4,11.8
202509040707,5,11.8
202509040707,6,12.8
202509040707,7,12.3
202509040707,8,12.1
202509040707,9,12.1
202509040707,10,11.8
202509040708,1,13.2
202509040708,2,11.4
202509040708,3,13.4
202509040708,4,13.4
202509040708,5,13.4
202509040708,6,13.0
202509040708,7,12.7
202509040708,8,12.2
202509040708,9,12.9
202509040709,1,12.4
202509040709,2,10.9
202509040709,3,10.9
202509040709,4,11.2
202509040709,5,11.1
202509040709,6,11.7
202509040710,1,13.0
202509040710,2,12.1
202509040710,3,12.6
202509040710,4,13.1
202509040710,5,12.7
202509040710,6,12.6
202509040710,7,12.7
202509040710,8,12.1
202509040710,9,11.8
202509040710,10,10.8
202509040710,11,11.3
202509040711,1,12.9
202509040711,2,11.1
202509040711,3,12.9
202509040711,4,13.0
202509040711,5,12.7
202509040711,6,13.0
202509040711,7,13.1
202509040711,8,12.7
202509040711,9,11.9
202509040711,10,11.2
202509040711,11,10.7
202509040711,12,11.2
202509040712,1,12.1
202509040712,2,11.1
202509040712,3,11.9
202509040712,4,12.0
202509040712,5,12.1
202509040712,6,11.7
202509040712,7,12.3
