race_id,bet_type,rank,combination,payout,popularity
202630081801,単勝,1,8,490,3
202630081801,複勝,1,8,150,3
202630081801,複勝,2,4,170,4
202630081801,複勝,3,10,120,2
202630081801,枠連,1,4 - 7,2120,6
202630081801,馬連,1,4 - 8,1420,6
202630081801,ワイド,1,4 - 8,510,7
202630081801,ワイド,2,8 - 10,300,2
202630081801,ワイド,3,4 - 10,310,3
202630081801,馬単,1,8 → 4,3960,14
202630081801,3連複,1,4 - 8 - 10,1340,5
202630081801,3連単,1,8 → 4 → 10,10930,39
202630081802,単勝,1,11,260,2
202630081802,複勝,1,11,110,2
202630081802,複勝,2,1,1560,9
202630081802,複勝,3,2,100,1
202630081802,枠連,1,1 - 8,15890,20
202630081802,馬連,1,1 - 11,20060,21
202630081802,ワイド,1,1 - 11,2620,21
202630081802,ワイド,2,2 - 11,150,1
202630081802,ワイド,3,1 - 2,2480,19
202630081802,馬単,1,11 → 1,21310,31
202630081802,3連複,1,1 - 2 - 11,5950,14
202630081802,3連単,1,11 → 1 → 2,59360,107
202630081803,単勝,1,2,10210,8
202630081803,複勝,1,2,1400,10
202630081803,複勝,2,3,120,1
202630081803,複勝,3,7,210,4
202630081803,枠連,1,2 - 3,5930,12
202630081803,馬連,1,2 - 3,4670,12
202630081803,ワイド,1,2 - 3,2630,18
202630081803,ワイド,2,2 - 7,4970,26
202630081803,ワイド,3,3 - 7,300,2
202630081803,馬単,1,2 → 3,33590,46
202630081803,3連複,1,2 - 3 - 7,6950,19
202630081803,3連単,1,2 → 3 → 7,197800,266
202630081804,単勝,1,1,110,1
202630081804,複勝,1,1,120,2
202630081804,複勝,2,2,230,4
202630081804,複勝,3,5,180,3
202630081804,馬連,1,1 - 2,1410,4
202630081804,ワイド,1,1 - 2,580,6
202630081804,ワイド,2,1 - 5,220,2
202630081804,ワイド,3,2 - 5,980,9
202630081804,馬単,1,1 → 2,1880,6
202630081804,3連複,1,1 - 2 - 5,1960,6
202630081804,3連単,1,1 → 2 → 5,5310,18
202630081805,単勝,1,2,150,1
202630081805,複勝,1,2,150,2
202630081805,複勝,2,4,160,3
202630081805,複勝,3,3,200,4
202630081805,枠連,1,2 - 4,730,3
202630081805,馬連,1,2 - 4,840,4
202630081805,ワイド,1,2 - 4,370,4
202630081805,ワイド,2,2 - 3,380,5
202630081805,ワイド,3,3 - 4,1010,12
202630081805,馬単,1,2 → 4,940,3
202630081805,3連複,1,2 - 3 - 4,1320,3
202630081805,3連単,1,2 → 4 → 3,4810,12
202630081806,単勝,1,2,310,2
202630081806,複勝,1,2,210,4
202630081806,複勝,2,9,130,1
202630081806,複勝,3,1,320,6
202630081806,枠連,1,2 - 8,280,1
202630081806,馬連,1,2 - 9,270,1
202630081806,ワイド,1,2 - 9,180,1
202630081806,ワイド,2,1 - 2,690,12
202630081806,ワイド,3,1 - 9,540,8
202630081806,馬単,1,2 → 9,600,2
202630081806,3連複,1,1 - 2 - 9,980,4
202630081806,3連単,1,2 → 9 → 1,2840,9
202630081807,単勝,1,1,440,2
202630081807,複勝,1,1,110,1
202630081807,複勝,2,2,190,5
202630081807,複勝,3,8,140,2
202630081807,馬連,1,1 - 2,890,4
202630081807,ワイド,1,1 - 2,340,4
202630081807,ワイド,2,1 - 8,320,3
202630081807,ワイド,3,2 - 8,350,5
202630081807,馬単,1,1 → 2,1690,8
202630081807,3連複,1,1 - 2 - 8,870,2
202630081807,3連単,1,1 → 2 → 8,5180,9
202630081808,単勝,1,10,580,3
202630081808,複勝,1,10,180,2
202630081808,複勝,2,5,500,7
202630081808,複勝,3,6,2130,11
202630081808,枠連,1,5 - 7,4460,17
202630081808,馬連,1,5 - 10,4930,19
202630081808,ワイド,1,5 - 10,1760,19
202630081808,ワイド,2,6 - 10,7420,43
202630081808,ワイド,3,5 - 6,8550,46
202630081808,馬単,1,10 → 5,9280,35
202630081808,3連複,1,5 - 6 - 10,76610,138
202630081808,3連単,1,10 → 5 → 6,233950,498
202630081809,単勝,1,9,1720,5
202630081809,複勝,1,9,270,6
202630081809,複勝,2,3,140,2
202630081809,複勝,3,11,130,1
202630081809,枠連,1,3 - 7,2070,7
202630081809,馬連,1,3 - 9,2690,12
202630081809,ワイド,1,3 - 9,1050,13
202630081809,ワイド,2,9 - 11,840,12
202630081809,ワイド,3,3 - 11,350,3
202630081809,馬単,1,9 → 3,10180,29
202630081809,3連複,1,3 - 9 - 11,2970,10
202630081809,3連単,1,9 → 3 → 11,37640,126
202630081810,単勝,1,1,290,2
202630081810,複勝,1,1,350,4
202630081810,複勝,2,4,380,5
202630081810,複勝,3,7,680,6
202630081810,枠連,1,1 - 4,2590,9
202630081810,馬連,1,1 - 4,2340,10
202630081810,ワイド,1,1 - 4,740,10
202630081810,ワイド,2,1 - 7,1160,13
202630081810,ワイド,3,4 - 7,1010,12
202630081810,馬単,1,1 → 4,3610,16
202630081810,3連複,1,1 - 4 - 7,5780,20
202630081810,3連単,1,1 → 4 → 7,25390,79
202630081811,単勝,1,1,210,1
202630081811,複勝,1,1,130,1
202630081811,複勝,2,2,480,8
202630081811,複勝,3,11,320,7
202630081811,枠連,1,1 - 2,3350,14
202630081811,馬連,1,1 - 2,3450,15
202630081811,ワイド,1,1 - 2,1100,14
202630081811,ワイド,2,1 - 11,800,7
202630081811,ワイド,3,2 - 11,2650,31
202630081811,馬単,1,1 → 2,4240,17
202630081811,3連複,1,1 - 2 - 11,10810,45
202630081811,3連単,1,1 → 2 → 11,54600,218
202630081812,単勝,1,3,1390,6
202630081812,複勝,1,3,380,6
202630081812,複勝,2,5,210,3
202630081812,複勝,3,4,500,8
202630081812,枠連,1,3 - 5,4210,17
202630081812,馬連,1,3 - 5,3220,13
202630081812,ワイド,1,3 - 5,1140,14
202630081812,ワイド,2,3 - 4,1890,22
202630081812,ワイド,3,4 - 5,1240,15
202630081812,馬単,1,3 → 5,7430,26
202630081812,3連複,1,3 - 4 - 5,10440,38
202630081812,3連単,1,3 → 5 → 4,68730,218
202635081801,単勝,1,4,110,1
202635081801,複勝,1,4,100,1
202635081801,複勝,2,1,110,2
202635081801,馬連,1,1 - 4,110,1
202635081801,ワイド,1,1 - 4,120,1
202635081801,ワイド,2,3 - 4,220,4
202635081801,ワイド,3,1 - 3,390,5
202635081801,馬単,1,4 → 1,120,1
202635081801,3連複,1,1 - 3 - 4,360,1
202635081801,3連単,1,4 → 1 → 3,430,1
202635081802,単勝,1,1,2390,6
202635081802,複勝,1,1,1860,7
202635081802,複勝,2,4,280,3
202635081802,馬連,1,1 - 4,14820,19
202635081802,ワイド,1,1 - 4,2870,19
202635081802,ワイド,2,1 - 6,1820,16
202635081802,ワイド,3,4 - 6,330,4
202635081802,馬単,1,1 → 4,23990,33
202635081802,3連複,1,1 - 4 - 6,8500,22
202635081802,3連単,1,1 → 4 → 6,99400,141
202635081803,単勝,1,7,220,1
202635081803,複勝,1,7,140,1
202635081803,複勝,2,4,310,6
202635081803,馬連,1,4 - 7,840,4
202635081803,ワイド,1,4 - 7,250,3
202635081803,ワイド,2,1 - 7,170,1
202635081803,ワイド,3,1 - 4,360,6
202635081803,馬単,1,7 → 4,1090,3
202635081803,3連複,1,1 - 4 - 7,1320,6
202635081803,3連単,1,7 → 4 → 1,4540,10
202635081804,単勝,1,7,320,2
202635081804,複勝,1,7,160,2
202635081804,複勝,2,8,780,8
202635081804,複勝,3,2,250,5
202635081804,枠連,1,6 - 7,420,1
202635081804,馬連,1,7 - 8,7960,22
202635081804,ワイド,1,7 - 8,1950,20
202635081804,ワイド,2,2 - 7,630,8
202635081804,ワイド,3,2 - 8,3110,29
202635081804,馬単,1,7 → 8,12800,38
202635081804,3連複,1,2 - 7 - 8,16670,52
202635081804,3連単,1,7 → 8 → 2,103130,264
202635081805,単勝,1,3,210,1
202635081805,複勝,1,3,110,1
202635081805,複勝,2,11,110,2
202635081805,複勝,3,2,150,4
202635081805,枠連,1,3 - 8,200,1
202635081805,馬連,1,3 - 11,230,1
202635081805,ワイド,1,3 - 11,140,1
202635081805,ワイド,2,2 - 3,340,4
202635081805,ワイド,3,2 - 11,330,3
202635081805,馬単,1,3 → 11,420,2
202635081805,3連複,1,2 - 3 - 11,530,1
202635081805,3連単,1,3 → 11 → 2,1730,2
202635081806,単勝,1,1,370,3
202635081806,複勝,1,1,150,3
202635081806,複勝,2,5,120,1
202635081806,複勝,3,2,350,7
202635081806,枠連,1,1 - 5,610,2
202635081806,馬連,1,1 - 5,470,1
202635081806,ワイド,1,1 - 5,250,2
202635081806,ワイド,2,1 - 2,880,11
202635081806,ワイド,3,2 - 5,1030,14
202635081806,馬単,1,1 → 5,1140,4
202635081806,3連複,1,1 - 2 - 5,2240,8
202635081806,3連単,1,1 → 5 → 2,8570,24
202635081807,単勝,1,4,390,2
202635081807,複勝,1,4,150,2
202635081807,複勝,2,1,730,9
202635081807,複勝,3,5,300,5
202635081807,枠連,1,1 - 4,8650,20
202635081807,馬連,1,1 - 4,8530,22
202635081807,ワイド,1,1 - 4,2580,26
202635081807,ワイド,2,4 - 5,660,8
202635081807,ワイド,3,1 - 5,6810,39
202635081807,馬単,1,4 → 1,12970,33
202635081807,3連複,1,1 - 4 - 5,18800,50
202635081807,3連単,1,4 → 1 → 5,81050,210
202635081808,単勝,1,5,280,1
