race_id,bet_type,rank,combination,payout,popularity
201705040301,単勝,1,1,250,1
201705040301,複勝,1,1,110,1
201705040301,複勝,2,11,130,2
201705040301,複勝,3,16,990,11
201705040301,枠連,1,1-6,310,1
201705040301,馬連,1,1-11,330,1
201705040301,ワイド,1,1-11,190,1
201705040301,ワイド,2,1-16,2810,36
201705040301,ワイド,3,11-16,2060,25
201705040301,馬単,1,1-11,610,1
201705040301,3連複,1,1-11-16,5980,14
201705040301,3連単,1,1-11-16,19800,48
201705040302,単勝,1,7,130,1
201705040302,複勝,1,7,110,1
201705040302,複勝,2,9,290,7
201705040302,複勝,3,11,200,4
201705040302,枠連,1,5-6,390,3
201705040302,馬連,1,7-9,920,5
201705040302,ワイド,1,7-9,470,6
201705040302,ワイド,2,7-11,360,4
201705040302,ワイド,3,9-11,1770,20
201705040302,馬単,1,7-9,1100,5
201705040302,3連複,1,7-9-11,2760,12
201705040302,3連単,1,7-9-11,6520,23
201705040303,単勝,1,5,180,1
201705040303,複勝,1,5,110,1
201705040303,複勝,2,13,240,5
201705040303,複勝,3,7,160,3
201705040303,枠連,1,4-8,800,3
201705040303,馬連,1,5-13,1120,4
201705040303,ワイド,1,5-13,490,4
201705040303,ワイド,2,5-7,270,2
201705040303,ワイド,3,7-13,900,10
201705040303,馬単,1,5-13,1420,4
201705040303,3連複,1,5-7-13,1850,6
201705040303,3連単,1,5-13-7,6630,18
201705040304,単勝,1,4,230,1
201705040304,複勝,1,4,120,1
201705040304,複勝,2,9,170,3
201705040304,複勝,3,13,230,5
201705040304,枠連,1,3-5,840,3
201705040304,馬連,1,4-9,790,2
201705040304,ワイド,1,4-9,320,2
201705040304,ワイド,2,4-13,530,4
201705040304,ワイド,3,9-13,830,10
201705040304,馬単,1,4-9,1320,3
201705040304,3連複,1,4-9-13,2150,5
201705040304,3連単,1,4-9-13,6650,7
201705040305,単勝,1,17,200,1
201705040305,複勝,1,17,130,1
201705040305,複勝,2,14,220,4
201705040305,複勝,3,1,580,9
201705040305,枠連,1,7-8,890,3
201705040305,馬連,1,14-17,1100,3
201705040305,ワイド,1,14-17,510,3
201705040305,ワイド,2,1-17,1000,10
201705040305,ワイド,3,1-14,4270,45
201705040305,馬単,1,17-14,1660,3
201705040305,3連複,1,1-14-17,9090,29
201705040305,3連単,1,17-14-1,30010,78
201705040306,単勝,1,15,870,4
201705040306,複勝,1,15,290,4
201705040306,複勝,2,13,1940,14
201705040306,複勝,3,10,300,5
201705040306,枠連,1,7-8,2470,10
201705040306,馬連,1,13-15,49110,75
201705040306,ワイド,1,13-15,10400,75
201705040306,ワイド,2,10-15,1140,13
201705040306,ワイド,3,10-13,9180,70
