kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260801,202604020301,2歳未勝利,新潟,1,芝,1000.0,09:50,11
20260801,202604020302,2歳新馬,新潟,2,芝,1800.0,10:20,8
20260801,202604020303,2歳新馬,新潟,3,芝,1400.0,10:50,18
20260801,202604020304,3歳未勝利,新潟,4,ダ,1800.0,11:20,15
20260801,202604020305,3歳未勝利,新潟,5,ダ,1200.0,11:55,15
20260801,202604020306,月岡温泉特別,新潟,6,芝,1800.0,15:10,12
20260801,202604020307,柳都S,新潟,7,ダ,1800.0,15:45,15
20260801,202604020308,燕特別,新潟,8,芝,2200.0,16:20,13
20260801,202604020309,3歳以上1勝クラス,新潟,9,ダ,1200.0,16:55,15
20260801,202604020310,3歳未勝利,新潟,10,ダ,1800.0,17:30,15
20260801,202604020311,3歳未勝利,新潟,11,芝,2000.0,18:00,18
20260801,202604020312,3歳以上1勝クラス,新潟,12,芝,1200.0,18:30,17
20260801,202607020301,2歳未勝利,中京,1,芝,2000.0,09:40,10
20260801,202607020302,2歳新馬,中京,2,芝,1400.0,10:10,13
20260801,202607020303,3歳未勝利,中京,3,芝,2000.0,10:40,16
20260801,202607020304,3歳未勝利,中京,4,ダ,1800.0,11:10,16
20260801,202607020305,3歳未勝利,中京,5,ダ,1800.0,11:40,16
20260801,202607020306,桶狭間S,中京,6,ダ,1400.0,15:01,16
20260801,202607020307,豊橋S,中京,7,芝,1600.0,15:35,11
20260801,202607020308,日進特別,中京,8,ダ,1800.0,16:10,13
20260801,202607020309,3歳以上障害未勝利,中京,9,,,16:45,11
20260801,202607020310,3歳以上1勝クラス,中京,10,ダ,1200.0,17:20,16
20260801,202607020311,3歳以上1勝クラス,中京,11,芝,2000.0,17:50,9
20260801,202607020312,3歳以上1勝クラス,中京,12,芝,1600.0,18:20,11
20260801,202601010301,3歳未勝利,札幌,1,ダ,1000.0,10:00,12
20260801,202601010302,2歳未勝利,札幌,2,芝,1800.0,10:30,9
20260801,202601010303,3歳未勝利,札幌,3,ダ,1700.0,11:00,11
20260801,202601010304,3歳以上1勝クラス,札幌,4,芝,1800.0,11:30,11
20260801,202601010305,2歳新馬,札幌,5,芝,1500.0,12:20,13
20260801,202601010306,3歳以上1勝クラス,札幌,6,ダ,1000.0,12:50,9
20260801,202601010307,3歳未勝利,札幌,7,芝,1800.0,13:20,12
20260801,202601010308,3歳以上1勝クラス,札幌,8,ダ,1700.0,13:50,11
20260801,202601010309,釧路湿原特別,札幌,9,芝,1800.0,14:20,7
20260801,202601010310,3歳以上1勝クラス,札幌,10,芝,1500.0,14:50,14
20260801,202601010311,STV賞,札幌,11,芝,2000.0,15:25,16
20260801,202601010312,大倉山特別,札幌,12,ダ,1700.0,16:01,8
