kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260802,202604020401,2歳未勝利,新潟,1,芝,1600.0,09:50,12
20260802,202604020402,2歳新馬,新潟,2,ダ,1800.0,10:20,12
20260802,202604020403,2歳新馬,新潟,3,芝,1600.0,10:50,13
20260802,202604020404,3歳未勝利,新潟,4,ダ,1800.0,11:20,15
20260802,202604020405,3歳未勝利,新潟,5,芝,1800.0,11:50,18
20260802,202604020406,苗場特別,新潟,6,ダ,1800.0,15:10,15
20260802,202604020407,アイビスSD,新潟,7,芝,1000.0,15:45,17
20260802,202604020408,五頭連峰特別,新潟,8,芝,1800.0,16:20,14
20260802,202604020409,3歳以上1勝クラス,新潟,9,ダ,1800.0,16:55,15
20260802,202604020410,3歳以上1勝クラス,新潟,10,ダ,1200.0,17:30,14
20260802,202604020411,3歳未勝利,新潟,11,芝,2200.0,18:00,14
20260802,202604020412,3歳未勝利,新潟,12,芝,1400.0,18:30,18
20260802,202607020401,3歳未勝利,中京,1,芝,2000.0,09:40,18
20260802,202607020402,2歳新馬,中京,2,ダ,1800.0,10:10,8
20260802,202607020403,2歳新馬,中京,3,芝,1600.0,10:40,10
20260802,202607020404,3歳未勝利,中京,4,ダ,1200.0,11:10,16
20260802,202607020405,3歳以上1勝クラス,中京,5,ダ,1800.0,11:40,9
20260802,202607020406,中京スポニチ賞,中京,6,芝,1400.0,15:01,9
20260802,202607020407,名鉄杯,中京,7,ダ,1800.0,15:35,9
20260802,202607020408,浜松特別,中京,8,ダ,1200.0,16:10,11
20260802,202607020409,3歳以上障害未勝利,中京,9,,,16:45,10
20260802,202607020410,3歳以上1勝クラス,中京,10,ダ,1900.0,17:20,14
20260802,202607020411,3歳以上1勝クラス,中京,11,芝,2200.0,17:50,6
20260802,202607020412,3歳未勝利,中京,12,芝,1400.0,18:20,18
20260802,202601010401,3歳未勝利,札幌,1,ダ,1700.0,10:00,14
20260802,202601010402,3歳未勝利,札幌,2,芝,1500.0,10:30,14
20260802,202601010403,3歳未勝利,札幌,3,ダ,1700.0,11:00,11
20260802,202601010404,3歳以上1勝クラス,札幌,4,芝,2600.0,11:30,13
20260802,202601010405,2歳新馬,札幌,5,芝,1800.0,12:20,10
20260802,202601010406,3歳以上1勝クラス,札幌,6,ダ,1700.0,12:50,11
20260802,202601010407,3歳未勝利,札幌,7,芝,2000.0,13:20,12
20260802,202601010408,3歳以上1勝クラス,札幌,8,芝,1200.0,13:50,14
20260802,202601010409,3歳以上2勝クラス,札幌,9,ダ,1000.0,14:20,12
20260802,202601010410,ポプラS,札幌,10,ダ,1700.0,14:50,10
20260802,202601010411,クイーンS,札幌,11,芝,1800.0,15:25,14
20260802,202601010412,苫小牧特別,札幌,12,芝,1200.0,16:01,14
