year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,中京,01,2025-01-04,土曜日,,A,09:30,9.1,09:30,13.5,14.8,1.1,1.2
2025,中京,01,2025-01-05,日曜日,第 1日,A,06:30,9.4,05:30,11.6,12.8,1.1,1.2
2025,中京,01,2025-01-06,月曜日,第 2日,A,06:30,9.4,05:30,10.7,13.0,1.2,1.4
2025,中京,01,2025-01-10,金曜日,,A,09:30,9.2,09:30,12.6,13.2,6.1,4.6
2025,中京,01,2025-01-11,土曜日,第 3日,A,06:30,9.1,05:30,11.4,13.0,5.9,6.8
2025,中京,01,2025-01-12,日曜日,第 4日,A,06:30,8.9,05:30,12.5,13.3,4.4,4.5
2025,中京,01,2025-01-13,月曜日,第 5日,A,06:30,9.2,05:30,11.8,13.4,4.0,5.0
2025,中京,01,2025-01-17,金曜日,,B,09:30,9.4,09:30,11.9,12.5,2.0,3.7
2025,中京,01,2025-01-18,土曜日,第 6日,B,06:30,9.8,05:30,11.9,12.4,1.4,2.7
2025,中京,01,2025-01-19,日曜日,第 7日,B,06:30,10.0,05:30,11.7,12.0,1.6,2.7
2025,中京,01,2025-01-24,金曜日,,B,09:30,9.3,09:30,12.3,12.8,2.2,2.8
2025,中京,01,2025-01-25,土曜日,第 8日,B,05:30,9.3,05:30,13.7,12.3,1.6,2.3
2025,中京,01,2025-01-26,日曜日,第 9日,B,06:30,9.6,05:30,11.8,13.1,1.4,1.7
