year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,中山,02,2025-02-28,金曜日,,A,10:30,10.1,10:30,13.4,13.3,2.1,2.4
2025,中山,02,2025-03-01,土曜日,第 1日,A,07:00,10.0,06:00,11.9,12.4,1.8,1.5
2025,中山,02,2025-03-02,日曜日,第 2日,A,07:00,10.1,06:00,10.9,12.6,1.9,1.7
2025,中山,02,2025-03-07,金曜日,,A,10:30,9.6,10:30,14.0,16.2,10.6,10.0
2025,中山,02,2025-03-08,土曜日,第 3日,A,07:00,9.5,05:00,15.6,13.7,10.5,10.8
2025,中山,02,2025-03-09,日曜日,第 4日,A,07:00,8.5,06:00,15.1,14.5,13.7,11.8
2025,中山,02,2025-03-14,金曜日,,A,10:30,9.4,10:30,11.8,13.5,9.0,8.8
2025,中山,02,2025-03-15,土曜日,第 5日,A,07:00,9.8,06:00,10.6,12.8,7.4,7.1
2025,中山,02,2025-03-16,日曜日,第 6日,A,07:00,9.1,06:00,12.9,13.0,10.7,10.4
2025,中山,02,2025-03-21,金曜日,,A,10:30,9.2,10:30,14.3,14.4,12.9,10.9
2025,中山,02,2025-03-22,土曜日,第 7日,A,07:00,9.3,05:30,13.9,13.3,11.6,10.3
2025,中山,02,2025-03-23,日曜日,第 8日,A,07:00,9.7,06:00,12.3,12.0,10.7,9.2
