year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,中山,01,2025-01-04,土曜日,,B,10:30,10.1,10:30,13.4,13.7,2.1,2.1
2025,中山,01,2025-01-05,日曜日,第 1日,B,08:30,10.2,05:00,13.6,13.6,2.0,1.6
2025,中山,01,2025-01-06,月曜日,第 2日,B,08:00,10.1,06:00,13.7,14.2,1.7,1.5
2025,中山,01,2025-01-10,金曜日,,C,10:30,10.2,10:30,12.4,14.8,7.8,8.2
2025,中山,01,2025-01-11,土曜日,第 3日,C,08:00,10.0,06:00,13.1,14.6,7.9,6.4
2025,中山,01,2025-01-12,日曜日,第 4日,C,07:00,10.0,05:00,12.6,13.8,5.9,4.6
2025,中山,01,2025-01-13,月曜日,第 5日,C,07:00,10.0,06:00,12.7,13.9,6.0,3.8
2025,中山,01,2025-01-17,金曜日,,C,10:30,10.4,10:30,11.3,11.9,1.9,2.1
2025,中山,01,2025-01-18,土曜日,第 6日,C,08:00,10.7,05:00,11.8,13.8,1.6,1.6
2025,中山,01,2025-01-19,日曜日,第 7日,C,08:00,10.5,06:00,12.1,12.0,1.7,1.9
2025,中山,01,2025-01-24,金曜日,,C,10:30,10.2,10:30,12.1,11.8,3.2,2.2
2025,中山,01,2025-01-25,土曜日,第 8日,C,07:00,10.2,06:00,13.0,12.3,2.7,2.2
2025,中山,01,2025-01-26,日曜日,第 9日,C,08:00,9.9,06:00,12.1,12.4,2.7,2.3
