year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,札幌,01,2025-07-25,金曜日,,A,09:30,7.8,10:00,12.0,11.3,2.4,3.1
2025,札幌,01,2025-07-26,土曜日,第 1日,A,08:20,7.5,04:00,13.4,13.5,4.3,4.5
2025,札幌,01,2025-07-27,日曜日,第 2日,A,08:20,6.9,04:00,12.2,13.8,5.6,7.6
2025,札幌,01,2025-08-01,金曜日,,A,09:30,7.3,10:00,13.6,12.8,4.4,4.7
2025,札幌,01,2025-08-02,土曜日,第 3日,A,08:20,7.7,04:00,11.0,12.5,4.0,3.8
2025,札幌,01,2025-08-03,日曜日,第 4日,A,08:20,7.5,04:00,12.8,14.0,2.2,1.9
2025,札幌,01,2025-08-08,金曜日,,A,09:30,7.1,10:00,17.9,16.3,15.5,15.8
2025,札幌,01,2025-08-09,土曜日,第 5日,A,08:20,7.0,04:00,13.5,14.4,13.8,14.0
2025,札幌,01,2025-08-10,日曜日,第 6日,A,08:20,7.2,04:00,13.0,12.6,10.2,9.4
2025,札幌,01,2025-08-15,金曜日,,A,09:30,7.5,10:00,13.7,13.2,3.4,3.3
2025,札幌,01,2025-08-16,土曜日,第 7日,A,08:20,7.4,04:00,14.2,13.0,4.4,5.0
2025,札幌,01,2025-08-17,日曜日,第 8日,A,08:20,7.7,04:00,12.7,12.2,2.4,3.0
