year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,阪神,02,2025-03-28,金曜日,,A,10:00,8.2,10:00,17.8,14.9,15.4,16.9
2025,阪神,02,2025-03-29,土曜日,第 1日,A,07:30,8.9,05:30,14.3,13.6,11.6,11.2
2025,阪神,02,2025-03-30,日曜日,第 2日,A,07:30,9.1,05:30,14.1,12.9,7.1,6.1
2025,阪神,02,2025-04-04,金曜日,,B,10:00,9.1,10:00,13.9,10.6,3.3,4.3
2025,阪神,02,2025-04-05,土曜日,第 3日,B,07:30,9.2,05:30,12.1,9.9,3.8,4.0
2025,阪神,02,2025-04-06,日曜日,第 4日,B,07:30,9.2,05:30,13.2,10.6,3.8,4.2
2025,阪神,02,2025-04-11,金曜日,,B,10:00,9.1,10:00,13.3,11.0,6.7,5.6
2025,阪神,02,2025-04-12,土曜日,第 5日,B,07:30,9.2,05:30,12.1,10.3,6.3,5.3
2025,阪神,02,2025-04-13,日曜日,第 6日,B,07:30,9.2,05:30,12.8,10.1,6.4,5.4
2025,阪神,02,2025-04-18,金曜日,,B,10:00,9.0,10:00,13.8,13.4,4.4,4.2
2025,阪神,02,2025-04-19,土曜日,第 7日,B,07:30,9.2,05:30,11.3,10.7,4.9,4.5
2025,阪神,02,2025-04-20,日曜日,第 8日,B,07:30,9.3,05:30,12.6,10.6,3.8,3.7
