year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,阪神,05,2025-12-05,金曜日,,A,10:00,8.9,10:00,14.0,13.3,2.6,2.0
2025,阪神,05,2025-12-06,土曜日,第 1日,A,07:30,9.0,05:30,13.6,12.5,2.6,2.4
2025,阪神,05,2025-12-07,日曜日,第 2日,A,07:30,9.1,05:30,13.4,12.4,1.7,1.7
2025,阪神,05,2025-12-12,金曜日,,A,10:00,9.0,10:00,14.4,12.9,2.0,2.2
2025,阪神,05,2025-12-13,土曜日,第 3日,A,07:30,9.1,05:30,12.7,9.3,1.6,2.0
2025,阪神,05,2025-12-14,日曜日,第 4日,A,07:30,8.3,05:30,15.2,12.9,8.1,8.0
2025,阪神,05,2025-12-19,金曜日,,A,10:00,9.1,10:00,13.8,12.5,6.3,4.7
2025,阪神,05,2025-12-20,土曜日,第 5日,A,07:30,9.1,05:30,13.8,12.7,6.9,5.3
2025,阪神,05,2025-12-21,日曜日,第 6日,A,07:30,9.0,05:30,13.6,11.0,5.7,4.3
2025,阪神,05,2025-12-26,金曜日,,B,10:00,8.4,10:00,14.0,13.8,13.9,14.9
2025,阪神,05,2025-12-27,土曜日,第 7日,B,07:30,8.9,05:00,12.8,11.4,10.9,11.7
2025,阪神,05,2025-12-28,日曜日,第 8日,B,07:30,8.9,05:30,14.0,11.0,9.9,9.3
