year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,福島,02,2025-06-27,金曜日,,A,09:00,9.2,09:00,11.7,13.3,7.4,7.1
2025,福島,02,2025-06-28,土曜日,第 1日,A,07:00,9.0,05:00,10.9,12.4,5.0,6.9
2025,福島,02,2025-06-29,日曜日,第 2日,A,07:00,9.0,06:00,10.4,10.8,2.4,1.6
2025,福島,02,2025-07-04,金曜日,,A,09:30,9.1,09:30,10.9,13.0,1.0,1.2
2025,福島,02,2025-07-05,土曜日,第 3日,A,07:00,8.7,05:00,12.1,14.5,5.4,3.6
2025,福島,02,2025-07-06,日曜日,第 4日,A,07:00,8.9,06:00,10.5,10.2,4.0,4.5
2025,福島,02,2025-07-11,金曜日,,B,09:00,9.3,09:00,11.4,10.7,3.3,3.7
2025,福島,02,2025-07-12,土曜日,第 5日,B,07:00,9.4,05:00,11.3,11.0,2.9,2.9
2025,福島,02,2025-07-13,日曜日,第 6日,B,07:00,9.0,06:00,10.2,11.1,2.1,2.2
2025,福島,02,2025-07-18,金曜日,,B,09:00,9.6,09:00,11.8,11.5,3.0,4.0
2025,福島,02,2025-07-19,土曜日,第 7日,B,07:00,9.3,05:00,11.4,10.6,2.8,1.5
2025,福島,02,2025-07-20,日曜日,第 8日,B,07:00,9.2,06:00,11.4,10.7,1.0,2.1
