race_id,segment_index,lap_time_sec
201704020401,1,12.7
201704020401,2,11.7
201704020401,3,12.6
201704020401,4,12.5
201704020401,5,11.7
201704020401,6,11.5
201704020401,7,10.7
201704020401,8,12.1
201704020402,1,12.1
201704020402,2,11.0
201704020402,3,11.3
201704020402,4,12.4
201704020402,5,12.3
201704020402,6,13.7
201704020403,1,12.7
201704020403,2,10.8
201704020403,3,12.3
201704020403,4,13.7
201704020403,5,13.2
201704020403,6,13.2
201704020403,7,13.3
201704020403,8,12.2
201704020403,9,13.2
201704020404,1,12.6
201704020404,2,11.3
201704020404,3,12.1
201704020404,4,12.5
201704020404,5,12.0
201704020404,6,11.3
201704020404,7,10.6
201704020404,8,11.9
201704020405,1,12.8
201704020405,2,12.2
201704020405,3,12.8
201704020405,4,13.4
201704020405,5,13.6
201704020405,6,12.8
201704020405,7,11.2
201704020405,8,10.5
201704020405,9,11.1
201704020406,1,13.2
201704020406,2,11.6
201704020406,3,11.8
201704020406,4,12.1
201704020406,5,12.1
201704020406,6,11.4
201704020406,7,11.5
201704020407,1,12.4
201704020407,2,11.0
201704020407,3,12.5
201704020407,4,13.6
201704020407,5,13.0
201704020407,6,12.8
201704020407,7,12.9
201704020407,8,12.7
201704020407,9,13.0
201704020408,1,13.2
201704020408,2,11.9
201704020408,3,11.8
201704020408,4,12.5
201704020408,5,13.1
201704020408,6,12.4
201704020408,7,12.6
201704020408,8,12.2
201704020408,9,11.6
201704020408,10,10.8
201704020408,11,11.2
201704020409,1,12.8
201704020409,2,11.3
201704020409,3,11.5
201704020409,4,12.1
201704020409,5,12.5
201704020409,6,12.0
201704020409,7,11.5
201704020409,8,10.9
201704020409,9,11.6
201704020410,1,12.0
201704020410,2,10.2
201704020410,3,10.5
201704020410,4,10.2
201704020410,5,11.5
201704020411,1,12.3
201704020411,2,11.1
201704020411,3,12.7
201704020411,4,13.1
201704020411,5,12.5
201704020411,6,12.8
201704020411,7,12.9
201704020411,8,12.7
201704020411,9,12.8
201704020412,1,12.0
201704020412,2,11.0
201704020412,3,11.6
201704020412,4,12.4
201704020412,5,12.5
201704020412,6,12.6
201710020401,1,11.8
201710020401,2,10.4
201710020401,3,10.9
201710020401,4,11.7
201710020401,5,11.7
201710020401,6,12.5
201710020402,1,12.1
201710020402,2,10.5
201710020402,3,11.5
201710020402,4,12.3
201710020402,5,13.3
201710020403,1,7.0
201710020403,2,11.2
201710020403,3,12.6
201710020403,4,13.2
201710020403,5,12.3
201710020403,6,12.0
201710020403,7,12.6
201710020403,8,12.5
201710020403,9,13.2
201710020405,1,12.6
201710020405,2,12.0
201710020405,3,13.4
201710020405,4,12.6
201710020405,5,12.2
201710020405,6,12.2
201710020405,7,12.1
201710020405,8,11.8
201710020405,9,12.1
201710020406,1,12.3
201710020406,2,10.8
201710020406,3,11.0
201710020406,4,11.6
201710020406,5,11.6
201710020406,6,12.1
201710020407,1,12.4
201710020407,2,10.9
201710020407,3,11.6
201710020407,4,12.7
201710020407,5,12.2
201710020407,6,12.2
201710020407,7,12.2
201710020407,8,12.4
201710020407,9,12.1
201710020407,10,12.4
201710020408,1,7.0
201710020408,2,10.9
201710020408,3,12.0
201710020408,4,13.0
201710020408,5,12.3
201710020408,6,12.2
201710020408,7,12.7
201710020408,8,13.1
201710020408,9,13.5
201710020409,1,6.9
201710020409,2,11.4
201710020409,3,12.3
201710020409,4,11.8
201710020409,5,11.7
201710020409,6,11.9
201710020409,7,11.8
201710020409,8,11.6
201710020409,9,11.8
201710020410,1,7.0
201710020410,2,11.0
201710020410,3,11.5
201710020410,4,12.4
201710020410,5,12.1
201710020410,6,12.3
201710020410,7,12.8
201710020410,8,12.7
201710020410,9,13.1
201710020411,1,12.3
201710020411,2,10.8
201710020411,3,11.3
201710020411,4,12.3
201710020411,5,11.6
201710020411,6,11.5
201710020411,7,11.9
201710020411,8,11.9
201710020411,9,11.8
201710020411,10,12.2
201710020412,1,11.7
201710020412,2,10.6
201710020412,3,11.2
201710020412,4,11.7
201710020412,5,11.3
201710020412,6,11.7
201701010401,1,6.8
201701010401,2,11.5
201701010401,3,11.3
201701010401,4,11.7
201701010401,5,12.0
201701010401,6,12.1
201701010401,7,11.5
201701010401,8,12.4
201701010402,1,12.4
201701010402,2,11.0
201701010402,3,11.5
201701010402,4,11.7
201701010402,5,12.4
201701010403,1,7.0
201701010403,2,10.8
201701010403,3,12.3
201701010403,4,12.6
201701010403,5,13.0
201701010403,6,12.9
201701010403,7,12.5
201701010403,8,12.5
201701010403,9,13.3
201701010404,1,12.6
201701010404,2,10.8
201701010404,3,11.5
201701010404,4,12.3
201701010404,5,12.2
201701010404,6,12.7
201701010404,7,12.6
201701010404,8,12.3
201701010404,9,11.8
201701010404,10,12.2
201701010405,1,12.6
201701010405,2,11.7
201701010405,3,12.9
201701010405,4,12.9
201701010405,5,12.9
201701010405,6,12.9
201701010405,7,12.2
201701010405,8,11.3
201701010405,9,11.7
201701010406,1,12.8
201701010406,2,11.9
201701010406,3,13.5
201701010406,4,13.2
201701010406,5,13.2
201701010406,6,13.6
201701010406,7,13.6
201701010406,8,13.5
201701010406,9,12.9
201701010406,10,12.6
201701010406,11,12.3
201701010406,12,12.6
201701010407,1,6.9
201701010407,2,10.6
201701010407,3,11.5
201701010407,4,11.9
201701010407,5,12.4
201701010407,6,13.3
201701010407,7,13.1
201701010407,8,12.7
201701010407,9,13.2
201701010408,1,11.9
201701010408,2,10.8
201701010408,3,10.9
201701010408,4,11.4
201701010408,5,11.6
201701010408,6,12.0
201701010409,1,12.9
201701010409,2,11.8
201701010409,3,12.0
201701010409,4,12.5
201701010409,5,12.6
201701010409,6,13.0
201701010409,7,13.0
201701010409,8,12.7
201701010409,9,12.7
201701010409,10,11.9
201701010409,11,11.9
201701010409,12,11.8
201701010409,13,12.0
201701010410,1,6.9
201701010410,2,11.1
201701010410,3,11.8
201701010410,4,12.1
201701010410,5,12.3
201701010410,6,12.7
201701010410,7,12.3
201701010410,8,12.6
201701010410,9,12.7
201701010411,1,12.1
201701010411,2,10.4
201701010411,3,11.0
201701010411,4,11.2
201701010411,5,11.3
201701010411,6,11.7
201701010412,1,12.5
201701010412,2,11.7
201701010412,3,12.3
201701010412,4,12.2
201701010412,5,12.4
201701010412,6,11.7
201701010412,7,11.5
201701010412,8,11.4
201701010412,9,11.5
