race_id,ranking_type,rank,name,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate
202646072710,jockey,1,中島龍也,79,55,51,139,324,24.4%,41.4%,54%,70.5%,82.5%
202646072710,jockey,2,栗原大河,60,65,42,220,387,15.5%,32.3%,40.3%,65.4%,68.1%
202646072710,jockey,3,青柳正義,55,61,52,189,357,15.4%,32.5%,44.5%,49%,74.9%
202646072710,jockey,4,加藤翔馬,41,43,36,138,258,15.9%,32.6%,42.6%,69.7%,70.8%
202646072710,jockey,5,柴田勇真,36,39,39,220,334,10.8%,22.5%,32.6%,53.1%,73.4%
202646072710,jockey,6,吉原寛人,30,22,14,34,100,30%,52%,66%,55.9%,87.2%
202646072710,jockey,7,魚住謙心,28,25,23,242,318,8.8%,16.7%,22%,104.6%,56.9%
202646072710,jockey,8,松戸政也,25,21,46,197,289,8.7%,15.9%,29.4%,61.1%,66.4%
202646072710,jockey,9,吉田晃浩,23,25,25,212,285,8.1%,16.8%,22.5%,106.1%,54.1%
202646072710,jockey,10,田知弘久,16,9,14,144,183,8.7%,13.7%,20.2%,62.6%,70%
202646072710,jockey,11,甲賀弘隆,10,14,21,209,254,3.9%,9.4%,16.9%,28.4%,48.1%
202646072710,jockey,12,鈴木太一,10,7,16,100,133,7.5%,12.8%,21.8%,73.6%,59.2%
202646072710,jockey,13,沖静男,9,11,12,141,173,5.2%,11.6%,17.3%,50.4%,49.7%
202646072710,jockey,14,平瀬城久,8,11,15,123,157,5.1%,12.1%,18.5%,39.7%,53.2%
202646072710,jockey,15,米倉知,8,7,4,77,96,8.3%,15.6%,17.7%,69.3%,42.2%
202646072710,jockey,16,浅野登生,7,7,7,67,88,8%,15.9%,22.7%,90.6%,49.7%
202646072710,jockey,17,葛山晃平,5,10,11,48,74,6.8%,20.3%,33.8%,31.1%,154.2%
202646072710,jockey,18,兼子千央,4,8,11,104,127,3.1%,9.4%,17.3%,109.7%,58%
202646072710,jockey,19,服部大地,3,7,8,127,145,2.1%,6.9%,9.7%,22.6%,37.7%
202646072710,jockey,20,望月洵輝,3,6,5,8,22,13.6%,40.9%,59.1%,44.5%,86.8%
202646072710,sire,1,ルーラーシップ,15,7,5,55,82,18.3%,26.8%,30.5%,147.6%,55.6%
202646072710,sire,2,ダノンレジェンド,14,6,2,26,48,29.2%,41.7%,45.8%,176.5%,66%
202646072710,sire,3,ドレフォン,12,3,4,27,46,26.1%,32.6%,37%,98.5%,54.8%
202646072710,sire,4,シルポート,11,6,4,5,26,42.3%,65.4%,76.9%,105.8%,98.8%
202646072710,sire,5,ジャスタウェイ,10,5,6,48,69,14.5%,21.7%,29%,34.6%,62.6%
202646072710,sire,6,シルバーステート,9,13,7,46,75,12%,29.3%,38.7%,44.4%,75.7%
202646072710,sire,7,レイデオロ,9,5,3,22,39,23.1%,35.9%,43.6%,59%,65.4%
202646072710,sire,8,リオンディーズ,9,4,4,45,62,14.5%,21%,27.4%,200%,67.4%
202646072710,sire,9,リアルスティール,9,2,3,13,27,33.3%,40.7%,51.9%,99.6%,72.2%
202646072710,sire,10,ベルシャザール,7,8,9,45,69,10.1%,21.7%,33.3%,97.5%,67.4%
202646072710,sire,11,アドマイヤムーン,7,7,2,32,48,14.6%,29.2%,31.2%,57.3%,72.9%
