race_id,ranking_type,rank,name,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate
202646072708,jockey,1,中島龍也,68,50,40,120,278,24.5%,42.4%,54%,63.6%,80.9%
202646072708,jockey,2,栗原大河,63,43,29,188,323,19.5%,32.8%,40.6%,86.6%,75.7%
202646072708,jockey,3,青柳正義,41,47,45,174,307,13.4%,28.7%,41%,84.6%,78.7%
202646072708,jockey,4,加藤翔馬,39,36,26,118,219,17.8%,34.2%,44.7%,53.2%,78.8%
202646072708,jockey,5,柴田勇真,37,38,29,192,296,12.5%,25.3%,33.8%,40.9%,59.9%
202646072708,jockey,6,吉原寛人,24,4,4,30,62,38.7%,45.2%,51.6%,91.9%,63.7%
202646072708,jockey,7,松戸政也,21,28,31,173,253,8.3%,19.4%,28.9%,77.6%,74.2%
202646072708,jockey,8,魚住謙心,20,25,30,207,282,7.1%,16%,24.5%,160.6%,63.5%
202646072708,jockey,9,吉田晃浩,16,26,21,155,218,7.3%,19.3%,28%,271.7%,62.1%
202646072708,jockey,10,田知弘久,11,14,20,132,177,6.2%,14.1%,23.7%,34.6%,62.6%
202646072708,jockey,11,甲賀弘隆,8,18,26,192,244,3.3%,10.7%,18.9%,43.3%,85.1%
202646072708,jockey,12,米倉知,8,14,11,56,89,9%,24.7%,36%,105.2%,95.6%
202646072708,jockey,13,沖静男,8,7,12,115,142,5.6%,10.6%,17.6%,159.1%,84.2%
202646072708,jockey,14,平瀬城久,6,10,14,117,147,4.1%,10.9%,19.7%,16.7%,52.4%
202646072708,jockey,15,鈴木太一,5,8,10,87,110,4.5%,11.8%,20%,54.3%,57.7%
202646072708,jockey,16,兼子千央,4,12,8,95,119,3.4%,13.4%,19.3%,20.9%,51.4%
202646072708,jockey,17,葛山晃平,3,0,9,40,52,5.8%,5.8%,19.2%,91.9%,37.5%
202646072708,jockey,18,望月洵輝,2,3,4,9,18,11.1%,27.8%,50%,64.4%,63.9%
202646072708,jockey,19,笹川翼,2,1,1,1,5,40%,60%,80%,112%,100%
202646072708,jockey,20,筒井勇介,2,1,0,3,6,33.3%,50%,50%,51.7%,73.3%
202646072708,sire,1,ディスクリートキャット,15,5,2,20,42,35.7%,47.6%,52.4%,113.6%,66.9%
202646072708,sire,2,シルポート,12,4,2,11,29,41.4%,55.2%,62.1%,64.1%,74.8%
202646072708,sire,3,ルヴァンスレーヴ,11,7,9,18,45,24.4%,40%,55.6%,102.2%,77.3%
202646072708,sire,4,ルーラーシップ,10,8,6,46,70,14.3%,25.7%,34.3%,56.1%,105.1%
202646072708,sire,5,マクフィ,10,1,2,5,18,55.6%,61.1%,72.2%,216.7%,108.3%
202646072708,sire,6,レイデオロ,8,8,8,16,40,20%,40%,52.5%,109.5%,86.2%
202646072708,sire,7,エピファネイア,8,7,2,36,53,15.1%,28.3%,32.1%,177.4%,81.1%
202646072708,sire,8,マジェスティックウォリアー,8,5,5,21,39,20.5%,33.3%,46.2%,65.4%,67.4%
202646072708,sire,9,シルバーステート,7,7,10,32,56,12.5%,25%,42.9%,32.3%,77.1%
202646072708,sire,10,ダノンレジェンド,7,5,6,20,38,18.4%,31.6%,44.7%,50%,72.1%
202646072708,sire,11,デクラレーションオブウォー,7,5,1,21,34,20.6%,35.3%,38.2%,118.5%,54.1%
202646072708,sire,12,サトノダイヤモンド,7,5,0,10,22,31.8%,54.5%,54.5%,57.7%,61.8%
202646072708,sire,13,アルアイン,6,5,7,26,44,13.6%,25%,38.6%,36.4%,81.4%
202646072708,sire,14,エポカドーロ,6,5,2,12,25,24%,44%,52%,156%,110.8%
