race_id,bet_type,rank,combination,payout,popularity
202505041001,単勝,1,2,130,1
202505041001,複勝,1,2,110,1
202505041001,複勝,2,6,180,3
202505041001,複勝,3,7,340,6
202505041001,枠連,1,1 - 3,190,1
202505041001,馬連,1,2 - 6,540,2
202505041001,ワイド,1,2 - 6,310,2
202505041001,ワイド,2,2 - 7,650,7
202505041001,ワイド,3,6 - 7,2110,19
202505041001,馬単,1,2 → 6,580,2
202505041001,3連複,1,2 - 6 - 7,3110,9
202505041001,3連単,1,2 → 6 → 7,5720,13
202505041002,単勝,1,10,170,1
202505041002,複勝,1,10,110,1
202505041002,複勝,2,4,520,6
202505041002,複勝,3,6,200,4
202505041002,枠連,1,4 - 7,3350,8
202505041002,馬連,1,4 - 10,3270,11
202505041002,ワイド,1,4 - 10,800,11
202505041002,ワイド,2,6 - 10,340,4
202505041002,ワイド,3,4 - 6,2870,21
202505041002,馬単,1,10 → 4,4270,14
202505041002,3連複,1,4 - 6 - 10,5310,15
202505041002,3連単,1,10 → 4 → 6,20590,61
202505041003,単勝,1,2,180,1
202505041003,複勝,1,2,110,1
202505041003,複勝,2,1,110,4
202505041003,複勝,3,3,110,3
202505041003,複勝,4,6,110,2
202505041003,枠連,1,1 - 2,700,3
202505041003,馬連,1,1 - 2,690,3
202505041003,ワイド,1,1 - 2,150,4
202505041003,ワイド,2,2 - 3,120,2
202505041003,ワイド,3,2 - 6,110,1
202505041003,ワイド,4,1 - 3,250,7
202505041003,ワイド,5,1 - 6,230,6
202505041003,馬単,1,2 → 1,940,4
202505041003,3連複,1,1 - 2 - 3,470,3
202505041003,3連複,2,1 - 2 - 6,370,2
202505041003,3連単,1,2 → 1 → 3,1630,12
202505041003,3連単,2,2 → 1 → 6,1350,7
202505041004,単勝,1,13,1280,6
202505041004,複勝,1,13,390,6
202505041004,複勝,2,3,320,5
202505041004,複勝,3,15,770,8
202505041004,枠連,1,2 - 7,5410,18
202505041004,馬連,1,3 - 13,7170,26
202505041004,ワイド,1,3 - 13,2230,29
202505041004,ワイド,2,13 - 15,2730,33
202505041004,ワイド,3,3 - 15,3900,41
202505041004,馬単,1,13 → 3,14010,49
202505041004,3連複,1,3 - 13 - 15,36940,104
