year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2026,京都,02,2026-01-30,金曜日,,B,09:00,10.4,10:00,9.2,8.9,1.3,1.5
2026,京都,02,2026-01-31,土曜日,第 1日,B,07:00,10.8,06:00,9.6,8.7,1.4,1.3
2026,京都,02,2026-02-01,日曜日,第 2日,B,07:00,10.7,06:00,9.5,8.4,1.0,1.2
2026,京都,02,2026-02-06,金曜日,,B,09:00,10.3,10:00,9.4,9.0,1.9,1.7
2026,京都,02,2026-02-07,土曜日,第 3日,B,07:00,10.7,06:00,7.7,8.5,1.5,1.4
2026,京都,02,2026-02-08,日曜日,,B,15:00,11.0,15:00,8.6,7.8,1.9,2.0
2026,京都,02,2026-02-09,月曜日,,B,14:00,10.7,14:00,9.7,7.6,4.2,2.7
2026,京都,02,2026-02-10,火曜日,第 4日,B,07:00,10.9,06:00,9.8,8.5,3.5,2.8
2026,京都,02,2026-02-13,金曜日,,B,09:00,10.1,10:00,9.2,8.4,9.4,8.4
2026,京都,02,2026-02-14,土曜日,第 5日,B,07:00,10.9,06:00,8.8,8.2,8.6,8.9
2026,京都,02,2026-02-15,日曜日,第 6日,B,07:00,10.9,06:00,9.3,8.0,6.7,7.7
