year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2026,小倉,02,2026-06-26,金曜日,,A,08:30,8.7,08:30,13.6,13.0,19.8,19.4
2026,小倉,02,2026-06-27,土曜日,第 1日,A,08:00,8.8,05:00,13.5,13.2,20.6,19.9
2026,小倉,02,2026-06-28,日曜日,第 2日,A,08:00,9.1,05:00,10.0,10.6,10.3,13.6
2026,小倉,02,2026-07-03,金曜日,,A,08:30,9.3,08:30,9.9,10.3,11.3,13.4
2026,小倉,02,2026-07-04,土曜日,第 3日,A,08:00,8.9,05:00,9.5,9.4,8.0,11.1
2026,小倉,02,2026-07-05,日曜日,第 4日,A,08:00,7.7,05:00,10.5,10.5,13.3,15.1
2026,小倉,02,2026-07-10,金曜日,,A,08:30,10.0,08:30,9.6,9.5,2.0,3.5
2026,小倉,02,2026-07-11,土曜日,第 5日,A,08:00,9.8,05:00,9.7,9.1,1.8,2.9
2026,小倉,02,2026-07-12,日曜日,第 6日,A,08:00,9.8,05:00,9.1,9.1,1.7,2.5
2026,小倉,02,2026-07-17,金曜日,,A,08:30,9.8,08:30,9.3,9.3,1.1,1.6
2026,小倉,02,2026-07-18,土曜日,第 7日,A,08:00,9.7,05:00,9.7,10.5,11.1,11.3
2026,小倉,02,2026-07-19,日曜日,第 8日,A,08:00,10.2,05:00,9.2,9.2,5.0,6.2
