year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2026,中山,03,2026-03-27,金曜日,,A,10:30,9.1,10:30,13.5,13.2,13.1,13.5
2026,中山,03,2026-03-28,土曜日,第 1日,A,07:00,9.1,06:00,14.4,14.6,13.2,13.0
2026,中山,03,2026-03-29,日曜日,第 2日,A,07:00,9.4,06:00,13.8,12.3,10.8,10.7
2026,中山,03,2026-04-03,金曜日,,B,10:30,9.1,10:30,12.9,14.1,11.4,11.6
2026,中山,03,2026-04-04,土曜日,第 3日,B,07:00,9.2,05:30,13.0,13.7,8.7,8.8
2026,中山,03,2026-04-05,日曜日,第 4日,B,07:00,7.9,06:00,13.7,14.6,13.5,15.1
2026,中山,03,2026-04-10,金曜日,,B,10:30,9.4,10:30,11.3,12.5,7.5,6.8
2026,中山,03,2026-04-11,土曜日,第 5日,B,07:00,9.0,05:30,12.9,14.0,12.0,13.1
2026,中山,03,2026-04-12,日曜日,第 6日,B,07:00,9.3,06:00,12.0,13.2,7.9,8.0
2026,中山,03,2026-04-17,金曜日,,C,10:30,9.6,10:30,9.8,10.6,7.1,5.5
2026,中山,03,2026-04-18,土曜日,第 7日,C,07:00,9.6,06:00,10.6,10.6,5.8,4.1
2026,中山,03,2026-04-19,日曜日,第 8日,C,07:00,9.8,06:00,10.3,9.8,4.6,4.1
