gap_bin,n,win_rate,win_ci_lo,win_ci_hi,place3_rate,place3_ci_lo,place3_ci_hi
0-1馬身,133,0.18045112781954886,0.12030075187969924,0.24812030075187969,0.41353383458646614,0.3308270676691729,0.49624060150375937
1-2馬身,144,0.125,0.0763888888888889,0.18055555555555555,0.4166666666666667,0.3402777777777778,0.5
2-3馬身,234,0.09401709401709402,0.05982905982905983,0.13247863247863248,0.3034188034188034,0.24358974358974358,0.36752136752136755
3-4馬身,308,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.288961038961039,0.24025974025974026,0.33766233766233766
4-5馬身,398,0.06281407035175879,0.04020100502512563,0.08793969849246232,0.2185929648241206,0.17839195979899497,0.2613065326633166
5-6馬身,450,0.06,0.03777777777777778,0.08222222222222222,0.18666666666666668,0.1511111111111111,0.2222222222222222
6-7馬身,413,0.031476997578692496,0.01694915254237288,0.048426150121065374,0.11864406779661017,0.08716707021791767,0.15012106537530268
7-8馬身,361,0.01662049861495845,0.00554016620498615,0.030470914127423823,0.11634349030470914,0.08580332409972301,0.14958448753462603
8-10馬身,842,0.021377672209026127,0.011876484560570071,0.030878859857482184,0.08669833729216152,0.06769596199524941,0.10570071258907364
10-12馬身,23,0.0,0.0,0.0,0.043478260869565216,0.0,0.13043478260869565
