threshold_lengths,n_excluded,exclusion_rate,wins_lost,wins_lost_rate,place3_lost,place3_lost_rate
4,2487,0.7522686025408348,89,0.478494623655914,336,0.5499181669394435
5,2089,0.631881427707199,64,0.34408602150537637,249,0.4075286415711948
6,1639,0.4957652752571083,37,0.1989247311827957,165,0.2700490998363339
7,1226,0.37084089534180276,24,0.12903225806451613,116,0.18985270049099837
8,865,0.2616454930429522,18,0.0967741935483871,74,0.12111292962356793
10,23,0.0069570477918935265,0,0.0,1,0.0016366612111292963
