circuit,rank_delta_bin,n,win_rate,place2_rate,place3_rate
JRA,3位以上ダウン,275,0.04363636363636364,0.06909090909090909,0.10909090909090909
JRA,2位ダウン,366,0.05191256830601093,0.1092896174863388,0.16120218579234974
JRA,1位ダウン,1082,0.06469500924214418,0.12384473197781885,0.1922365988909427
JRA,変化なし,2893,0.08019357068786727,0.16038714137573454,0.23988938817836156
JRA,1位アップ,1098,0.07194899817850638,0.15482695810564662,0.24134790528233152
JRA,2位アップ,443,0.11512415349887133,0.23702031602708803,0.3182844243792325
JRA,3位以上アップ,238,0.1134453781512605,0.19747899159663865,0.29831932773109243
NAR,3位以上ダウン,448,0.06696428571428571,0.14285714285714285,0.19196428571428573
NAR,2位ダウン,862,0.05336426914153132,0.11948955916473318,0.20185614849187936
NAR,1位ダウン,2654,0.07724189902034664,0.1586284853051997,0.25018839487565936
NAR,変化なし,8383,0.10807586782774663,0.20696647978050817,0.3058570917332697
NAR,1位アップ,2897,0.10838798757335175,0.23334483948912668,0.34311356575768037
NAR,2位アップ,909,0.12211221122112212,0.23322332233223322,0.3718371837183718
NAR,3位以上アップ,363,0.12947658402203857,0.29201101928374656,0.418732782369146
