gap_delta_bin,n,win_rate,place2_rate,place3_rate
2馬身以上拡大,871,0.0642939150401837,0.12629161882893225,0.19632606199770378
0.5〜2馬身拡大,5218,0.06305097738597164,0.14220007665772327,0.22958988118052895
ほぼ変化なし,10921,0.09916674297225529,0.1872539144766963,0.2751579525684461
0.5〜2馬身縮小,5219,0.1103659704924315,0.23031232036788657,0.34010346809733666
2馬身以上縮小,682,0.15395894428152493,0.28885630498533726,0.42668621700879766
