circuit,pair,mark_a,mark_b,n,win_rate,place2_rate,place3_rate
JRA,本紙xその他,☆,▲,73,0.1506849315068493,0.2465753424657534,0.3424657534246575
JRA,本紙xその他,△,▲,147,0.14285714285714285,0.272108843537415,0.4217687074829932
JRA,本紙xその他,▲,▲,108,0.12962962962962962,0.25925925925925924,0.4166666666666667
JRA,本紙xその他,☆,○,72,0.125,0.3055555555555556,0.4583333333333333
JRA,本紙xその他,△,◎,56,0.125,0.2857142857142857,0.4107142857142857
JRA,本紙xその他,▲,△,81,0.12345679012345678,0.18518518518518517,0.2962962962962963
JRA,本紙xその他,○,△,76,0.10526315789473684,0.19736842105263158,0.35526315789473684
JRA,本紙xその他,◎,△,55,0.07272727272727272,0.2545454545454545,0.36363636363636365
JRA,本紙xその他,△,△,256,0.06640625,0.171875,0.2890625
JRA,本紙xその他,☆,△,97,0.061855670103092786,0.16494845360824742,0.27835051546391754
JRA,CP予想xその他,◎,◎,124,0.3467741935483871,0.5161290322580645,0.5967741935483871
JRA,CP予想xその他,◎,○,81,0.30864197530864196,0.49382716049382713,0.6049382716049383
JRA,CP予想xその他,○,◎,76,0.3026315789473684,0.5,0.5394736842105263
JRA,CP予想xその他,○,○,73,0.2465753424657534,0.410958904109589,0.5342465753424658
JRA,CP予想xその他,△,◎,54,0.24074074074074073,0.37037037037037035,0.5740740740740741
JRA,CP予想xその他,△,○,59,0.23728813559322035,0.4915254237288136,0.6440677966101694
JRA,CP予想xその他,▲,◎,47,0.2127659574468085,0.44680851063829785,0.5531914893617021
JRA,CP予想xその他,◎,▲,53,0.20754716981132076,0.4528301886792453,0.5660377358490566
JRA,CP予想xその他,○,△,69,0.14492753623188406,0.2898550724637681,0.3333333333333333
JRA,CP予想xその他,▲,▲,69,0.14492753623188406,0.2463768115942029,0.43478260869565216
JRA,CP予想xその他,▲,○,49,0.14285714285714285,0.30612244897959184,0.42857142857142855
JRA,CP予想xその他,△,▲,39,0.1282051282051282,0.23076923076923078,0.38461538461538464
JRA,CP予想xその他,○,▲,71,0.1267605633802817,0.2676056338028169,0.4084507042253521
JRA,CP予想xその他,◎,△,52,0.057692307692307696,0.21153846153846154,0.3076923076923077
JRA,CP予想xその他,△,△,71,0.056338028169014086,0.18309859154929578,0.352112676056338
JRA,CP予想xその他,▲,△,82,0.04878048780487805,0.13414634146341464,0.2804878048780488
NAR,CP予想xその他,◎,◎,504,0.4087301587301587,0.5853174603174603,0.7142857142857143
NAR,CP予想xその他,○,◎,324,0.3117283950617284,0.5308641975308642,0.654320987654321
NAR,CP予想xその他,▲,◎,264,0.2916666666666667,0.45075757575757575,0.5871212121212122
NAR,CP予想xその他,◎,○,343,0.24198250728862974,0.46647230320699706,0.60932944606414
NAR,CP予想xその他,△,◎,219,0.228310502283105,0.3926940639269406,0.54337899543379
NAR,CP予想xその他,◎,▲,233,0.22746781115879827,0.3905579399141631,0.5407725321888412
NAR,CP予想xその他,○,○,313,0.20766773162939298,0.402555910543131,0.5623003194888179
NAR,CP予想xその他,▲,○,277,0.19133574007220217,0.3971119133574007,0.5487364620938628
NAR,CP予想xその他,○,▲,270,0.17407407407407408,0.31851851851851853,0.5
NAR,CP予想xその他,△,○,249,0.1566265060240964,0.3493975903614458,0.5100401606425703
NAR,CP予想xその他,▲,▲,290,0.1310344827586207,0.3,0.45517241379310347
NAR,CP予想xその他,○,△,219,0.1187214611872146,0.2511415525114155,0.3698630136986301
NAR,CP予想xその他,◎,△,183,0.09836065573770492,0.2677595628415301,0.3989071038251366
NAR,CP予想xその他,▲,△,257,0.09727626459143969,0.245136186770428,0.3540856031128405
NAR,CP予想xその他,△,▲,267,0.09363295880149813,0.23220973782771537,0.39325842696629215
NAR,CP予想xその他,△,△,246,0.06504065040650407,0.15447154471544716,0.26422764227642276
