circuit,pair,mark_a,mark_b,n,win_rate,place2_rate,place3_rate
JRA,本紙xCP予想,○,◎,74,0.32432432432432434,0.527027027027027,0.6081081081081081
JRA,本紙xCP予想,◎,○,62,0.3225806451612903,0.532258064516129,0.5967741935483871
JRA,本紙xCP予想,◎,◎,90,0.3,0.5,0.6111111111111112
JRA,本紙xCP予想,▲,◎,62,0.25806451612903225,0.3387096774193548,0.45161290322580644
JRA,本紙xCP予想,○,△,48,0.22916666666666666,0.3958333333333333,0.6041666666666666
JRA,本紙xCP予想,▲,○,57,0.22807017543859648,0.3508771929824561,0.49122807017543857
JRA,本紙xCP予想,☆,○,49,0.20408163265306123,0.40816326530612246,0.4897959183673469
JRA,本紙xCP予想,◎,△,55,0.18181818181818182,0.32727272727272727,0.4909090909090909
JRA,本紙xCP予想,◎,▲,41,0.17073170731707318,0.3170731707317073,0.4634146341463415
JRA,本紙xCP予想,○,○,54,0.14814814814814814,0.2037037037037037,0.25925925925925924
JRA,本紙xCP予想,▲,▲,51,0.13725490196078433,0.27450980392156865,0.45098039215686275
JRA,本紙xCP予想,○,▲,47,0.1276595744680851,0.3404255319148936,0.425531914893617
JRA,本紙xCP予想,☆,◎,47,0.1276595744680851,0.2765957446808511,0.3829787234042553
JRA,本紙xCP予想,△,◎,90,0.1111111111111111,0.2777777777777778,0.3333333333333333
JRA,本紙xCP予想,△,△,115,0.10434782608695652,0.16521739130434782,0.2782608695652174
JRA,本紙xCP予想,△,○,122,0.09836065573770492,0.2459016393442623,0.3360655737704918
JRA,本紙xCP予想,☆,△,42,0.09523809523809523,0.19047619047619047,0.3333333333333333
JRA,本紙xCP予想,▲,△,56,0.08928571428571429,0.3392857142857143,0.44642857142857145
JRA,本紙xCP予想,△,▲,117,0.08547008547008547,0.19658119658119658,0.3247863247863248
JRA,本紙xCP予想,☆,▲,56,0.07142857142857142,0.14285714285714285,0.23214285714285715
JRA,本紙xその他,◎,◎,187,0.34759358288770054,0.5294117647058824,0.6631016042780749
JRA,本紙xその他,○,◎,132,0.3333333333333333,0.5151515151515151,0.5984848484848485
JRA,本紙xその他,◎,○,116,0.3103448275862069,0.4482758620689655,0.5775862068965517
JRA,本紙xその他,☆,◎,51,0.29411764705882354,0.5098039215686274,0.5882352941176471
JRA,本紙xその他,▲,◎,88,0.2159090909090909,0.3522727272727273,0.4090909090909091
JRA,本紙xその他,◎,▲,51,0.21568627450980393,0.4117647058823529,0.49019607843137253
JRA,本紙xその他,○,▲,86,0.19767441860465115,0.29069767441860467,0.38372093023255816
JRA,本紙xその他,▲,○,104,0.19230769230769232,0.375,0.5576923076923077
JRA,本紙xその他,○,○,106,0.16981132075471697,0.4056603773584906,0.5754716981132075
JRA,本紙xその他,△,○,98,0.16326530612244897,0.3163265306122449,0.40816326530612246
