circuit,column,mark,n,win_rate,place2_rate,place3_rate
JRA,本紙,◎,498,0.24497991967871485,0.40763052208835343,0.5200803212851406
JRA,本紙,○,500,0.184,0.328,0.452
JRA,本紙,▲,502,0.13745019920318724,0.26693227091633465,0.40039840637450197
JRA,本紙,△,1405,0.06761565836298933,0.15516014234875444,0.2498220640569395
JRA,本紙,☆,496,0.0967741935483871,0.21975806451612903,0.33064516129032256
JRA,本紙,(無印),3142,0.02514322087842139,0.05760661998726926,0.09929980903882878
JRA,CP予想,◎,448,0.19866071428571427,0.33482142857142855,0.41964285714285715
JRA,CP予想,○,447,0.15212527964205816,0.27740492170022374,0.3691275167785235
JRA,CP予想,▲,445,0.07640449438202247,0.1752808988764045,0.28314606741573034
JRA,CP予想,△,448,0.10267857142857142,0.21651785714285715,0.3325892857142857
JRA,CP予想,(無印),4755,0.05636172450052576,0.11777076761303891,0.1861198738170347
JRA,その他,◎,540,0.2851851851851852,0.4537037037037037,0.5555555555555556
JRA,その他,○,539,0.19851576994434136,0.3673469387755102,0.5064935064935064
JRA,その他,▲,543,0.14548802946593,0.26519337016574585,0.39226519337016574
JRA,その他,△,762,0.06430446194225722,0.15879265091863518,0.2664041994750656
JRA,その他,(無印),2603,0.040338071456012294,0.10103726469458317,0.17249327698809067
JRA,その他,★,1556,0.007069408740359897,0.02442159383033419,0.04820051413881748
JRA,(全体平均),-,6543,0.07718172092312395,0.154210606755311,0.2312394925874981
NAR,本紙,(無印),16516,0.10044805037539356,0.20083555340276096,0.30104141438604987
NAR,CP予想,◎,1638,0.24053724053724054,0.4078144078144078,0.5366300366300366
NAR,CP予想,○,1636,0.17053789731051344,0.32334963325183375,0.456601466992665
NAR,CP予想,▲,1643,0.1363359707851491,0.2793670115642118,0.41022519780888617
NAR,CP予想,△,1635,0.10275229357798166,0.22446483180428134,0.344954128440367
NAR,CP予想,(無印),9964,0.05961461260537937,0.12986752308309915,0.21156162183861904
NAR,その他,◎,1827,0.29720853858784896,0.4723590585659551,0.6075533661740559
NAR,その他,○,1948,0.18172484599589322,0.3660164271047228,0.5092402464065708
NAR,その他,▲,2023,0.12802768166089964,0.2609985170538804,0.4018783984181908
NAR,その他,△,2037,0.07756504663721159,0.18065783014236622,0.28915071183112423
NAR,その他,(無印),6127,0.04831075567161743,0.11914476905500244,0.20515749959196997
NAR,その他,★,2554,0.01918559122944401,0.04502740798747063,0.08261550509005482
NAR,(全体平均),-,16516,0.10044805037539356,0.20083555340276096,0.30104141438604987
