circuit,gap_delta_bin,n,win_rate,place2_rate,place3_rate
JRA,2馬身以上拡大,177,0.05084745762711865,0.1016949152542373,0.14689265536723164
JRA,0.5〜2馬身拡大,1524,0.05774278215223097,0.11220472440944881,0.1830708661417323
JRA,ほぼ変化なし,3214,0.0774735532047293,0.1537025513378967,0.2283758556316117
JRA,0.5〜2馬身縮小,1346,0.09583952451708767,0.19687964338781574,0.2852897473997028
JRA,2馬身以上縮小,134,0.11194029850746269,0.23134328358208955,0.3358208955223881
NAR,2馬身以上拡大,694,0.06772334293948126,0.13256484149855907,0.20893371757925072
NAR,0.5〜2馬身拡大,3694,0.06524093123984841,0.1545749864645371,0.24878180833784516
NAR,ほぼ変化なし,7707,0.1082133125729856,0.2012456208641495,0.29466718567536004
NAR,0.5〜2馬身縮小,3873,0.11541440743609604,0.24193131939065324,0.35915311128324295
NAR,2馬身以上縮小,548,0.16423357664233576,0.3029197080291971,0.4489051094890511
