rank_delta_bin,n,win_rate,place2_rate,place3_rate
3位以上ダウン,723,0.058091286307053944,0.11479944674965421,0.16044260027662519
2位ダウン,1228,0.052931596091205214,0.11644951140065146,0.18973941368078176
1位ダウン,3736,0.07360813704496788,0.14855460385438973,0.2334047109207709
変化なし,11276,0.1009223128769067,0.19501596310748492,0.28893224547711954
1位アップ,3995,0.0983729662077597,0.21176470588235294,0.3151439299123905
2位アップ,1352,0.11982248520710059,0.23446745562130178,0.35428994082840237
3位以上アップ,601,0.12312811980033278,0.2545757071547421,0.37104825291181365
