running_style,rank_delta_bin,n,win_rate,place2_rate,place3_rate
不明,1位アップ,149,0.10738255033557047,0.22818791946308725,0.40268456375838924
不明,1位ダウン,164,0.10365853658536585,0.21341463414634146,0.29878048780487804
不明,2位アップ,52,0.07692307692307693,0.19230769230769232,0.38461538461538464
不明,2位ダウン,47,0.1276595744680851,0.2127659574468085,0.2553191489361702
不明,3位以上アップ,31,0.03225806451612903,0.1935483870967742,0.2903225806451613
不明,3位以上ダウン,30,0.1,0.2,0.3
不明,変化なし,502,0.11952191235059761,0.22709163346613545,0.3247011952191235
先,1位アップ,605,0.12231404958677686,0.2611570247933884,0.3603305785123967
先,1位ダウン,799,0.0851063829787234,0.16896120150187735,0.2753441802252816
先,2位アップ,179,0.16759776536312848,0.30726256983240224,0.43575418994413406
先,2位ダウン,297,0.04713804713804714,0.11784511784511785,0.20202020202020202
先,3位以上アップ,89,0.11235955056179775,0.25842696629213485,0.3595505617977528
先,3位以上ダウン,200,0.055,0.115,0.165
先,変化なし,2025,0.15407407407407409,0.2785185185185185,0.39308641975308645
差,1位アップ,2547,0.09422850412249706,0.20455437769925403,0.3140950137416568
差,1位ダウン,2031,0.06745445593303791,0.13884785819793205,0.21959625800098473
差,2位アップ,902,0.11862527716186252,0.229490022172949,0.34146341463414637
差,2位ダウン,651,0.043010752688172046,0.10752688172043011,0.17204301075268819
差,3位以上アップ,384,0.11458333333333333,0.24479166666666666,0.3671875
差,3位以上ダウン,335,0.06567164179104477,0.13134328358208955,0.1582089552238806
差,変化なし,6042,0.08689175769612711,0.17560410460112547,0.26696458126448197
追,1位アップ,553,0.07775768535262206,0.15732368896925858,0.2224231464737794
追,1位ダウン,406,0.04187192118226601,0.09359605911330049,0.1477832512315271
追,2位アップ,175,0.09142857142857143,0.2057142857142857,0.3314285714285714
追,2位ダウン,116,0.07758620689655173,0.10344827586206896,0.1810344827586207
追,3位以上アップ,80,0.175,0.2875,0.425
追,3位以上ダウン,60,0.0,0.016666666666666666,0.1
追,変化なし,1745,0.045845272206303724,0.09111747851002866,0.15472779369627507
逃,1位アップ,141,0.14184397163120568,0.3262411347517731,0.41134751773049644
逃,1位ダウン,336,0.10714285714285714,0.19345238095238096,0.28869047619047616
逃,2位アップ,44,0.11363636363636363,0.20454545454545456,0.3409090909090909
逃,2位ダウン,117,0.06837606837606838,0.13675213675213677,0.23931623931623933
逃,3位以上アップ,17,0.29411764705882354,0.4117647058823529,0.4117647058823529
逃,3位以上ダウン,98,0.061224489795918366,0.09183673469387756,0.15306122448979592
逃,変化なし,962,0.16735966735966737,0.3128898128898129,0.43243243243243246
