column,mark,n,win_rate,place2_rate,place3_rate
本紙,◎,498,0.24497991967871485,0.40763052208835343,0.5200803212851406
本紙,○,500,0.184,0.328,0.452
本紙,▲,502,0.13745019920318724,0.26693227091633465,0.40039840637450197
本紙,△,1405,0.06761565836298933,0.15516014234875444,0.2498220640569395
本紙,☆,496,0.0967741935483871,0.21975806451612903,0.33064516129032256
本紙,(無印),19658,0.08841184250686743,0.17794282226065725,0.26879641876080984
CP予想,◎,2086,0.23154362416107382,0.39213806327900286,0.5115052732502396
CP予想,○,2083,0.16658665386461835,0.31349015842534805,0.43783005280844933
CP予想,▲,2088,0.1235632183908046,0.257183908045977,0.3831417624521073
CP予想,△,2083,0.1027364378300528,0.2227556409025444,0.34229476716274604
CP予想,(無印),14719,0.058563761125076434,0.1259596439975542,0.20334261838440112
その他,◎,2367,0.2944655682298268,0.4681030840726658,0.5956907477820025
その他,○,2487,0.18536389223964617,0.3663047848813832,0.5086449537595497
その他,▲,2566,0.13172252533125486,0.2618862042088854,0.39984411535463754
その他,△,2799,0.07395498392282958,0.17470525187566988,0.2829581993569132
その他,(無印),8730,0.04593356242840779,0.11374570446735395,0.19541809851088202
その他,★,4110,0.014598540145985401,0.03722627737226277,0.06958637469586375
(全体平均),-,23059,0.09384622056463854,0.18760570709918037,0.28123509258857715
