pair,mark_a,mark_b,n,win_rate,place2_rate,place3_rate
本紙xCP予想,○,◎,74,0.32432432432432434,0.527027027027027,0.6081081081081081
本紙xCP予想,◎,○,62,0.3225806451612903,0.532258064516129,0.5967741935483871
本紙xCP予想,◎,◎,90,0.3,0.5,0.6111111111111112
本紙xCP予想,▲,◎,62,0.25806451612903225,0.3387096774193548,0.45161290322580644
本紙xCP予想,○,△,48,0.22916666666666666,0.3958333333333333,0.6041666666666666
本紙xCP予想,▲,○,57,0.22807017543859648,0.3508771929824561,0.49122807017543857
本紙xCP予想,☆,○,49,0.20408163265306123,0.40816326530612246,0.4897959183673469
本紙xCP予想,◎,△,55,0.18181818181818182,0.32727272727272727,0.4909090909090909
本紙xCP予想,◎,▲,41,0.17073170731707318,0.3170731707317073,0.4634146341463415
本紙xCP予想,○,○,54,0.14814814814814814,0.2037037037037037,0.25925925925925924
本紙xCP予想,▲,▲,51,0.13725490196078433,0.27450980392156865,0.45098039215686275
本紙xCP予想,○,▲,47,0.1276595744680851,0.3404255319148936,0.425531914893617
本紙xCP予想,☆,◎,47,0.1276595744680851,0.2765957446808511,0.3829787234042553
本紙xCP予想,△,◎,90,0.1111111111111111,0.2777777777777778,0.3333333333333333
本紙xCP予想,△,△,115,0.10434782608695652,0.16521739130434782,0.2782608695652174
本紙xCP予想,△,○,122,0.09836065573770492,0.2459016393442623,0.3360655737704918
本紙xCP予想,☆,△,42,0.09523809523809523,0.19047619047619047,0.3333333333333333
本紙xCP予想,▲,△,56,0.08928571428571429,0.3392857142857143,0.44642857142857145
本紙xCP予想,△,▲,117,0.08547008547008547,0.19658119658119658,0.3247863247863248
本紙xCP予想,☆,▲,56,0.07142857142857142,0.14285714285714285,0.23214285714285715
本紙xその他,◎,◎,187,0.34759358288770054,0.5294117647058824,0.6631016042780749
本紙xその他,○,◎,132,0.3333333333333333,0.5151515151515151,0.5984848484848485
本紙xその他,◎,○,116,0.3103448275862069,0.4482758620689655,0.5775862068965517
本紙xその他,☆,◎,51,0.29411764705882354,0.5098039215686274,0.5882352941176471
本紙xその他,▲,◎,88,0.2159090909090909,0.3522727272727273,0.4090909090909091
本紙xその他,◎,▲,51,0.21568627450980393,0.4117647058823529,0.49019607843137253
本紙xその他,○,▲,86,0.19767441860465115,0.29069767441860467,0.38372093023255816
本紙xその他,▲,○,104,0.19230769230769232,0.375,0.5576923076923077
本紙xその他,○,○,106,0.16981132075471697,0.4056603773584906,0.5754716981132075
本紙xその他,△,○,98,0.16326530612244897,0.3163265306122449,0.40816326530612246
本紙xその他,☆,▲,73,0.1506849315068493,0.2465753424657534,0.3424657534246575
本紙xその他,△,▲,147,0.14285714285714285,0.272108843537415,0.4217687074829932
本紙xその他,▲,▲,108,0.12962962962962962,0.25925925925925924,0.4166666666666667
本紙xその他,☆,○,72,0.125,0.3055555555555556,0.4583333333333333
本紙xその他,△,◎,56,0.125,0.2857142857142857,0.4107142857142857
本紙xその他,▲,△,81,0.12345679012345678,0.18518518518518517,0.2962962962962963
本紙xその他,○,△,76,0.10526315789473684,0.19736842105263158,0.35526315789473684
本紙xその他,◎,△,55,0.07272727272727272,0.2545454545454545,0.36363636363636365
本紙xその他,△,△,256,0.06640625,0.171875,0.2890625
本紙xその他,☆,△,97,0.061855670103092786,0.16494845360824742,0.27835051546391754
CP予想xその他,◎,◎,628,0.3964968152866242,0.571656050955414,0.6910828025477707
CP予想xその他,○,◎,400,0.31,0.525,0.6325
CP予想xその他,▲,◎,311,0.2797427652733119,0.45016077170418006,0.5819935691318328
CP予想xその他,◎,○,424,0.25471698113207547,0.4716981132075472,0.6084905660377359
CP予想xその他,△,◎,273,0.23076923076923078,0.3882783882783883,0.5494505494505495
CP予想xその他,◎,▲,286,0.22377622377622378,0.4020979020979021,0.5454545454545454
CP予想xその他,○,○,386,0.21502590673575128,0.40414507772020725,0.5569948186528497
CP予想xその他,▲,○,326,0.18404907975460122,0.3834355828220859,0.5306748466257669
CP予想xその他,△,○,308,0.17207792207792208,0.37662337662337664,0.5357142857142857
CP予想xその他,○,▲,341,0.16422287390029325,0.30791788856304986,0.4809384164222874
CP予想xその他,▲,▲,359,0.13370473537604458,0.28969359331476324,0.45125348189415043
CP予想xその他,○,△,288,0.125,0.2604166666666667,0.3611111111111111
CP予想xその他,△,▲,306,0.09803921568627451,0.23202614379084968,0.39215686274509803
CP予想xその他,◎,△,235,0.08936170212765958,0.2553191489361702,0.37872340425531914
CP予想xその他,▲,△,339,0.0855457227138643,0.2182890855457227,0.336283185840708
CP予想xその他,△,△,317,0.06309148264984227,0.1608832807570978,0.28391167192429023
