race_id,ranking_type,rank,name,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate
202607030112,jockey,1,松山弘平,2,0,1,7,10,20%,20%,30%,96%,50%
202607030112,jockey,2,田山旺佑,2,0,0,3,5,40%,40%,40%,480%,86%
202607030112,jockey,3,松若風馬,1,2,0,3,6,16.7%,50%,50%,153.3%,190%
202607030112,jockey,4,ルメール,1,1,0,0,2,50%,100%,100%,175%,160%
202607030112,jockey,5,コレット,1,0,1,2,4,25%,25%,50%,85%,137.5%
202607030112,jockey,6,丸山元気,1,0,0,5,6,16.7%,16.7%,16.7%,243.3%,63.3%
202607030112,jockey,7,森田誠也,1,0,0,4,5,20%,20%,20%,30%,22%
202607030112,jockey,8,田口貫太,1,0,0,4,5,20%,20%,20%,1328%,266%
202607030112,jockey,9,国分恭介,1,0,0,3,4,25%,25%,25%,350%,117.5%
202607030112,jockey,10,石神深道,1,0,0,3,4,25%,25%,25%,95%,35%
202607030112,jockey,11,中井裕二,1,0,0,3,4,25%,25%,25%,877.5%,160%
202607030112,jockey,12,太宰啓介,1,0,0,2,3,33.3%,33.3%,33.3%,90%,43.3%
202607030112,jockey,13,鮫島克駿,1,0,0,0,1,100%,100%,100%,920%,210%
202607030112,jockey,14,舟山瑠泉,1,0,0,0,1,100%,100%,100%,430%,190%
202607030112,jockey,15,横山武史,0,2,0,1,3,0%,66.7%,66.7%,0%,123.3%
202607030112,jockey,16,坂井瑠星,0,2,0,1,3,0%,66.7%,66.7%,0%,90%
202607030112,jockey,17,吉村誠之,0,1,2,3,6,0%,16.7%,50%,0%,243.3%
202607030112,jockey,18,西村淳也,0,1,2,2,5,0%,20%,60%,0%,112%
202607030112,jockey,19,高杉吏麒,0,1,1,3,5,0%,20%,40%,0%,106%
202607030112,jockey,20,古川奈穂,0,1,1,0,2,0%,50%,100%,0%,285%
202607030112,sire,1,ビッグアーサー,2,1,1,8,12,16.7%,25%,33.3%,110%,52.5%
202607030112,sire,2,シルバーステート,1,2,0,4,7,14.3%,42.9%,42.9%,21.4%,95.7%
202607030112,sire,3,ロードカナロア,1,1,1,8,11,9.1%,18.2%,27.3%,31.8%,147.3%
202607030112,sire,4,モズアスコット,1,1,0,3,5,20%,40%,40%,292%,188%
202607030112,sire,5,エピファネイア,1,1,0,1,3,33.3%,66.7%,66.7%,186.7%,120%
202607030112,sire,6,ミスターメロディ,1,0,1,4,6,16.7%,16.7%,33.3%,1106.7%,240%
202607030112,sire,7,アルアイン,1,0,1,3,5,20%,20%,40%,68%,240%
202607030112,sire,8,ラブリーデイ,1,0,0,2,3,33.3%,33.3%,33.3%,466.7%,156.7%
202607030112,sire,9,リアルスティール,1,0,0,2,3,33.3%,33.3%,33.3%,626.7%,80%
202607030112,sire,10,ウインブライト,1,0,0,1,2,50%,50%,50%,190%,70%
202607030112,sire,11,カリフォルニアクローム,1,0,0,1,2,50%,50%,50%,460%,95%
202607030112,sire,12,サートゥルナーリア,1,0,0,1,2,50%,50%,50%,215%,95%
202607030112,sire,13,Bolt d'Oro,1,0,0,0,1,100%,100%,100%,3510%,640%
202607030112,sire,14,カラヴァッジオ,1,0,0,0,1,100%,100%,100%,520%,190%
202607030112,sire,15,ザファクター,1,0,0,0,1,100%,100%,100%,270%,130%
202607030112,sire,16,タワーオブロンドン,0,2,0,8,10,0%,20%,20%,0%,37%
202607030112,sire,17,モーリス,0,1,2,6,9,0%,11.1%,33.3%,0%,94.4%
202607030112,sire,18,デクラレーションオブウォー,0,1,0,3,4,0%,25%,25%,0%,35%
202607030112,sire,19,Charlatan,0,1,0,1,2,0%,50%,50%,0%,85%
202607030112,sire,20,サトノダイヤモンド,0,1,0,1,2,0%,50%,50%,0%,80%
202607030112,trainer,1,斉藤崇史,2,0,0,5,7,28.6%,28.6%,28.6%,70%,37.1%
202607030112,trainer,2,長谷川浩,2,0,0,2,4,50%,50%,50%,270%,110%
202607030112,trainer,3,藤岡健一,1,1,1,4,7,14.3%,28.6%,42.9%,268.6%,204.3%
202607030112,trainer,4,森秀行,1,1,0,1,3,33.3%,66.7%,66.7%,1170%,270%
202607030112,trainer,5,藤野健太,1,0,1,0,2,50%,50%,100%,460%,175%
202607030112,trainer,6,鈴木孝志,1,0,0,4,5,20%,20%,20%,1328%,266%
202607030112,trainer,7,岡田稲男,1,0,0,1,2,50%,50%,50%,700%,235%
202607030112,trainer,8,西園翔太,1,0,0,1,2,50%,50%,50%,200%,70%
202607030112,trainer,9,石橋守,1,0,0,1,2,50%,50%,50%,135%,65%
202607030112,trainer,10,武市康男,1,0,0,1,2,50%,50%,50%,190%,70%
202607030112,trainer,11,矢作芳人,1,0,0,1,2,50%,50%,50%,730%,190%
202607030112,trainer,12,佐藤悠太,1,0,0,0,1,100%,100%,100%,920%,210%
202607030112,trainer,13,小栗実,1,0,0,0,1,100%,100%,100%,430%,190%
202607030112,trainer,14,堀宣行,1,0,0,0,1,100%,100%,100%,350%,190%
202607030112,trainer,15,秋山真一,0,1,1,1,3,0%,33.3%,66.7%,0%,1436.7%
202607030112,trainer,16,福永祐一,0,1,1,0,2,0%,50%,100%,0%,250%
202607030112,trainer,17,中竹和也,0,1,0,3,4,0%,25%,25%,0%,47.5%
202607030112,trainer,18,河嶋宏樹,0,1,0,2,3,0%,33.3%,33.3%,0%,130%
202607030112,trainer,19,坂口智康,0,1,0,2,3,0%,33.3%,33.3%,0%,60%
202607030112,trainer,20,小椋研介,0,1,0,2,3,0%,33.3%,33.3%,0%,53.3%
