race_id,segment_index,lap_time_sec
202403020802,1,7.1
202403020802,2,11.1
202403020802,3,12.6
202403020802,4,13.4
202403020802,5,13.3
202403020802,6,12.6
202403020802,7,12.4
202403020802,8,12.4
202403020802,9,12.2
202403020803,1,12.3
202403020803,2,10.9
202403020803,3,11.2
202403020803,4,11.9
202403020803,5,12.0
202403020803,6,11.9
202403020804,1,9.7
202403020804,2,10.5
202403020804,3,11.4
202403020804,4,12.2
202403020804,5,12.2
202403020804,6,13.0
202403020805,1,13.0
202403020805,2,11.4
202403020805,3,12.2
202403020805,4,12.8
202403020805,5,12.6
202403020805,6,12.2
202403020805,7,12.4
202403020805,8,12.1
202403020805,9,12.1
202403020806,1,12.9
202403020806,2,11.0
202403020806,3,11.6
202403020806,4,12.1
202403020806,5,12.1
202403020806,6,11.3
202403020807,1,12.4
202403020807,2,10.9
202403020807,3,12.0
202403020807,4,12.2
202403020807,5,12.8
202403020807,6,12.4
202403020807,7,12.1
202403020807,8,12.1
202403020807,9,12.1
202403020807,10,12.3
202403020808,1,9.3
202403020808,2,10.9
202403020808,3,11.4
202403020808,4,11.9
202403020808,5,12.0
202403020808,6,12.6
202403020809,1,12.4
202403020809,2,10.9
202403020809,3,11.4
202403020809,4,11.7
202403020809,5,12.7
202403020809,6,12.1
202403020809,7,12.3
202403020809,8,12.3
202403020809,9,12.5
202403020809,10,12.3
202403020810,1,9.5
202403020810,2,10.4
202403020810,3,11.1
202403020810,4,12.1
202403020810,5,12.4
202403020810,6,12.3
202403020811,1,7.3
202403020811,2,11.3
202403020811,3,11.7
202403020811,4,12.2
202403020811,5,12.2
202403020811,6,11.9
202403020811,7,12.3
202403020811,8,12.8
202403020811,9,12.6
202403020812,1,13.2
202403020812,2,11.7
202403020812,3,12.2
202403020812,4,12.4
202403020812,5,12.3
202403020812,6,12.5
202403020812,7,12.8
202403020812,8,13.3
202403020812,9,12.5
202403020812,10,11.9
202403020812,11,11.9
202403020812,12,11.9
202403020812,13,12.5
202410030801,1,12.6
202410030801,2,11.2
202410030801,3,12.9
202410030801,4,12.8
202410030801,5,12.0
202410030801,6,12.3
202410030801,7,12.6
202410030801,8,12.0
202410030801,9,11.8
202410030802,1,12.0
202410030802,2,10.5
202410030802,3,11.2
202410030802,4,11.6
202410030802,5,11.6
202410030802,6,11.8
202410030803,1,7.0
202410030803,2,10.9
202410030803,3,11.7
202410030803,4,12.9
202410030803,5,12.6
202410030803,6,12.5
202410030803,7,12.5
202410030803,8,12.8
202410030803,9,12.8
202410030804,1,12.6
202410030804,2,10.8
202410030804,3,11.3
202410030804,4,12.5
202410030804,5,12.3
202410030804,6,12.1
202410030804,7,12.4
202410030804,8,12.5
202410030804,9,12.5
202410030804,10,12.4
202410030805,1,12.1
202410030805,2,10.6
202410030805,3,11.5
202410030805,4,12.1
202410030805,5,12.1
202410030805,6,11.7
202410030806,1,7.0
202410030806,2,10.7
202410030806,3,11.7
202410030806,4,12.9
202410030806,5,12.5
202410030806,6,12.3
202410030806,7,12.4
202410030806,8,13.0
202410030806,9,13.2
202410030807,1,12.4
202410030807,2,10.8
202410030807,3,12.5
202410030807,4,12.0
202410030807,5,11.6
202410030807,6,11.8
202410030807,7,11.7
202410030807,8,12.2
202410030807,9,12.5
202410030808,1,12.1
202410030808,2,10.3
202410030808,3,11.0
202410030808,4,11.6
202410030808,5,12.6
202410030809,1,12.4
202410030809,2,11.1
202410030809,3,11.5
202410030809,4,12.1
202410030809,5,12.2
202410030809,6,12.2
202410030809,7,12.1
202410030809,8,12.1
202410030809,9,12.5
202410030809,10,12.4
202410030810,1,12.0
202410030810,2,10.3
202410030810,3,11.0
202410030810,4,11.3
202410030810,5,11.8
202410030810,6,11.9
202410030811,1,12.2
202410030811,2,10.4
202410030811,3,11.7
202410030811,4,11.5
202410030811,5,11.7
202410030811,6,12.4
202410030811,7,12.5
202410030811,8,12.5
202410030811,9,12.3
202410030812,1,7.0
202410030812,2,11.0
202410030812,3,11.2
202410030812,4,12.7
202410030812,5,12.4
202410030812,6,12.6
202410030812,7,12.6
202410030812,8,12.7
202410030812,9,12.5
202401010201,1,12.5
202401010201,2,11.0
202401010201,3,11.5
202401010201,4,12.1
202401010201,5,12.5
202401010202,1,6.7
202401010202,2,11.1
202401010202,3,12.0
202401010202,4,12.5
202401010202,5,13.0
202401010202,6,13.1
202401010202,7,13.2
202401010202,8,12.8
202401010202,9,12.9
202401010203,1,11.9
202401010203,2,10.5
202401010203,3,11.1
202401010203,4,11.5
202401010203,5,11.3
202401010203,6,11.9
202401010204,1,6.8
202401010204,2,11.0
202401010204,3,12.0
202401010204,4,12.4
202401010204,5,13.0
202401010204,6,12.5
202401010204,7,12.6
202401010204,8,13.3
202401010204,9,13.9
202401010205,1,12.6
202401010205,2,11.7
202401010205,3,12.6
202401010205,4,12.5
202401010205,5,12.1
202401010205,6,11.5
202401010205,7,11.7
202401010205,8,11.6
202401010205,9,11.5
202401010206,1,12.6
202401010206,2,10.9
202401010206,3,11.5
202401010206,4,12.2
202401010206,5,12.6
202401010206,6,12.9
202401010206,7,12.4
202401010206,8,11.5
202401010206,9,11.7
202401010206,10,12.0
202401010207,1,12.7
202401010207,2,10.9
202401010207,3,11.4
202401010207,4,11.8
202401010207,5,12.5
202401010208,1,12.8
202401010208,2,11.5
202401010208,3,12.3
202401010208,4,12.3
202401010208,5,12.5
202401010208,6,12.1
202401010208,7,11.5
202401010208,8,11.7
202401010208,9,11.5
202401010208,10,11.9
202401010209,1,12.0
202401010209,2,11.0
202401010209,3,11.1
202401010209,4,11.3
202401010209,5,11.5
202401010209,6,11.9
202401010210,1,6.9
202401010210,2,11.8
202401010210,3,12.6
202401010210,4,12.5
202401010210,5,12.2
202401010210,6,12.2
202401010210,7,12.3
202401010210,8,12.9
202401010210,9,12.7
202401010211,1,12.1
202401010211,2,10.7
202401010211,3,11.3
202401010211,4,11.3
202401010211,5,11.4
202401010211,6,11.5
202401010212,1,6.6
202401010212,2,10.7
202401010212,3,11.1
202401010212,4,11.6
202401010212,5,11.6
202401010212,6,11.7
202401010212,7,11.7
202401010212,8,12.3
