race_id,race_number,race_name,surface,distance_m,weather,going,start_time,race_date,racecourse,finish_pos,waku,umaban,horse_id,horse_name,sex_age,kinryo,jockey_id,jockey_name,time,margin,passing_order,last_3f,odds_final,popularity,weight,trainer_id,trainer_name,owner_id,owner_name,prize,corner1_raw,corner1_rank,corner1_group_size,corner1_gap_len_est,corner1_is_leader,corner2_raw,corner2_rank,corner2_group_size,corner2_gap_len_est,corner2_is_leader,corner3_raw,corner3_rank,corner3_group_size,corner3_gap_len_est,corner3_is_leader,corner4_raw,corner4_rank,corner4_group_size,corner4_gap_len_est,corner4_is_leader,track_index,track_comment
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,1,5,6,2019105510,リンクスルーファス,牝2,54,01092,津村明秀,1:38.6,,7-6,37.8,2.4,1,506(-6),01038,[東]手塚貴久,506800,シルクレーシング,510.0,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",7,4,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",6,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,2,3,3,2019103822,ワガンセ,牡2,55,01160,荻野極,1:38.7,1/2,2-2,38.5,214.2,12,440(+2),01148,[西]西村真幸,302800,辻牧場,200.0,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",2,1,1.5,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",2,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,3,6,8,2019110083,メリーセンス,牡2,55,01030,松田大作,1:39.8,7,12-12,38.3,14.0,7,488(+2),00427,[西]森秀行,338033,冨士井直哉,130.0,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",12,1,6.5,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",12,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,4,8,12,2019110073,ポイズンアロウ,牡2,54,01167,木幡育也,1:40.5,4,7-9,39.4,6.6,3,518(-10),00386,[東]藤沢和雄,196031,長谷川祐司,77.0,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",7,4,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",9,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,5,5,7,2019102396,ユイノピラウトゥル,牡2,55,00689,江田照男,1:40.7,1.1/2,7-9,39.6,6.8,4,452(+2),01152,[東]竹内正洋,044803,由井健太郎,51.0,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",7,4,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",9,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,6,7,10,2019102470,ダイチヴィヴァン,牡2,55,01029,武士沢友,1:41.2,3,7-6,40.4,132.3,11,470(-8),01131,[東]蛯名利弘,921031,服部英利,,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",7,4,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",6,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,7,7,11,2019110108,ムーディナイル,牝2,54,01077,石橋脩,1:41.4,1,4-4,40.8,6.1,2,528(-12),01163,[東]林徹,151006,吉田和子,,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",4,3,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",4,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,8,8,13,2019102153,ヤマタケコーチャン,牡2,55,01117,丸田恭介,1:41.4,ハナ,11-11,40.1,240.5,13,442(-2),01024,[東]萱野浩二,631002,山中和子,,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",11,1,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",11,1,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,9,4,4,2019101016,シゲルハンマー,牡2,55,01169,武藤雅,1:41.5,1/2,13-12,39.9,47.4,9,504(+12),01094,[東]水野貴広,674004,森中蕃,,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",13,1,8.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",12,2,0.0,False,-7,
202105050401,1,2歳未勝利,ダ,1600,晴,良,09:55,2021-11-14,東京,10,6,9,2019101671,モンサンレジャンド,牝2,54,01162,木幡巧也,1:41.5,ハナ,3-3,41.2,13.6,6,452(+6),01106,[東]牧光二,919002,山下新一,,,,,,,,,,,,"2,3,9(1,5,11)(7,6,10,12)13-8,4",3,1,3.0,False,"(*2,3)9(5,11)(6,10)1(7,12)13(8,4)",3,1,0.0,False,-7,
