race_id,bet_type,rank,combination,payout,popularity
201805020201,単勝,1,4,380,1
201805020201,複勝,1,4,190,1
201805020201,複勝,2,5,310,6
201805020201,複勝,3,6,590,9
201805020201,枠連,1,2-3,1470,7
201805020201,馬連,1,4-5,1990,9
201805020201,ワイド,1,4-5,840,9
201805020201,ワイド,2,4-6,1630,20
201805020201,ワイド,3,5-6,3180,39
201805020201,馬単,1,4-5,3440,9
201805020201,3連複,1,4-5-6,12880,49
201805020201,3連単,1,4-5-6,39050,116
201805020202,単勝,1,5,270,1
201805020202,複勝,1,5,150,1
201805020202,複勝,2,15,340,6
201805020202,複勝,3,3,610,8
201805020202,枠連,1,3-8,1040,4
201805020202,馬連,1,5-15,1610,6
201805020202,ワイド,1,5-15,640,7
201805020202,ワイド,2,3-5,1120,13
201805020202,ワイド,3,3-15,4480,35
201805020202,馬単,1,5-15,2380,9
201805020202,3連複,1,3-5-15,11690,32
201805020202,3連単,1,5-15-3,36080,112
201805020203,単勝,1,4,220,1
201805020203,複勝,1,4,130,1
201805020203,複勝,2,3,160,3
201805020203,複勝,3,7,220,5
201805020203,枠連,1,2-2,620,3
201805020203,馬連,1,3-4,550,2
201805020203,ワイド,1,3-4,350,2
201805020203,ワイド,2,4-7,470,4
201805020203,ワイド,3,3-7,790,9
201805020203,馬単,1,4-3,810,2
201805020203,3連複,1,3-4-7,1410,4
201805020203,3連単,1,4-3-7,4200,5
201805020204,単勝,1,1,490,3
201805020204,複勝,1,1,170,2
201805020204,複勝,2,2,130,1
201805020204,複勝,3,7,770,9
201805020204,枠連,1,1-1,450,2
201805020204,馬連,1,1-2,430,1
201805020204,ワイド,1,1-2,240,1
201805020204,ワイド,2,1-7,3400,30
201805020204,ワイド,3,2-7,2030,21
201805020204,馬単,1,1-2,960,2
201805020204,3連複,1,1-2-7,7810,24
201805020204,3連単,1,1-2-7,33480,103
201805020205,単勝,1,2,420,2
201805020205,複勝,1,2,160,3
