race_id,category_type,umaban,category_label,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate,horse_id,horse_name
202654072611,sire,3,アメリカンペイトリオット,13,19,23,139,194,6%,16%,28%,93%,73%,2022107331,ハンドレインジ
202654072611,sire,4,タリスマニック,13,10,12,85,120,10%,19%,29%,153%,80%,2021106726,トドイワウィンド
202654072611,sire,5,ロードカナロア,55,43,49,237,384,14%,25%,38%,48%,90%,2019101531,アウゲンブリック
202654072611,sire,6,カリフォルニアクローム,7,2,5,61,75,9%,12%,18%,54%,29%,2022103934,リライトヒストリー
202654072611,sire,7,ドゥラメンテ,18,28,11,109,166,10%,27%,34%,35%,60%,2022101725,ドゥラルーナ
202654072611,sire,8,アグニシャイン,3,3,2,6,14,21%,42%,57%,139%,98%,2021104331,ダンスショウ
202654072611,sire,9,ストロングリターン,16,19,25,122,182,8%,19%,32%,37%,87%,2022105499,プリンセスロロ
202654072611,sire,10,キングズベスト,0,0,0,3,3,0%,0%,0%,0%,0%,2017101679,ヴィクトリーナイト
202654072611,sire,11,リアルスティール,12,12,7,30,61,19%,39%,50%,79%,89%,2021103251,フォートポータル
202654072611,sire,12,フリオーソ,18,29,26,159,232,7%,20%,31%,87%,82%,2017102250,ブラウナイル
202654072611,broodmare_sire,1,,0,0,0,0,0,0%,0%,0%,0%,0%,2020106620,ラージフィールド
202654072611,broodmare_sire,2,,0,0,0,0,0,0%,0%,0%,0%,0%,2022102177,トーケンクミー
202654072611,broodmare_sire,3,,0,0,0,0,0,0%,0%,0%,0%,0%,2022107331,ハンドレインジ
202654072611,broodmare_sire,4,,0,0,0,0,0,0%,0%,0%,0%,0%,2021106726,トドイワウィンド
202654072611,broodmare_sire,5,,0,0,0,0,0,0%,0%,0%,0%,0%,2019101531,アウゲンブリック
202654072611,broodmare_sire,6,,0,0,0,0,0,0%,0%,0%,0%,0%,2022103934,リライトヒストリー
202654072611,broodmare_sire,7,,0,0,0,0,0,0%,0%,0%,0%,0%,2022101725,ドゥラルーナ
202654072611,broodmare_sire,8,,0,0,0,0,0,0%,0%,0%,0%,0%,2021104331,ダンスショウ
202654072611,broodmare_sire,9,,0,0,0,0,0,0%,0%,0%,0%,0%,2022105499,プリンセスロロ
202654072611,broodmare_sire,10,,0,0,0,0,0,0%,0%,0%,0%,0%,2017101679,ヴィクトリーナイト
202654072611,broodmare_sire,11,,0,0,0,0,0,0%,0%,0%,0%,0%,2021103251,フォートポータル
202654072611,broodmare_sire,12,,0,0,0,0,0,0%,0%,0%,0%,0%,2017102250,ブラウナイル
