umaban,race_id,waku,horse_id,horse_name,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,ca_speed_index_category_label,ca_speed_index_win_1st,ca_speed_index_win_2nd,ca_speed_index_win_3rd,ca_speed_index_win_out,ca_speed_index_runs,ca_speed_index_win_rate,ca_speed_index_place2_rate,ca_speed_index_place3_rate,ca_speed_index_win_return_rate,ca_speed_index_place_return_rate,ca_speed_index_horse_id,ca_speed_index_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,data_distance_horse_id,data_distance_horse_name,data_distance_slot1_label,data_distance_slot1_note,data_distance_slot1_win_1st,data_distance_slot1_win_2nd,data_distance_slot1_win_3rd,data_distance_slot1_win_out,data_distance_slot1_runs,data_distance_slot1_win_rate,data_distance_slot1_place2_rate,data_distance_slot1_place3_rate,data_distance_slot1_win_return_rate,data_distance_slot1_place_return_rate,data_distance_slot2_label,data_distance_slot2_note,data_distance_slot2_win_1st,data_distance_slot2_win_2nd,data_distance_slot2_win_3rd,data_distance_slot2_win_out,data_distance_slot2_runs,data_distance_slot2_win_rate,data_distance_slot2_place2_rate,data_distance_slot2_place3_rate,data_distance_slot2_win_return_rate,data_distance_slot2_place_return_rate,data_distance_slot3_label,data_distance_slot3_note,data_distance_slot3_win_1st,data_distance_slot3_win_2nd,data_distance_slot3_win_3rd,data_distance_slot3_win_out,data_distance_slot3_runs,data_distance_slot3_win_rate,data_distance_slot3_place2_rate,data_distance_slot3_place3_rate,data_distance_slot3_win_return_rate,data_distance_slot3_place_return_rate,data_distance_slot4_label,data_distance_slot4_note,data_distance_slot4_win_1st,data_distance_slot4_win_2nd,data_distance_slot4_win_3rd,data_distance_slot4_win_out,data_distance_slot4_runs,data_distance_slot4_win_rate,data_distance_slot4_place2_rate,data_distance_slot4_place3_rate,data_distance_slot4_win_return_rate,data_distance_slot4_place_return_rate,data_course_horse_id,data_course_horse_name,data_course_slot1_label,data_course_slot1_note,data_course_slot1_win_1st,data_course_slot1_win_2nd,data_course_slot1_win_3rd,data_course_slot1_win_out,data_course_slot1_runs,data_course_slot1_win_rate,data_course_slot1_place2_rate,data_course_slot1_place3_rate,data_course_slot1_win_return_rate,data_course_slot1_place_return_rate,data_course_slot2_label,data_course_slot2_note,data_course_slot2_win_1st,data_course_slot2_win_2nd,data_course_slot2_win_3rd,data_course_slot2_win_out,data_course_slot2_runs,data_course_slot2_win_rate,data_course_slot2_place2_rate,data_course_slot2_place3_rate,data_course_slot2_win_return_rate,data_course_slot2_place_return_rate,data_course_slot3_label,data_course_slot3_note,data_course_slot3_win_1st,data_course_slot3_win_2nd,data_course_slot3_win_3rd,data_course_slot3_win_out,data_course_slot3_runs,data_course_slot3_win_rate,data_course_slot3_place2_rate,data_course_slot3_place3_rate,data_course_slot3_win_return_rate,data_course_slot3_place_return_rate,data_course_slot4_label,data_course_slot4_note,data_course_slot4_win_1st,data_course_slot4_win_2nd,data_course_slot4_win_3rd,data_course_slot4_win_out,data_course_slot4_runs,data_course_slot4_win_rate,data_course_slot4_place2_rate,data_course_slot4_place3_rate,data_course_slot4_win_return_rate,data_course_slot4_place_return_rate,data_condition_horse_id,data_condition_horse_name,data_condition_slot1_label,data_condition_slot1_note,data_condition_slot1_win_1st,data_condition_slot1_win_2nd,data_condition_slot1_win_3rd,data_condition_slot1_win_out,data_condition_slot1_runs,data_condition_slot1_win_rate,data_condition_slot1_place2_rate,data_condition_slot1_place3_rate,data_condition_slot1_win_return_rate,data_condition_slot1_place_return_rate,data_condition_slot2_label,data_condition_slot2_note,data_condition_slot2_win_1st,data_condition_slot2_win_2nd,data_condition_slot2_win_3rd,data_condition_slot2_win_out,data_condition_slot2_runs,data_condition_slot2_win_rate,data_condition_slot2_place2_rate,data_condition_slot2_place3_rate,data_condition_slot2_win_return_rate,data_condition_slot2_place_return_rate,data_condition_slot3_label,data_condition_slot3_note,data_condition_slot3_win_1st,data_condition_slot3_win_2nd,data_condition_slot3_win_3rd,data_condition_slot3_win_out,data_condition_slot3_runs,data_condition_slot3_win_rate,data_condition_slot3_place2_rate,data_condition_slot3_place3_rate,data_condition_slot3_win_return_rate,data_condition_slot3_place_return_rate,data_condition_slot4_label,data_condition_slot4_note,data_condition_slot4_win_1st,data_condition_slot4_win_2nd,data_condition_slot4_win_3rd,data_condition_slot4_win_out,data_condition_slot4_runs,data_condition_slot4_win_rate,data_condition_slot4_place2_rate,data_condition_slot4_place3_rate,data_condition_slot4_win_return_rate,data_condition_slot4_place_return_rate,data_others_horse_id,data_others_horse_name,data_others_slot1_label,data_others_slot1_note,data_others_slot1_win_1st,data_others_slot1_win_2nd,data_others_slot1_win_3rd,data_others_slot1_win_out,data_others_slot1_runs,data_others_slot1_win_rate,data_others_slot1_place2_rate,data_others_slot1_place3_rate,data_others_slot1_win_return_rate,data_others_slot1_place_return_rate,data_others_slot2_label,data_others_slot2_note,data_others_slot2_win_1st,data_others_slot2_win_2nd,data_others_slot2_win_3rd,data_others_slot2_win_out,data_others_slot2_runs,data_others_slot2_win_rate,data_others_slot2_place2_rate,data_others_slot2_place3_rate,data_others_slot2_win_return_rate,data_others_slot2_place_return_rate,data_others_slot3_label,data_others_slot3_note,data_others_slot3_win_1st,data_others_slot3_win_2nd,data_others_slot3_win_3rd,data_others_slot3_win_out,data_others_slot3_runs,data_others_slot3_win_rate,data_others_slot3_place2_rate,data_others_slot3_place3_rate,data_others_slot3_win_return_rate,data_others_slot3_place_return_rate,data_others_slot4_label,data_others_slot4_note,data_others_slot4_win_1st,data_others_slot4_win_2nd,data_others_slot4_win_3rd,data_others_slot4_win_out,data_others_slot4_runs,data_others_slot4_win_rate,data_others_slot4_place2_rate,data_others_slot4_place3_rate,data_others_slot4_win_return_rate,data_others_slot4_place_return_rate,data_baba_water_horse_id,data_baba_water_horse_name,data_baba_water_slot1_label,data_baba_water_slot1_note,data_baba_water_slot1_win_1st,data_baba_water_slot1_win_2nd,data_baba_water_slot1_win_3rd,data_baba_water_slot1_win_out,data_baba_water_slot1_runs,data_baba_water_slot1_win_rate,data_baba_water_slot1_place2_rate,data_baba_water_slot1_place3_rate,data_baba_water_slot1_win_return_rate,data_baba_water_slot1_place_return_rate,data_baba_water_slot2_label,data_baba_water_slot2_note,data_baba_water_slot2_win_1st,data_baba_water_slot2_win_2nd,data_baba_water_slot2_win_3rd,data_baba_water_slot2_win_out,data_baba_water_slot2_runs,data_baba_water_slot2_win_rate,data_baba_water_slot2_place2_rate,data_baba_water_slot2_place3_rate,data_baba_water_slot2_win_return_rate,data_baba_water_slot2_place_return_rate,data_baba_water_slot3_label,data_baba_water_slot3_note,data_baba_water_slot3_win_1st,data_baba_water_slot3_win_2nd,data_baba_water_slot3_win_3rd,data_baba_water_slot3_win_out,data_baba_water_slot3_runs,data_baba_water_slot3_win_rate,data_baba_water_slot3_place2_rate,data_baba_water_slot3_place3_rate,data_baba_water_slot3_win_return_rate,data_baba_water_slot3_place_return_rate,data_baba_water_slot4_label,data_baba_water_slot4_note,data_baba_water_slot4_win_1st,data_baba_water_slot4_win_2nd,data_baba_water_slot4_win_3rd,data_baba_water_slot4_win_out,data_baba_water_slot4_runs,data_baba_water_slot4_win_rate,data_baba_water_slot4_place2_rate,data_baba_water_slot4_place3_rate,data_baba_water_slot4_win_return_rate,data_baba_water_slot4_place_return_rate,mark_raw_本紙,mark_raw_小林,mark_raw_藤村,mark_raw_大石川,mark_raw_CP予想,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup,corner3_rank,corner3_gap_pct,corner3_gap_lengths
1,202607020204,1,2023100944,アイランド,,,,,2026/07/22(水),栗坂,良,見習,56.3(16.1);40.2(14.8);25.4(13.1);12.3(12.3),,1,馬也,好調持続,B,2026.06.27,小倉,2,3歳未勝利,,ダ1700,1:44.5,不,16,8,1,吉村誠之,57.0,3-3-3-3,38.2,474,-4,タマモスカイ(0.0),,2026.06.14,阪神,3,3歳未勝利,,ダ1800,1:55.0,良,16,15,5,吉村誠之,57.0,9-9-9-8,38.3,478,0,レッドホット(0.2),,,,,,,,,,,,,,,,,,,,3月27日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023100944,アイランド,牡3,吉村誠之助,85,77,69,未,-,69,85,3.0,1,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202609030403,未勝利,20260614,阪神,良,-11,57,1:55.0,38.3,3,差,8,M,牡,3,,,,,,,,,,,,,,,,2023100944,アイランド,シニスターミニスター,ナスルーラ系,キングカメハメハ,ネイティヴダンサー系,牡3,57.0,472(-2),吉村,清水久,3.0,1,1枠,28,14,19,196,257,10%,16%,23%,106%,72%,2023100944,アイランド,先,100,90,85,371,646,15%,29%,42%,163%,117%,2023100944,アイランド,吉村誠之助,4,7,6,61,78,5%,14%,21%,99%,64%,2023100944,アイランド,清水久詞,2,3,2,17,24,8%,20%,29%,40%,102%,2023100944,アイランド,シニスターミニスター,5,10,7,49,71,7%,21%,30%,28%,90%,2023100944,アイランド,キングカメハメハ,10,7,11,88,116,8%,14%,24%,68%,62%,2023100944,アイランド,指数偏差値60,21,20,23,161,225,9%,18%,28%,56%,80%,2023100944,アイランド,中京ダート1800m,2023100944,アイランド,0,0,0,0,0,0%,0%,0%,0%,0%,アイランド×調教:B,2023100944,アイランド,0,1,0,0,1,0%,100%,100%,0%,150%,,,,,,,,,,,,,,吉村誠之助×単勝3倍台,2023100944,アイランド,9,6,5,26,46,20%,33%,44%,70%,63%,吉村誠之助×清水久詞,2023100944,アイランド,7,10,17,110,144,5%,12%,24%,97%,90%,吉村誠之助×石川達絵,2023100944,アイランド,0,1,3,5,9,0%,11%,44%,0%,103%,吉村誠之助,2023100944,アイランド,27,21,28,161,237,11%,20%,32%,78%,82%,2023100944,アイランド,ダート1800m,,0,0,1,0,1,0%,0%,100%,0%,390%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート2000m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,1,1,0,2,0%,50%,100%,0%,270%,2023100944,アイランド,ダート中京,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・右,,0,1,1,0,2,0%,50%,100%,0%,270%,ダート・左,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,1,1,0,2,0%,50%,100%,0%,270%,2023100944,アイランド,ダート・良,,0,0,1,0,1,0%,0%,100%,0%,390%,ダート・稍重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・不良,,0,1,0,0,1,0%,100%,100%,0%,150%,2023100944,アイランド,中3週,,0,0,0,0,0,0%,0%,0%,0%,0%,未勝利,,0,1,1,0,2,0%,50%,100%,0%,270%,57kg,,0,1,1,0,2,0%,50%,100%,0%,270%,馬体重,連対時馬体重474kg～474kg,,,,,,,,,,,2023100944,アイランド,〜10,,0,1,1,0,2,0%,50%,100%,0%,270%,10〜12,,0,0,0,0,0,0%,0%,0%,0%,0%,12〜14,,0,0,0,0,0,0%,0%,0%,0%,0%,14〜,,0,0,0,0,0,0%,0%,0%,0%,0%,○,○,,◎,◎,○,◎,◎,1,0.0,0.0,0,2,5.25,0.52
2,202607020204,2,2023100621,ディープシャロー,,,,,2026/07/22(水),ＣＷ,良,助手,88.2(18.2);70.0(16.7);53.3(16.0);37.3(26.2);11.1(11.1),,6,馬也,脚色良好,B,2026.06.27,小倉,6,3歳未勝利,,ダ1700,1:45.1,不,16,10,7,太宰啓介,57.0,2-2-2-2,38.9,508,+8,タマモスカイ(0.6),,2026.04.11,阪神,7,3歳未勝利,,ダ1800,1:54.1,重,13,13,5,太宰啓介,57.0,1-1-1-2,40.5,500,-2,ジュンドラドラ(2.3),,2026.03.28,中京,9,3歳未勝利,,ダ1800,1:57.2,稍,14,1,6,永島まな,55.0,1-1-2-3,42.0,502,0,アスクドゥチャンプ(3.1),,2026.01.04,京都,5,3歳未勝利,,ダ1800,1:55.4,良,16,7,4,古川吉洋,57.0,1-1-1-1,39.9,502,-4,タガノエルー(1.9),,2025.12.13,中京,8,2歳新馬,,芝2000,2:02.8,良,12,10,7,古川吉洋,56.0,10-10-10-11,34.1,506,0,イベントホライゾン(1.4),,2023100621,ディープシャロー,牡3,太宰啓介,79,68,78,51,51,78,79,18.9,6,57.0,202607010504,未勝利,20260328,中京,稍,-10,55,1:57.2,42,9,逃,1,M,牡,3,,,,,,,,,,,,,,,,202609020503,未勝利,20260411,阪神,重,-10,57,1:54.1,40.5,7,逃,8,H,牡,3,,,,,,,,,,,,,,,,2023100621,ディープシャロー,ドレフォン,ノーザンダンサー系,More Than Ready,ターントゥ系,牡3,57.0,496(-12),太宰,本田,18.9,6,2枠,20,19,17,217,273,7%,14%,20%,34%,52%,2023100621,ディープシャロー,逃,43,26,16,150,235,18%,29%,36%,141%,113%,2023100621,ディープシャロー,太宰啓介,0,2,1,26,29,0%,6%,10%,0%,31%,2023100621,ディープシャロー,本田優,5,2,3,31,41,12%,17%,24%,59%,52%,2023100621,ディープシャロー,ドレフォン,10,4,8,59,81,12%,17%,27%,114%,62%,2023100621,ディープシャロー,More Than Ready,0,1,0,5,6,0%,16%,16%,0%,18%,2023100621,ディープシャロー,指数偏差値60,21,20,23,161,225,9%,18%,28%,56%,80%,2023100621,ディープシャロー,中京ダート1800m,2023100621,ディープシャロー,0,0,0,1,1,0%,0%,0%,0%,0%,ディープシャロー×調教:B,2023100621,ディープシャロー,0,0,0,3,3,0%,0%,0%,0%,0%,,,,,,,,,,,,,,太宰啓介×単勝20〜30倍,2023100621,ディープシャロー,1,2,0,21,24,4%,13%,13%,116%,60%,太宰啓介×本田優,2023100621,ディープシャロー,1,3,2,54,60,2%,7%,10%,24%,26%,太宰啓介×深見敏男,2023100621,ディープシャロー,0,0,0,3,3,0%,0%,0%,0%,0%,太宰啓介,2023100621,ディープシャロー,8,7,3,85,103,8%,15%,18%,46%,33%,2023100621,ディープシャロー,ダート1800m,,0,0,0,3,3,0%,0%,0%,0%,0%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート2000m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,0,5,5,0%,0%,0%,0%,0%,2023100621,ディープシャロー,ダート中京,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・右,,0,0,0,3,3,0%,0%,0%,0%,0%,ダート・左,,0,0,0,1,1,0%,0%,0%,0%,0%,全成績,,0,0,0,5,5,0%,0%,0%,0%,0%,2023100621,ディープシャロー,ダート・良,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・稍重,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・重,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・不良,,0,0,0,1,1,0%,0%,0%,0%,0%,2023100621,ディープシャロー,中3週,,0,0,0,0,0,0%,0%,0%,0%,0%,未勝利,,0,0,0,4,4,0%,0%,0%,0%,0%,57kg,,0,0,0,3,3,0%,0%,0%,0%,0%,馬体重,連対時馬体重kg～kg,,,,,,,,,,,2023100621,ディープシャロー,〜10,,0,0,0,3,3,0%,0%,0%,0%,0%,10〜12,,0,0,0,1,1,0%,0%,0%,0%,0%,12〜14,,0,0,0,0,0,0%,0%,0%,0%,0%,14〜,,0,0,0,0,0,0%,0%,0%,0%,0%,,▲,,☆,,,,,2,5.67,0.56,2,1,0.0,0.0
3,202607020204,2,2023102585,シギーコルエンド,,,,,2026/07/22(水),栗坂,良,助手,53.1(14.7);38.4(12.9);25.5(12.8);12.7(12.7),,2,一杯,遅れ上々,C,2026.05.24,京都,10,3歳未勝利,,ダ1900,2:04.7,良,13,10,9,荻野琢真,57.0,10-11-12-12,39.2,574,0,ピエナブラック(1.8),,,,,,,,,,,,,,,,,,,,4月25日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023102585,シギーコルエンド,牡3,幸英明,44,44,未,未,-,-,44,112.0,11,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023102585,シギーコルエンド,シルバーステート,サンデーサイレンス系,クロフネ,ノーザンダンサー系,牡3,57.0,576(+2),幸,大久保,112.0,11,2枠,20,19,17,217,273,7%,14%,20%,34%,52%,2023102585,シギーコルエンド,追,16,17,22,775,830,1%,3%,6%,36%,33%,2023102585,シギーコルエンド,幸英明,3,2,11,57,73,4%,6%,21%,33%,66%,2023102585,シギーコルエンド,大久保龍,8,3,5,15,31,25%,35%,51%,201%,107%,2023102585,シギーコルエンド,シルバーステート,2,1,0,13,16,12%,18%,18%,42%,32%,2023102585,シギーコルエンド,クロフネ,4,10,5,93,112,3%,12%,16%,74%,50%,2023102585,シギーコルエンド,指数偏差値40,0,0,1,91,92,0%,0%,1%,0%,21%,2023102585,シギーコルエンド,中京ダート1800m,2023102585,シギーコルエンド,0,0,0,0,0,0%,0%,0%,0%,0%,シギーコルエンド×調教:C,2023102585,シギーコルエンド,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,幸英明×単勝30〜50倍,2023102585,シギーコルエンド,0,3,2,74,79,0%,4%,6%,0%,42%,幸英明×大久保龍志,2023102585,シギーコルエンド,1,0,1,7,9,11%,11%,22%,171%,40%,幸英明×前田晋二,2023102585,シギーコルエンド,0,0,0,2,2,0%,0%,0%,0%,0%,幸英明←荻野琢真,2023102585,シギーコルエンド,0,0,0,2,2,0%,0%,0%,0%,0%,2023102585,シギーコルエンド,ダート1800m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート1600m,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート2000m,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,0,1,1,0%,0%,0%,0%,0%,2023102585,シギーコルエンド,ダート中京,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・右,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・左,,0,0,0,0,0,0%,0%,0%,0%,0%,全成績,,0,0,0,1,1,0%,0%,0%,0%,0%,2023102585,シギーコルエンド,ダート・良,,0,0,0,1,1,0%,0%,0%,0%,0%,ダート・稍重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・重,,0,0,0,0,0,0%,0%,0%,0%,0%,ダート・不良,,0,0,0,0,0,0%,0%,0%,0%,0%,2023102585,シギーコルエンド,1ヶ月,,0,0,0,0,0,0%,0%,0%,0%,0%,未勝利,,0,0,0,1,1,0%,0%,0%,0%,0%,57kg,,0,0,0,1,1,0%,0%,0%,0%,0%,馬体重,連対時馬体重kg～kg,,,,,,,,,,,2023102585,シギーコルエンド,〜10,,0,0,0,0,0,0%,0%,0%,0%,0%,10〜12,,0,0,0,1,1,0%,0%,0%,0%,0%,12〜14,,0,0,0,0,0,0%,0%,0%,0%,0%,14〜,,0,0,0,0,0,0%,0%,0%,0%,0%,☆,,,,,☆,,,13,62.74,6.24,1,13,63.02,6.27
