race_id,bet_type,rank,combination,payout,popularity
202305010601,単勝,1,13,150,1
202305010601,複勝,1,13,110,1
202305010601,複勝,2,15,120,2
202305010601,複勝,3,8,130,3
202305010601,枠連,1,7-8,240,1
202305010601,馬連,1,13-15,250,1
202305010601,ワイド,1,13-15,140,1
202305010601,ワイド,2,8-13,200,2
202305010601,ワイド,3,8-15,360,4
202305010601,馬単,1,13-15,370,1
202305010601,3連複,1,8-13-15,420,1
202305010601,3連単,1,13-15-8,1010,1
202305010602,単勝,1,7,1850,7
202305010602,複勝,1,7,450,6
202305010602,複勝,2,10,630,9
202305010602,複勝,3,9,170,1
202305010602,枠連,1,4-5,1950,8
202305010602,馬連,1,7-10,27300,54
202305010602,ワイド,1,7-10,5340,52
202305010602,ワイド,2,7-9,1600,17
202305010602,ワイド,3,9-10,2670,31
202305010602,馬単,1,7-10,54860,107
202305010602,3連複,1,7-9-10,41630,116
202305010602,3連単,1,7-10-9,466750,994
202305010603,単勝,1,8,330,1
202305010603,複勝,1,8,160,1
202305010603,複勝,2,7,190,3
202305010603,複勝,3,10,350,6
202305010603,枠連,1,4-4,920,4
202305010603,馬連,1,7-8,930,2
202305010603,ワイド,1,7-8,350,1
202305010603,ワイド,2,8-10,1160,13
202305010603,ワイド,3,7-10,1120,11
202305010603,馬単,1,8-7,1460,2
202305010603,3連複,1,7-8-10,5550,16
202305010603,3連単,1,8-7-10,15600,34
202305010604,単勝,1,6,12510,12
202305010604,複勝,1,6,1980,13
202305010604,複勝,2,8,200,2
202305010604,複勝,3,5,510,8
202305010604,枠連,1,4-5,9910,20
202305010604,馬連,1,6-8,22470,45
202305010604,ワイド,1,6-8,6300,49
202305010604,ワイド,2,5-6,23470,85
202305010604,ワイド,3,5-8,1690,21
202305010604,馬単,1,6-8,74220,109
202305010604,3連複,1,5-6-8,140070,199
202305010604,3連単,1,6-8-5,1334810,1395
202305010605,単勝,1,3,240,1
202305010605,複勝,1,3,120,1
202305010605,複勝,2,12,160,3
202305010605,複勝,3,16,250,5
202305010605,枠連,1,2-6,880,3
202305010605,馬連,1,3-12,790,2
202305010605,ワイド,1,3-12,340,2
202305010605,ワイド,2,3-16,560,7
202305010605,ワイド,3,12-16,940,11
202305010605,馬単,1,3-12,1420,3
