umaban,race_id,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,mark_raw_古澤,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup
1,202635072104,2023106704,ノーブルブロウ,,,,,,,,,,,,,,,,2026.06.20,東京,10,3歳未勝利,,ダ1600,1:38.7,不,16,9,14,木幡巧也,55.0,16-14,37.2,448,0,ダノンプレサージュ(2.2),,2025.12.07,中山,13,2歳新馬,,芝1200(外),1:11.7,良,16,15,11,菅原明良,55.0,14-15,35.6,448,0,サムハラ(2.3),,,,,,,,,,,,,,,,,,,,2月4日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023106704,ノーブルブロウ,,山本聡紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023106704,ノーブルブロウ,レッドファルクス,ネイティヴダンサー系,ショウナンカンプ,ナスルーラ系,牝3,54.0,448(0),山本聡紀,板垣吉則,3.9,2,1枠,66,61,66,440,633,10%,20%,30%,77%,87%,2023106704,ノーブルブロウ,追,89,63,84,578,814,10%,18%,28%,94%,78%,2023106704,ノーブルブロウ,山本聡紀,19,22,19,118,178,10%,23%,33%,114%,104%,2023106704,ノーブルブロウ,板垣吉則,31,30,18,108,187,16%,32%,42%,72%,77%,2023106704,ノーブルブロウ,レッドファルクス,6,5,7,16,34,17%,32%,52%,54%,124%,2023106704,ノーブルブロウ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023106704,ノーブルブロウ,,2023106704,ノーブルブロウ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,,○,,,,○,5,34.7,3.45,3
2,202635072104,2023104660,コミット,,,,,,,,,,,,,,,,2026.07.07,盛岡,12,3歳C2五,,ダ1200,1:18.7,良,12,9,11,鈴木祐,54.0,4-8,42.6,468,+10,モウレツ(5.1),,2026.03.30,水沢,8,3歳C2二,,ダ1300,1:29.1,稍,10,2,5,鈴木祐,54.0,1-1-1-2,43.8,458,0,ブリーゼプリマベラ(2.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023104660,コミット,,鈴木祐,,,,,,,,,,,202635070704,３歳Ｃ２五組,20260707,盛岡,良,-25,54,1:18.7,42.6,12,差,7,H,牝,3,,,,,,,,,,,,,,,,202635070704,３歳Ｃ２五組,20260707,盛岡,良,-25,54,1:18.7,42.6,12,差,7,H,牝,3,202636033006,３歳Ｃ２二組,20260330,水沢,稍,-8,54,1:29.1,43.8,8,逃,2,H,牝,3,2023104660,コミット,カレンブラックヒル,サンデーサイレンス系,エンパイアメーカー,ネイティヴダンサー系,牝3,54.0,462(-6),鈴木祐,櫻田康二,205.8,11,2枠,65,75,73,416,629,10%,22%,33%,86%,90%,2023104660,コミット,先,113,88,74,559,834,13%,24%,32%,59%,66%,2023104660,コミット,鈴木祐,34,32,31,283,380,8%,17%,25%,124%,75%,2023104660,コミット,櫻田康二,42,35,31,240,348,12%,22%,31%,57%,57%,2023104660,コミット,カレンブラックヒル,9,9,4,46,68,13%,26%,32%,77%,85%,2023104660,コミット,,0,0,0,0,0,0%,0%,0%,0%,0%,2023104660,コミット,,2023104660,コミット,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,7,50.26,5.0,0
3,202635072104,2023101314,スペシャルシラー,,,,,,,,,,,,,,,,2026.07.07,盛岡,12,3歳C2四,,ダ1200,1:18.1,良,12,9,12,関本玲花,54.0,10-10,40.3,481,+1,ジャージーテーラー(3.6),,2026.06.23,水沢,9,3歳C2六,,ダ1300,1:25.5,重,9,2,7,関本玲花,54.0,9-8-8-8,39.9,480,+2,モンサンドール(2.8),,2026.06.08,水沢,10,3歳C2二,,ダ1300,1:26.7,重,11,4,6,岩本怜,56.0,10-10-10-9,41.8,478,-6,ニケフェリーチェ(4.1),,2026.05.25,盛岡,11,3歳C2三,,ダ1200,1:17.8,良,12,7,6,塚本涼人,56.0,10-9,40.2,484,+16,イッツオンリーラブ(4.0),,2026.03.22,中山,16,3歳未勝利,,芝1600(外),1:42.0,良,16,5,9,荻野極,57.0,3-6-11,43.1,468,-10,カナルサンマルタン(8.3),,2023101314,スペシャルシラー,,関本玲花,,,,,,,,,,,202635052506,３歳Ｃ２三組,20260525,盛岡,良,-18,56,1:17.8,40.2,11,追,6,H,牡,3,,,,,,,,,,,,,,,,202635052506,３歳Ｃ２三組,20260525,盛岡,良,-18,56,1:17.8,40.2,11,追,6,H,牡,3,202636062307,３歳Ｃ２六組,20260623,水沢,重,-16,54,1:25.5,39.9,9,追,2,H,牡,3,2023101314,スペシャルシラー,サートゥルナーリア,ネイティヴダンサー系,Storm Cat,ノーザンダンサー系,牡3,54.0,468(-13),関本玲花,千葉博次,129.8,9,3枠,59,64,77,434,634,9%,19%,31%,50%,73%,2023101314,スペシャルシラー,追,89,63,84,578,814,10%,18%,28%,94%,78%,2023101314,スペシャルシラー,関本玲花,18,11,18,196,243,7%,11%,19%,124%,58%,2023101314,スペシャルシラー,千葉博次,10,9,10,95,124,8%,15%,23%,55%,79%,2023101314,スペシャルシラー,サートゥルナーリア,1,0,0,9,10,10%,10%,10%,15%,13%,2023101314,スペシャルシラー,,0,0,0,0,0,0%,0%,0%,0%,0%,2023101314,スペシャルシラー,,2023101314,スペシャルシラー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,,▲,,12,100.0,9.94,2
4,202635072104,2023103209,ララムーティエ,,,,,,,,,,,,,,,,2026.07.07,盛岡,9,3歳C2五,,ダ1200,1:16.9,良,12,6,10,山本政聡,54.0,7-6,40.3,443,+7,モウレツ(3.3),,2026.03.14,中山,15,3歳未勝利,,ダ1800,2:07.1,良,16,12,16,小林脩斗,55.0,7-7-13-15,49.7,436,+6,イナズマダイモン(13.4),,2026.03.07,中山,16,3歳未勝利,,ダ1200,1:15.3,重,16,8,15,小林脩斗,55.0,10-11,40.2,430,0,トモジャオーリー(4.0),,,,,,,,,,,,,,,,,,,,2月15日生まれ,,,,,,,,,,,,,,,,,,,,2023103209,ララムーティエ,,岩本怜,,,,,,,,,,,202635070704,３歳Ｃ２五組,20260707,盛岡,良,-25,54,1:16.9,40.3,9,差,5,H,牝,3,,,,,,,,,,,,,,,,202606020301,未勝利,20260307,中山,重,-21,55,1:15.3,40.2,16,追,4,H,牝,3,,,,,,,,,,,,,,,,2023103209,ララムーティエ,ノーブルミッション,ノーザンダンサー系,マーベラスサンデー,サンデーサイレンス系,牝3,54.0,446(+3),岩本怜,工藤裕孝,64.7,8,4枠,63,53,52,465,633,9%,18%,26%,69%,72%,2023103209,ララムーティエ,追,89,63,84,578,814,10%,18%,28%,94%,78%,2023103209,ララムーティエ,岩本怜,26,36,35,271,368,7%,16%,26%,34%,74%,2023103209,ララムーティエ,工藤裕孝,14,30,29,224,297,4%,14%,24%,66%,67%,2023103209,ララムーティエ,ノーブルミッション,0,2,2,23,27,0%,7%,14%,0%,42%,2023103209,ララムーティエ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023103209,ララムーティエ,,2023103209,ララムーティエ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,9,65.07,6.47,2
5,202635072104,2023105574,サツキクローネ,,,,,,,,,,,,,,,,2026.07.07,盛岡,8,3歳C2四,,ダ1200,1:16.6,良,12,12,9,塚本涼人,54.0,7-9,38.9,418,-4,ジャージーテーラー(2.1),,2026.06.23,水沢,9,3歳C2七,,ダ1300,1:25.7,重,10,8,8,塚本涼人,54.0,6-8-10-10,41.3,422,-1,ダズルオーロラ(3.0),,2026.06.08,水沢,9,3歳C2三,,ダ1300,1:26.0,重,10,7,9,塚本涼人,54.0,5-6-9-10,42.3,423,-7,ケイジ(4.2),,2026.04.26,福島,16,3歳未勝利,,芝1200,1:11.4,良,16,2,15,富田暁,55.0,14-16,35.6,430,-4,ララアルカー(2.0),,2026.02.22,阪神,14,3歳新馬,,ダ1400,1:30.2,良,14,3,11,酒井学,55.0,8-10,40.7,434,0,ゼンカイナダル(4.4),,2023105574,サツキクローネ,,塚本涼人,,,,,,,,,,,202635070705,３歳Ｃ２四組,20260707,盛岡,良,-25,54,1:16.6,38.9,8,差,8,H,牝,3,,,,,,,,,,,,,,,,202635070705,３歳Ｃ２四組,20260707,盛岡,良,-25,54,1:16.6,38.9,8,差,8,H,牝,3,202636062306,３歳Ｃ２七組,20260623,水沢,重,-16,54,1:25.7,41.3,9,追,7,H,牝,3,2023105574,サツキクローネ,サトノクラウン,ノーザンダンサー系,ステイゴールド,サンデーサイレンス系,牝3,54.0,429(+11),塚本涼人,酒井仁,51.0,7,5枠,70,69,71,561,771,9%,18%,27%,44%,74%,2023105574,サツキクローネ,追,89,63,84,578,814,10%,18%,28%,94%,78%,2023105574,サツキクローネ,塚本涼人,28,40,41,341,450,6%,15%,24%,65%,67%,2023105574,サツキクローネ,酒井仁,15,17,16,119,167,8%,19%,28%,135%,95%,2023105574,サツキクローネ,サトノクラウン,9,14,3,35,61,14%,37%,42%,174%,117%,2023105574,サツキクローネ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023105574,サツキクローネ,,2023105574,サツキクローネ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,▲,,△,,10,85.37,8.49,2
6,202635072104,2023101734,ノボキセキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101734,ノボキセキ,,山本政聡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023101734,ノボキセキ,キセキ,ネイティヴダンサー系,ゴールドアリュール,サンデーサイレンス系,牝3,54.0,0(),山本政聡,櫻田康二,27.7,6,5枠,70,69,71,561,771,9%,18%,27%,44%,74%,2023101734,ノボキセキ,追,0,0,0,0,0,0%,0%,0%,0%,0%,2023101734,ノボキセキ,山本政聡,55,53,43,253,404,13%,26%,37%,89%,80%,2023101734,ノボキセキ,櫻田康二,42,35,31,240,348,12%,22%,31%,57%,57%,2023101734,ノボキセキ,キセキ,0,0,1,2,3,0%,0%,33%,0%,47%,2023101734,ノボキセキ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023101734,ノボキセキ,,2023101734,ノボキセキ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,,,▲,2,0.37,0.04,1
7,202635072104,2023100323,リノセロンテ,,,,,,,,,,,,,,,,2026.07.07,盛岡,11,3歳C2五,,ダ1200,1:18.6,良,12,1,12,小林凌,54.0,11-11,40.9,488,+19,モウレツ(5.0),,2026.06.23,水沢,10,3歳C2七,,ダ1300,1:26.4,重,10,10,10,小林凌,54.0,5-7-9-9,42.3,469,-3,ダズルオーロラ(3.7),,2026.06.08,水沢,8,3歳C2三,,ダ1300,1:25.5,重,10,4,10,小林凌,54.0,9-10-10-8,41.0,472,-7,ケイジ(3.7),,2026.05.25,盛岡,10,3歳C2三,,ダ1200,1:16.7,良,12,3,10,小林凌,54.0,8-8,39.5,479,+7,イッツオンリーラブ(2.9),,2026.04.28,水沢,10,3歳C2二,,ダ1300,1:32.8,良,10,8,7,小林凌,54.0,6-7-8-10,45.9,472,-6,ウチュウノハナ(6.6),,2023100323,リノセロンテ,,小林凌,,,,,,,,,,,202635052506,３歳Ｃ２三組,20260525,盛岡,良,-18,54,1:16.7,39.5,10,追,3,H,牝,3,202535052502,ファーストステップ２,20250525,盛岡,不,-25,54,1:03.7,38.4,6,追,5,M,牝,2,202635052506,３歳Ｃ２三組,20260525,盛岡,良,-18,54,1:16.7,39.5,10,追,3,H,牝,3,202636060806,３歳Ｃ２三組,20260608,水沢,重,-16,54,1:25.5,41,8,追,4,H,牝,3,2023100323,リノセロンテ,インカンテーション,ナスルーラ系,ヴィクトワールピサ,サンデーサイレンス系,牝3,54.0,481(-7),小林凌,飯田弘道,380.8,12,6枠,88,83,82,686,939,9%,18%,26%,70%,66%,2023100323,リノセロンテ,追,89,63,84,578,814,10%,18%,28%,94%,78%,2023100323,リノセロンテ,小林凌,18,25,30,283,356,5%,12%,20%,29%,83%,2023100323,リノセロンテ,飯田弘道,24,22,19,224,289,8%,15%,22%,32%,57%,2023100323,リノセロンテ,インカンテーション,0,0,1,9,10,0%,0%,10%,0%,23%,2023100323,リノセロンテ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023100323,リノセロンテ,,2023100323,リノセロンテ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,,11,92.36,9.18,2
8,202635072104,2023100328,リオンアンサー,,,,,,,,,,,,,,,,2026.06.14,東京,11,3歳未勝利,,ダ1300,1:21.0,稍,15,4,15,嶋田純次,55.0,4-4,38.3,418,+6,レゲンデ(2.5),,2026.05.23,新潟,12,3歳未勝利,,ダ1200,1:14.4,稍,15,4,14,杉原誠人,55.0,13-11,38.1,412,-6,アイアンナックル(2.2),,2026.03.07,中山,13,3歳未勝利,,ダ1200,1:14.6,重,16,11,11,柴田善臣,55.0,6-6,39.7,418,-10,トヨサカエ(3.6),,2026.02.01,東京,15,3歳未勝利,,ダ1400,1:29.0,良,16,16,12,柴田善臣,55.0,13-13,39.6,428,+8,ケブランリ(3.6),,2025.12.06,中山,8,2歳未勝利,,ダ1200,1:14.3,良,15,7,10,柴田善臣,55.0,5-5,38.9,420,-6,ビップムーラン(2.1),,2023100328,リオンアンサー,,佐々木志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202506050101,未勝利,20251206,中山,良,-12,55,1:14.3,38.9,8,差,4,H,牝,2,202605030401,未勝利,20260614,東京,稍,-22,55,1:21.0,38.3,11,先,3,M,牝,3,2023100328,リオンアンサー,リオンディーズ,ネイティヴダンサー系,ハービンジャー,ノーザンダンサー系,牝3,54.0,421(+3),佐々木志,小林俊彦,4.3,3,6枠,88,83,82,686,939,9%,18%,26%,70%,66%,2023100328,リオンアンサー,差,404,461,456,3280,4601,8%,18%,28%,71%,77%,2023100328,リオンアンサー,佐々木志音,31,40,41,299,411,7%,17%,27%,78%,79%,2023100328,リオンアンサー,小林俊彦,12,24,19,160,215,5%,16%,25%,44%,57%,2023100328,リオンアンサー,リオンディーズ,9,6,8,47,70,12%,21%,32%,102%,96%,2023100328,リオンアンサー,,0,0,0,0,0,0%,0%,0%,0%,0%,2023100328,リオンアンサー,,2023100328,リオンアンサー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,○,▲,,,○,△,3,0.6,0.06,3
9,202635072104,2023104630,ゲデヒトニス,,,,,,,,,,,,,,,,2026.07.07,盛岡,10,3歳C2五,,ダ1200,1:17.6,良,12,3,8,坂井瑛音,53.0,8-7,40.9,452,-1,モウレツ(4.0),,2026.06.08,水沢,11,3歳C2二,,ダ1300,1:27.1,重,11,10,3,鈴木祐,54.0,8-6-5-9,42.9,453,+7,ニケフェリーチェ(4.5),,2025.12.07,中京,10,2歳新馬,,芝1400,1:22.8,良,17,4,16,国分優作,55.0,5-3,34.9,446,0,ゴーゴーリチャード(1.0),,,,,,,,,,,,,,,,,,,,4月27日生まれ,,,,,,,,,,,,,,,,,,,,2023104630,ゲデヒトニス,,坂井瑛音,,,,,,,,,,,202635070704,３歳Ｃ２五組,20260707,盛岡,良,-25,53,1:17.6,40.9,10,追,3,H,牝,3,,,,,,,,,,,,,,,,202635070704,３歳Ｃ２五組,20260707,盛岡,良,-25,53,1:17.6,40.9,10,追,3,H,牝,3,202636060807,３歳Ｃ２二組,20260608,水沢,重,-16,54,1:27.1,42.9,11,差,8,H,牝,3,2023104630,ゲデヒトニス,レイデオロ,ネイティヴダンサー系,アグネスタキオン,サンデーサイレンス系,牝3,53.0,449(-3),坂井瑛音,小林俊彦,144.1,10,7枠,115,106,103,753,1077,10%,20%,30%,94%,74%,2023104630,ゲデヒトニス,差,404,461,456,3280,4601,8%,18%,28%,71%,77%,2023104630,ゲデヒトニス,坂井瑛音,15,20,14,208,257,5%,13%,19%,98%,68%,2023104630,ゲデヒトニス,小林俊彦,12,24,19,160,215,5%,16%,25%,44%,57%,2023104630,ゲデヒトニス,レイデオロ,9,2,1,15,27,33%,40%,44%,97%,72%,2023104630,ゲデヒトニス,,0,0,0,0,0,0%,0%,0%,0%,0%,2023104630,ゲデヒトニス,,2023104630,ゲデヒトニス,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,,▲,,◎,,8,62.12,6.18,1
10,202635072104,2023100168,パカラパカラ,,,,,,,,,,,,,,,,2025.12.20,中山,11,2歳新馬,,ダ1800,1:58.5,良,13,1,5,横山武史,56.0,1-1-1-2,42.5,472,0,ゴールドブレイズ(3.3),,,,,,,,,,,,,,,,,,,,3月14日生まれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023100168,パカラパカラ,,高松亮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023100168,パカラパカラ,ルヴァンスレーヴ,ターントゥ系,ハーツクライ,サンデーサイレンス系,牡3,56.0,475(+3),高松亮,及川裕一,1.8,1,7枠,115,106,103,753,1077,10%,20%,30%,94%,74%,2023100168,パカラパカラ,逃,31,22,20,154,227,13%,23%,32%,53%,58%,2023100168,パカラパカラ,高松亮,61,34,51,257,403,15%,23%,36%,88%,72%,2023100168,パカラパカラ,及川裕一,1,2,2,4,9,11%,33%,55%,113%,134%,2023100168,パカラパカラ,ルヴァンスレーヴ,5,4,0,8,17,29%,52%,52%,65%,73%,2023100168,パカラパカラ,,0,0,0,0,0,0%,0%,0%,0%,0%,2023100168,パカラパカラ,,2023100168,パカラパカラ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,◎,○,,,◎,1,0.0,0.0,2
